date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,79900.0,3.72,7,"madison, mo",62.0,79.0,0,Jul-2016
2016-08-01,1,71225.0,3.73,8,"madison, mo",51.0,87.0,0,Aug-2016
2016-09-01,2,71175.0,3.66,9,"madison, mo",51.0,93.0,0,Sep-2016
2016-10-01,3,75000.0,3.64,10,"madison, mo",41.0,118.0,0,Oct-2016
2016-11-01,4,86200.0,3.66,11,"madison, mo",34.0,122.0,0,Nov-2016
2016-12-01,5,101700.0,3.48,12,"madison, mo",27.0,97.0,0,Dec-2016
2017-01-01,6,114950.0,3.45,1,"madison, mo",30.0,82.0,0,Jan-2017
2017-02-01,7,102400.0,3.5,2,"madison, mo",32.0,78.0,0,Feb-2017
2017-03-01,8,99400.0,3.52,3,"madison, mo",33.0,63.0,0,Mar-2017
2017-04-01,9,93500.0,4.03,4,"madison, mo",39.0,53.0,0,Apr-2017
2017-05-01,10,94250.0,4.32,5,"madison, mo",41.0,60.0,0,May-2017
2017-06-01,11,93343.0,4.2,6,"madison, mo",42.0,66.0,0,Jun-2017
2017-07-01,12,95000.0,4.19,7,"madison, mo",46.0,80.0,0,Jul-2017
2017-08-01,13,95225.0,4.3,8,"madison, mo",50.0,69.0,0,Aug-2017
2017-09-01,14,98400.0,4.1,9,"madison, mo",44.0,96.0,0,Sep-2017
2017-10-01,15,92625.0,4.05,10,"madison, mo",39.0,90.0,0,Oct-2017
2017-11-01,16,99900.0,3.94,11,"madison, mo",38.0,87.0,0,Nov-2017
2017-12-01,17,93950.0,4.03,12,"madison, mo",41.0,68.0,0,Dec-2017
2018-01-01,18,91350.0,3.93,1,"madison, mo",38.0,72.0,0,Jan-2018
2018-02-01,19,83650.0,3.83,2,"madison, mo",38.0,92.0,0,Feb-2018
2018-03-01,20,89400.0,3.94,3,"madison, mo",37.0,109.0,0,Mar-2018
2018-04-01,21,92850.0,3.95,4,"madison, mo",36.0,102.0,0,Apr-2018
