date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,181900.0,3.72,7,"marshall, in",278.0,79.0,0,Jul-2016
2016-08-01,1,189950.0,3.73,8,"marshall, in",272.0,86.0,0,Aug-2016
2016-09-01,2,182000.0,3.66,9,"marshall, in",272.0,87.0,0,Sep-2016
2016-10-01,3,177450.0,3.64,10,"marshall, in",253.0,88.0,0,Oct-2016
2016-11-01,4,179000.0,3.66,11,"marshall, in",237.0,100.0,0,Nov-2016
2016-12-01,5,178500.0,3.48,12,"marshall, in",230.0,118.0,0,Dec-2016
2017-01-01,6,179225.0,3.45,1,"marshall, in",208.0,122.0,0,Jan-2017
2017-02-01,7,179225.0,3.5,2,"marshall, in",203.0,123.0,0,Feb-2017
2017-03-01,8,187075.0,3.52,3,"marshall, in",208.0,81.0,0,Mar-2017
2017-04-01,9,196000.0,4.03,4,"marshall, in",205.0,72.0,0,Apr-2017
2017-05-01,10,195725.0,4.32,5,"marshall, in",220.0,74.0,0,May-2017
2017-06-01,11,178450.0,4.2,6,"marshall, in",225.0,72.0,0,Jun-2017
2017-07-01,12,184500.0,4.19,7,"marshall, in",223.0,72.0,0,Jul-2017
2017-08-01,13,184800.0,4.3,8,"marshall, in",241.0,78.0,0,Aug-2017
2017-09-01,14,179650.0,4.1,9,"marshall, in",258.0,76.0,0,Sep-2017
2017-10-01,15,177000.0,4.05,10,"marshall, in",250.0,79.0,0,Oct-2017
2017-11-01,16,175000.0,3.94,11,"marshall, in",226.0,85.0,0,Nov-2017
2017-12-01,17,179900.0,4.03,12,"marshall, in",178.0,99.0,0,Dec-2017
2018-01-01,18,181175.0,3.93,1,"marshall, in",157.0,113.0,0,Jan-2018
2018-02-01,19,199750.0,3.83,2,"marshall, in",147.0,110.0,0,Feb-2018
2018-03-01,20,199500.0,3.94,3,"marshall, in",158.0,87.0,0,Mar-2018
2018-04-01,21,213850.0,3.95,4,"marshall, in",182.0,59.0,0,Apr-2018
2018-05-01,22,210500.0,3.99,5,"marshall, in",204.0,58.0,0,May-2018
2018-06-01,23,199900.0,4.15,6,"marshall, in",205.0,62.0,0,Jun-2018
2018-07-01,24,187950.0,4.4,7,"marshall, in",210.0,72.0,0,Jul-2018
2018-08-01,25,182225.0,4.46,8,"marshall, in",215.0,73.0,0,Aug-2018
