date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,249900.0,3.72,7,"mcdowell, nc",284.0,83.0,0,Jul-2016
2016-08-01,1,249375.0,3.73,8,"mcdowell, nc",280.0,88.0,0,Aug-2016
2016-09-01,2,249450.0,3.66,9,"mcdowell, nc",258.0,109.0,0,Sep-2016
2016-10-01,3,249900.0,3.64,10,"mcdowell, nc",253.0,103.0,0,Oct-2016
2016-11-01,4,259000.0,3.66,11,"mcdowell, nc",240.0,109.0,0,Nov-2016
2016-12-01,5,257475.0,3.48,12,"mcdowell, nc",228.0,129.0,0,Dec-2016
2017-01-01,6,243725.0,3.45,1,"mcdowell, nc",199.0,115.0,0,Jan-2017
2017-02-01,7,237800.0,3.5,2,"mcdowell, nc",206.0,123.0,0,Feb-2017
2017-03-01,8,248475.0,3.52,3,"mcdowell, nc",198.0,123.0,0,Mar-2017
2017-04-01,9,265000.0,4.03,4,"mcdowell, nc",208.0,94.0,0,Apr-2017
2017-05-01,10,265125.0,4.32,5,"mcdowell, nc",244.0,78.0,0,May-2017
2017-06-01,11,270000.0,4.2,6,"mcdowell, nc",255.0,81.0,0,Jun-2017
2017-07-01,12,279000.0,4.19,7,"mcdowell, nc",251.0,88.0,0,Jul-2017
2017-08-01,13,279000.0,4.3,8,"mcdowell, nc",230.0,99.0,0,Aug-2017
2017-09-01,14,279000.0,4.1,9,"mcdowell, nc",217.0,109.0,0,Sep-2017
2017-10-01,15,279000.0,4.05,10,"mcdowell, nc",210.0,108.0,0,Oct-2017
2017-11-01,16,279000.0,3.94,11,"mcdowell, nc",210.0,110.0,0,Nov-2017
2017-12-01,17,275000.0,4.03,12,"mcdowell, nc",196.0,126.0,0,Dec-2017
2018-01-01,18,259000.0,3.93,1,"mcdowell, nc",193.0,135.0,0,Jan-2018
2018-02-01,19,259000.0,3.83,2,"mcdowell, nc",191.0,100.0,0,Feb-2018
2018-03-01,20,254250.0,3.94,3,"mcdowell, nc",180.0,115.0,0,Mar-2018
2018-04-01,21,249900.0,3.95,4,"mcdowell, nc",175.0,88.0,0,Apr-2018
2018-05-01,22,252475.0,3.99,5,"mcdowell, nc",184.0,56.0,0,May-2018
2018-06-01,23,269000.0,4.15,6,"mcdowell, nc",192.0,58.0,0,Jun-2018
2018-07-01,24,264225.0,4.4,7,"mcdowell, nc",213.0,68.0,0,Jul-2018
2018-08-01,25,275975.0,4.46,8,"mcdowell, nc",203.0,86.0,0,Aug-2018
2018-09-01,26,279000.0,4.58,9,"mcdowell, nc",216.0,93.0,0,Sep-2018
2018-10-01,27,276000.0,4.66,10,"mcdowell, nc",223.0,90.0,0,Oct-2018
2018-11-01,28,259900.0,4.62,11,"mcdowell, nc",211.0,96.0,0,Nov-2018
2018-12-01,29,249750.0,4.54,12,"mcdowell, nc",204.0,99.0,0,Dec-2018
2019-01-01,30,249750.0,4.6,1,"mcdowell, nc",187.0,129.0,0,Jan-2019
2019-02-01,31,257000.0,4.72,2,"mcdowell, nc",180.0,144.0,0,Feb-2019
2019-03-01,32,266571.0,4.9,3,"mcdowell, nc",190.0,134.0,0,Mar-2019
2019-04-01,33,294250.0,4.94,4,"mcdowell, nc",180.0,106.0,0,Apr-2019
2019-05-01,34,322250.0,4.75,5,"mcdowell, nc",181.0,49.0,0,May-2019
2019-06-01,35,297250.0,4.51,6,"mcdowell, nc",212.0,65.0,0,Jun-2019
2019-07-01,36,294000.0,4.41,7,"mcdowell, nc",204.0,83.0,0,Jul-2019
2019-08-01,37,299273.0,4.41,8,"mcdowell, nc",202.0,96.0,0,Aug-2019
2019-09-01,38,299682.0,4.2,9,"mcdowell, nc",204.0,102.0,0,Sep-2019
2019-10-01,39,299705.0,4.14,10,"mcdowell, nc",205.0,106.0,0,Oct-2019
2019-11-01,40,300000.0,3.84,11,"mcdowell, nc",198.0,115.0,0,Nov-2019
2019-12-01,41,296000.0,3.81,12,"mcdowell, nc",177.0,129.0,0,Dec-2019
2020-01-01,42,299775.0,3.75,1,"mcdowell, nc",164.0,138.0,0,Jan-2020
2020-02-01,43,324800.0,3.73,2,"mcdowell, nc",161.0,141.0,0,Feb-2020
2020-03-01,44,329900.0,3.78,3,"mcdowell, nc",161.0,129.0,0,Mar-2020
2020-04-01,45,333525.0,3.75,4,"mcdowell, nc",154.0,89.0,0,Apr-2020
2020-05-01,46,359300.0,3.74,5,"mcdowell, nc",132.0,99.0,0,May-2020
2020-06-01,47,374725.0,3.72,6,"mcdowell, nc",116.0,103.0,0,Jun-2020
2020-07-01,48,384500.0,3.49,7,"mcdowell, nc",101.0,114.0,0,Jul-2020
2020-08-01,49,355000.0,3.65,8,"mcdowell, nc",93.0,67.0,0,Aug-2020
2020-09-01,50,339250.0,3.33,9,"mcdowell, nc",95.0,50.0,0,Sep-2020
2020-10-01,51,324500.0,3.28,10,"mcdowell, nc",92.0,60.0,0,Oct-2020
2020-11-01,52,339225.0,3.21,11,"mcdowell, nc",86.0,78.0,0,Nov-2020
2020-12-01,53,299000.0,3.07,12,"mcdowell, nc",86.0,82.0,0,Dec-2020
2021-01-01,54,294000.0,2.99,1,"mcdowell, nc",69.0,94.0,0,Jan-2021
2021-02-01,55,275000.0,2.93,2,"mcdowell, nc",58.0,95.0,0,Feb-2021
2021-03-01,56,297450.0,2.88,3,"mcdowell, nc",51.0,71.0,0,Mar-2021
2021-04-01,57,287175.0,2.84,4,"mcdowell, nc",52.0,37.0,0,Apr-2021
2021-05-01,58,325000.0,2.71,5,"mcdowell, nc",53.0,40.0,0,May-2021
2021-06-01,59,396000.0,2.79,6,"mcdowell, nc",63.0,31.0,0,Jun-2021
2021-07-01,60,415000.0,2.97,7,"mcdowell, nc",71.0,45.0,0,Jul-2021
2021-08-01,61,372250.0,3.17,8,"mcdowell, nc",81.0,53.0,0,Aug-2021
2021-09-01,62,384350.0,3.18,9,"mcdowell, nc",80.0,48.0,0,Sep-2021
2021-10-01,63,397000.0,3.0,10,"mcdowell, nc",84.0,47.0,0,Oct-2021
2021-11-01,64,418875.0,3.02,11,"mcdowell, nc",79.0,63.0,0,Nov-2021
2021-12-01,65,393000.0,2.98,12,"mcdowell, nc",70.0,71.0,0,Dec-2021
2022-01-01,66,410000.0,2.87,1,"mcdowell, nc",55.0,92.0,0,Jan-2022
2022-02-01,67,333225.0,3.01,2,"mcdowell, nc",41.0,95.0,0,Feb-2022
2022-03-01,68,334725.0,3.14,3,"mcdowell, nc",45.0,56.0,0,Mar-2022
2022-04-01,69,347350.0,3.1,4,"mcdowell, nc",43.0,37.0,0,Apr-2022
2022-05-01,70,355950.0,3.12,5,"mcdowell, nc",48.0,38.0,0,May-2022
2022-06-01,71,376000.0,3.56,6,"mcdowell, nc",63.0,35.0,0,Jun-2022
2022-07-01,72,375000.0,3.92,7,"mcdowell, nc",79.0,40.0,0,Jul-2022
2022-08-01,73,350000.0,4.67,8,"mcdowell, nc",85.0,44.0,0,Aug-2022
