date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,149900.0,3.72,7,"mcpherson, ks",168.0,78.0,0,Jul-2016
2016-08-01,1,150950.0,3.73,8,"mcpherson, ks",180.0,81.0,0,Aug-2016
2016-09-01,2,153100.0,3.66,9,"mcpherson, ks",180.0,73.0,0,Sep-2016
2016-10-01,3,149900.0,3.64,10,"mcpherson, ks",161.0,84.0,0,Oct-2016
2016-11-01,4,149975.0,3.66,11,"mcpherson, ks",157.0,97.0,0,Nov-2016
2016-12-01,5,153900.0,3.48,12,"mcpherson, ks",140.0,113.0,0,Dec-2016
2017-01-01,6,150000.0,3.45,1,"mcpherson, ks",132.0,121.0,0,Jan-2017
2017-02-01,7,155950.0,3.5,2,"mcpherson, ks",136.0,104.0,0,Feb-2017
2017-03-01,8,157000.0,3.52,3,"mcpherson, ks",149.0,68.0,0,Mar-2017
2017-04-01,9,159900.0,4.03,4,"mcpherson, ks",142.0,73.0,0,Apr-2017
2017-05-01,10,161700.0,4.32,5,"mcpherson, ks",143.0,77.0,0,May-2017
2017-06-01,11,167400.0,4.2,6,"mcpherson, ks",152.0,76.0,0,Jun-2017
2017-07-01,12,166500.0,4.19,7,"mcpherson, ks",165.0,74.0,0,Jul-2017
2017-08-01,13,163925.0,4.3,8,"mcpherson, ks",152.0,81.0,0,Aug-2017
2017-09-01,14,152900.0,4.1,9,"mcpherson, ks",141.0,81.0,0,Sep-2017
2017-10-01,15,151000.0,4.05,10,"mcpherson, ks",139.0,84.0,0,Oct-2017
2017-11-01,16,148700.0,3.94,11,"mcpherson, ks",142.0,72.0,0,Nov-2017
2017-12-01,17,142450.0,4.03,12,"mcpherson, ks",138.0,82.0,0,Dec-2017
2018-01-01,18,148300.0,3.93,1,"mcpherson, ks",126.0,94.0,0,Jan-2018
2018-02-01,19,148400.0,3.83,2,"mcpherson, ks",134.0,91.0,0,Feb-2018
2018-03-01,20,149900.0,3.94,3,"mcpherson, ks",139.0,74.0,0,Mar-2018
2018-04-01,21,158000.0,3.95,4,"mcpherson, ks",132.0,68.0,0,Apr-2018
2018-05-01,22,166450.0,3.99,5,"mcpherson, ks",136.0,61.0,0,May-2018
2018-06-01,23,159900.0,4.15,6,"mcpherson, ks",142.0,58.0,0,Jun-2018
2018-07-01,24,164142.0,4.4,7,"mcpherson, ks",143.0,65.0,0,Jul-2018
2018-08-01,25,159900.0,4.46,8,"mcpherson, ks",148.0,65.0,0,Aug-2018
2018-09-01,26,158700.0,4.58,9,"mcpherson, ks",156.0,74.0,0,Sep-2018
2018-10-01,27,155400.0,4.66,10,"mcpherson, ks",144.0,88.0,0,Oct-2018
2018-11-01,28,157200.0,4.62,11,"mcpherson, ks",142.0,88.0,0,Nov-2018
2018-12-01,29,159900.0,4.54,12,"mcpherson, ks",130.0,87.0,0,Dec-2018
2019-01-01,30,159450.0,4.6,1,"mcpherson, ks",133.0,91.0,0,Jan-2019
2019-02-01,31,157900.0,4.72,2,"mcpherson, ks",133.0,94.0,0,Feb-2019
2019-03-01,32,157900.0,4.9,3,"mcpherson, ks",129.0,85.0,0,Mar-2019
2019-04-01,33,157900.0,4.94,4,"mcpherson, ks",120.0,82.0,0,Apr-2019
2019-05-01,34,165663.0,4.75,5,"mcpherson, ks",129.0,86.0,0,May-2019
2019-06-01,35,165600.0,4.51,6,"mcpherson, ks",132.0,54.0,0,Jun-2019
2019-07-01,36,182450.0,4.41,7,"mcpherson, ks",137.0,54.0,0,Jul-2019
2019-08-01,37,184873.0,4.41,8,"mcpherson, ks",126.0,70.0,0,Aug-2019
2019-09-01,38,181007.0,4.2,9,"mcpherson, ks",119.0,82.0,0,Sep-2019
2019-10-01,39,178430.0,4.14,10,"mcpherson, ks",114.0,87.0,0,Oct-2019
2019-11-01,40,180000.0,3.84,11,"mcpherson, ks",102.0,90.0,0,Nov-2019
2019-12-01,41,177400.0,3.81,12,"mcpherson, ks",105.0,94.0,0,Dec-2019
2020-01-01,42,169900.0,3.75,1,"mcpherson, ks",108.0,88.0,0,Jan-2020
2020-02-01,43,179900.0,3.73,2,"mcpherson, ks",99.0,96.0,0,Feb-2020
2020-03-01,44,158200.0,3.78,3,"mcpherson, ks",100.0,86.0,0,Mar-2020
2020-04-01,45,163900.0,3.75,4,"mcpherson, ks",101.0,87.0,0,Apr-2020
2020-05-01,46,164950.0,3.74,5,"mcpherson, ks",100.0,67.0,0,May-2020
2020-06-01,47,166400.0,3.72,6,"mcpherson, ks",92.0,52.0,0,Jun-2020
2020-07-01,48,182000.0,3.49,7,"mcpherson, ks",85.0,61.0,0,Jul-2020
2020-08-01,49,176000.0,3.65,8,"mcpherson, ks",76.0,63.0,0,Aug-2020
2020-09-01,50,189900.0,3.33,9,"mcpherson, ks",68.0,66.0,0,Sep-2020
2020-10-01,51,189900.0,3.28,10,"mcpherson, ks",63.0,61.0,0,Oct-2020
2020-11-01,52,183675.0,3.21,11,"mcpherson, ks",63.0,67.0,0,Nov-2020
2020-12-01,53,194500.0,3.07,12,"mcpherson, ks",58.0,72.0,0,Dec-2020
2021-01-01,54,224700.0,2.99,1,"mcpherson, ks",52.0,94.0,0,Jan-2021
2021-02-01,55,206925.0,2.93,2,"mcpherson, ks",46.0,90.0,0,Feb-2021
2021-03-01,56,192250.0,2.88,3,"mcpherson, ks",42.0,51.0,0,Mar-2021
2021-04-01,57,213950.0,2.84,4,"mcpherson, ks",32.0,50.0,0,Apr-2021
2021-05-01,58,172400.0,2.71,5,"mcpherson, ks",37.0,35.0,0,May-2021
2021-06-01,59,173675.0,2.79,6,"mcpherson, ks",39.0,41.0,0,Jun-2021
