date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,104000.0,3.72,7,"merrick, ne",6.0,122.0,0,Jul-2016
2016-08-01,1,77300.0,3.73,8,"merrick, ne",9.0,80.0,0,Aug-2016
2016-09-01,2,71725.0,3.66,9,"merrick, ne",8.0,57.0,0,Sep-2016
2016-10-01,3,61500.0,3.64,10,"merrick, ne",8.0,75.0,0,Oct-2016
2016-11-01,4,112275.0,3.66,11,"merrick, ne",9.0,71.0,0,Nov-2016
2016-12-01,5,122900.0,3.48,12,"merrick, ne",14.0,48.0,0,Dec-2016
2017-01-01,6,124475.0,3.45,1,"merrick, ne",14.0,72.0,0,Jan-2017
2017-02-01,7,122900.0,3.5,2,"merrick, ne",11.0,106.0,0,Feb-2017
2017-03-01,8,122175.0,3.52,3,"merrick, ne",14.0,55.0,0,Mar-2017
2017-04-01,9,137450.0,4.03,4,"merrick, ne",15.0,50.0,0,Apr-2017
2017-05-01,10,145985.0,4.32,5,"merrick, ne",17.0,65.0,0,May-2017
2017-06-01,11,149870.0,4.2,6,"merrick, ne",17.0,72.0,0,Jun-2017
2017-07-01,12,209200.0,4.19,7,"merrick, ne",14.0,100.0,0,Jul-2017
2017-08-01,13,259675.0,4.3,8,"merrick, ne",17.0,84.0,0,Aug-2017
2017-09-01,14,249000.0,4.1,9,"merrick, ne",19.0,46.0,0,Sep-2017
2017-10-01,15,249675.0,4.05,10,"merrick, ne",19.0,67.0,0,Oct-2017
2017-11-01,16,201500.0,3.94,11,"merrick, ne",24.0,78.0,0,Nov-2017
2017-12-01,17,148000.0,4.03,12,"merrick, ne",22.0,47.0,0,Dec-2017
2018-01-01,18,157250.0,3.93,1,"merrick, ne",23.0,72.0,0,Jan-2018
2018-02-01,19,151000.0,3.83,2,"merrick, ne",24.0,83.0,0,Feb-2018
2018-03-01,20,152200.0,3.94,3,"merrick, ne",22.0,63.0,0,Mar-2018
2018-04-01,21,166500.0,3.95,4,"merrick, ne",23.0,55.0,0,Apr-2018
2018-05-01,22,191875.0,3.99,5,"merrick, ne",23.0,58.0,0,May-2018
2018-06-01,23,180000.0,4.15,6,"merrick, ne",22.0,60.0,0,Jun-2018
2018-07-01,24,166225.0,4.4,7,"merrick, ne",22.0,67.0,0,Jul-2018
2018-08-01,25,142750.0,4.46,8,"merrick, ne",21.0,62.0,0,Aug-2018
2018-09-01,26,130250.0,4.58,9,"merrick, ne",20.0,96.0,0,Sep-2018
