date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,139900.0,3.72,7,"mitchell, ia",60.0,86.0,0,Jul-2016
2016-08-01,1,139900.0,3.73,8,"mitchell, ia",66.0,97.0,0,Aug-2016
2016-09-01,2,133125.0,3.66,9,"mitchell, ia",64.0,106.0,0,Sep-2016
2016-10-01,3,134500.0,3.64,10,"mitchell, ia",62.0,120.0,0,Oct-2016
2016-11-01,4,128250.0,3.66,11,"mitchell, ia",63.0,114.0,0,Nov-2016
2016-12-01,5,130000.0,3.48,12,"mitchell, ia",58.0,126.0,0,Dec-2016
2017-01-01,6,128125.0,3.45,1,"mitchell, ia",54.0,152.0,0,Jan-2017
2017-02-01,7,125700.0,3.5,2,"mitchell, ia",59.0,133.0,0,Feb-2017
2017-03-01,8,118000.0,3.52,3,"mitchell, ia",63.0,129.0,0,Mar-2017
2017-04-01,9,138900.0,4.03,4,"mitchell, ia",62.0,75.0,0,Apr-2017
2017-05-01,10,134000.0,4.32,5,"mitchell, ia",63.0,80.0,0,May-2017
2017-06-01,11,131500.0,4.2,6,"mitchell, ia",65.0,101.0,0,Jun-2017
2017-07-01,12,124450.0,4.19,7,"mitchell, ia",70.0,82.0,0,Jul-2017
2017-08-01,13,128950.0,4.3,8,"mitchell, ia",74.0,68.0,0,Aug-2017
2017-09-01,14,127900.0,4.1,9,"mitchell, ia",66.0,95.0,0,Sep-2017
2017-10-01,15,131250.0,4.05,10,"mitchell, ia",64.0,108.0,0,Oct-2017
2017-11-01,16,134900.0,3.94,11,"mitchell, ia",59.0,113.0,0,Nov-2017
2017-12-01,17,137450.0,4.03,12,"mitchell, ia",58.0,130.0,0,Dec-2017
2018-01-01,18,134175.0,3.93,1,"mitchell, ia",57.0,102.0,0,Jan-2018
2018-02-01,19,128900.0,3.83,2,"mitchell, ia",61.0,108.0,0,Feb-2018
2018-03-01,20,128900.0,3.94,3,"mitchell, ia",62.0,110.0,0,Mar-2018
2018-04-01,21,125188.0,3.95,4,"mitchell, ia",59.0,105.0,0,Apr-2018
2018-05-01,22,125125.0,3.99,5,"mitchell, ia",60.0,82.0,0,May-2018
2018-06-01,23,125750.0,4.15,6,"mitchell, ia",63.0,73.0,0,Jun-2018
2018-07-01,24,124775.0,4.4,7,"mitchell, ia",61.0,84.0,0,Jul-2018
2018-08-01,25,125350.0,4.46,8,"mitchell, ia",61.0,95.0,0,Aug-2018
2018-09-01,26,124850.0,4.58,9,"mitchell, ia",62.0,98.0,0,Sep-2018
2018-10-01,27,127325.0,4.66,10,"mitchell, ia",62.0,106.0,0,Oct-2018
2018-11-01,28,124875.0,4.62,11,"mitchell, ia",63.0,116.0,0,Nov-2018
2018-12-01,29,122850.0,4.54,12,"mitchell, ia",63.0,113.0,0,Dec-2018
2019-01-01,30,119000.0,4.6,1,"mitchell, ia",64.0,119.0,0,Jan-2019
2019-02-01,31,115250.0,4.72,2,"mitchell, ia",64.0,133.0,0,Feb-2019
2019-03-01,32,107936.0,4.9,3,"mitchell, ia",61.0,138.0,0,Mar-2019
2019-04-01,33,99763.0,4.94,4,"mitchell, ia",60.0,134.0,0,Apr-2019
2019-05-01,34,99588.0,4.75,5,"mitchell, ia",58.0,110.0,0,May-2019
2019-06-01,35,94000.0,4.51,6,"mitchell, ia",54.0,123.0,0,Jun-2019
2019-07-01,36,94750.0,4.41,7,"mitchell, ia",61.0,101.0,0,Jul-2019
2019-08-01,37,99577.0,4.41,8,"mitchell, ia",59.0,107.0,0,Aug-2019
2019-09-01,38,106818.0,4.2,9,"mitchell, ia",58.0,108.0,0,Sep-2019
2019-10-01,39,110420.0,4.14,10,"mitchell, ia",57.0,108.0,0,Oct-2019
2019-11-01,40,104900.0,3.84,11,"mitchell, ia",53.0,91.0,0,Nov-2019
2019-12-01,41,103450.0,3.81,12,"mitchell, ia",58.0,101.0,0,Dec-2019
2020-01-01,42,104975.0,3.75,1,"mitchell, ia",51.0,127.0,0,Jan-2020
2020-02-01,43,99000.0,3.73,2,"mitchell, ia",47.0,145.0,0,Feb-2020
2020-03-01,44,89900.0,3.78,3,"mitchell, ia",46.0,148.0,0,Mar-2020
2020-04-01,45,89900.0,3.75,4,"mitchell, ia",39.0,152.0,0,Apr-2020
2020-05-01,46,89900.0,3.74,5,"mitchell, ia",36.0,104.0,0,May-2020
2020-06-01,47,119500.0,3.72,6,"mitchell, ia",36.0,96.0,0,Jun-2020
2020-07-01,48,110000.0,3.49,7,"mitchell, ia",37.0,66.0,0,Jul-2020
2020-08-01,49,110000.0,3.65,8,"mitchell, ia",36.0,85.0,0,Aug-2020
2020-09-01,50,111225.0,3.33,9,"mitchell, ia",32.0,66.0,0,Sep-2020
2020-10-01,51,110000.0,3.28,10,"mitchell, ia",31.0,86.0,0,Oct-2020
2020-11-01,52,112500.0,3.21,11,"mitchell, ia",26.0,104.0,0,Nov-2020
2020-12-01,53,115625.0,3.07,12,"mitchell, ia",22.0,116.0,0,Dec-2020
2021-01-01,54,110000.0,2.99,1,"mitchell, ia",16.0,138.0,0,Jan-2021
2021-02-01,55,110000.0,2.93,2,"mitchell, ia",13.0,152.0,0,Feb-2021
2021-03-01,56,129950.0,2.88,3,"mitchell, ia",9.0,98.0,0,Mar-2021
2021-04-01,57,136175.0,2.84,4,"mitchell, ia",13.0,11.0,0,Apr-2021
2021-05-01,58,164900.0,2.71,5,"mitchell, ia",12.0,35.0,0,May-2021
2021-06-01,59,179500.0,2.79,6,"mitchell, ia",14.0,50.0,0,Jun-2021
2021-07-01,60,167000.0,2.97,7,"mitchell, ia",19.0,32.0,0,Jul-2021
2021-08-01,61,175223.0,3.17,8,"mitchell, ia",24.0,41.0,0,Aug-2021
2021-09-01,62,203625.0,3.18,9,"mitchell, ia",23.0,37.0,0,Sep-2021
2021-10-01,63,225000.0,3.0,10,"mitchell, ia",14.0,65.0,0,Oct-2021
2021-11-01,64,207350.0,3.02,11,"mitchell, ia",13.0,94.0,0,Nov-2021
2021-12-01,65,227113.0,2.98,12,"mitchell, ia",12.0,115.0,0,Dec-2021
2022-01-01,66,217150.0,2.87,1,"mitchell, ia",9.0,141.0,0,Jan-2022
2022-02-01,67,192650.0,3.01,2,"mitchell, ia",10.0,69.0,0,Feb-2022
2022-03-01,68,221245.0,3.14,3,"mitchell, ia",13.0,23.0,0,Mar-2022
2022-04-01,69,196900.0,3.1,4,"mitchell, ia",10.0,42.0,0,Apr-2022
2022-05-01,70,183425.0,3.12,5,"mitchell, ia",9.0,42.0,0,May-2022
2022-06-01,71,170731.0,3.56,6,"mitchell, ia",8.0,18.0,0,Jun-2022
2022-07-01,72,194900.0,3.92,7,"mitchell, ia",13.0,21.0,0,Jul-2022
2022-08-01,73,190292.0,4.67,8,"mitchell, ia",14.0,31.0,0,Aug-2022
2022-09-01,74,204725.0,5.11,9,"mitchell, ia",14.0,48.0,130149,Sep-2022
2022-10-01,75,199000.0,5.3,10,"mitchell, ia",14.0,65.0,163267,Oct-2022
2022-11-01,76,189475.0,5.81,11,"mitchell, ia",14.0,89.0,143003,Nov-2022
2022-12-01,77,217000.0,5.54,12,"mitchell, ia",12.0,91.0,143275,Dec-2022
2023-01-01,78,227781.0,5.55,1,"mitchell, ia",10.0,123.0,157010,Jan-2023
2023-02-01,79,233531.0,6.7,2,"mitchell, ia",12.0,95.0,146443,Feb-2023
