date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,286000.0,3.72,7,"moore, nc",1246.0,86.0,0,Jul-2016
2016-08-01,1,283875.0,3.73,8,"moore, nc",1225.0,94.0,0,Aug-2016
2016-09-01,2,285500.0,3.66,9,"moore, nc",1193.0,103.0,0,Sep-2016
2016-10-01,3,289900.0,3.64,10,"moore, nc",1131.0,106.0,0,Oct-2016
2016-11-01,4,289500.0,3.66,11,"moore, nc",1086.0,106.0,0,Nov-2016
2016-12-01,5,294900.0,3.48,12,"moore, nc",1016.0,113.0,0,Dec-2016
2017-01-01,6,296900.0,3.45,1,"moore, nc",986.0,112.0,0,Jan-2017
2017-02-01,7,293925.0,3.5,2,"moore, nc",1036.0,101.0,0,Feb-2017
2017-03-01,8,298750.0,3.52,3,"moore, nc",1060.0,84.0,0,Mar-2017
2017-04-01,9,299450.0,4.03,4,"moore, nc",1056.0,78.0,0,Apr-2017
2017-05-01,10,299900.0,4.32,5,"moore, nc",1030.0,79.0,0,May-2017
2017-06-01,11,299000.0,4.2,6,"moore, nc",1036.0,84.0,0,Jun-2017
2017-07-01,12,299000.0,4.19,7,"moore, nc",1028.0,83.0,0,Jul-2017
2017-08-01,13,299950.0,4.3,8,"moore, nc",1011.0,87.0,0,Aug-2017
2017-09-01,14,299900.0,4.1,9,"moore, nc",985.0,92.0,0,Sep-2017
2017-10-01,15,299900.0,4.05,10,"moore, nc",930.0,98.0,0,Oct-2017
2017-11-01,16,300000.0,3.94,11,"moore, nc",902.0,99.0,0,Nov-2017
2017-12-01,17,299900.0,4.03,12,"moore, nc",878.0,97.0,0,Dec-2017
2018-01-01,18,299900.0,3.93,1,"moore, nc",837.0,103.0,0,Jan-2018
2018-02-01,19,301137.0,3.83,2,"moore, nc",832.0,96.0,0,Feb-2018
2018-03-01,20,309950.0,3.94,3,"moore, nc",843.0,67.0,0,Mar-2018
2018-04-01,21,308344.0,3.95,4,"moore, nc",872.0,61.0,0,Apr-2018
2018-05-01,22,300000.0,3.99,5,"moore, nc",899.0,63.0,0,May-2018
2018-06-01,23,300000.0,4.15,6,"moore, nc",884.0,67.0,0,Jun-2018
2018-07-01,24,307516.0,4.4,7,"moore, nc",830.0,78.0,0,Jul-2018
2018-08-01,25,305000.0,4.46,8,"moore, nc",820.0,80.0,0,Aug-2018
2018-09-01,26,306466.0,4.58,9,"moore, nc",807.0,80.0,0,Sep-2018
2018-10-01,27,308837.0,4.66,10,"moore, nc",784.0,87.0,0,Oct-2018
2018-11-01,28,305908.0,4.62,11,"moore, nc",768.0,93.0,0,Nov-2018
2018-12-01,29,304900.0,4.54,12,"moore, nc",760.0,107.0,0,Dec-2018
2019-01-01,30,306658.0,4.6,1,"moore, nc",715.0,102.0,0,Jan-2019
2019-02-01,31,312293.0,4.72,2,"moore, nc",738.0,95.0,0,Feb-2019
2019-03-01,32,318416.0,4.9,3,"moore, nc",716.0,80.0,0,Mar-2019
2019-04-01,33,323985.0,4.94,4,"moore, nc",711.0,61.0,0,Apr-2019
2019-05-01,34,336250.0,4.75,5,"moore, nc",711.0,57.0,0,May-2019
2019-06-01,35,333860.0,4.51,6,"moore, nc",713.0,63.0,0,Jun-2019
2019-07-01,36,334360.0,4.41,7,"moore, nc",677.0,74.0,0,Jul-2019
2019-08-01,37,332692.0,4.41,8,"moore, nc",673.0,77.0,0,Aug-2019
2019-09-01,38,331150.0,4.2,9,"moore, nc",670.0,75.0,0,Sep-2019
2019-10-01,39,329975.0,4.14,10,"moore, nc",666.0,77.0,0,Oct-2019
2019-11-01,40,329900.0,3.84,11,"moore, nc",622.0,85.0,0,Nov-2019
2019-12-01,41,331740.0,3.81,12,"moore, nc",587.0,94.0,0,Dec-2019
2020-01-01,42,333595.0,3.75,1,"moore, nc",559.0,91.0,0,Jan-2020
2020-02-01,43,339205.0,3.73,2,"moore, nc",549.0,81.0,0,Feb-2020
