date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,239700.0,3.72,7,"morgan, co",70.0,46.0,0,Jul-2016
2016-08-01,1,245125.0,3.73,8,"morgan, co",68.0,50.0,0,Aug-2016
2016-09-01,2,245000.0,3.66,9,"morgan, co",73.0,51.0,0,Sep-2016
2016-10-01,3,244400.0,3.64,10,"morgan, co",82.0,63.0,0,Oct-2016
2016-11-01,4,246225.0,3.66,11,"morgan, co",80.0,66.0,0,Nov-2016
2016-12-01,5,249900.0,3.48,12,"morgan, co",74.0,78.0,0,Dec-2016
2017-01-01,6,249900.0,3.45,1,"morgan, co",60.0,71.0,0,Jan-2017
2017-02-01,7,249950.0,3.5,2,"morgan, co",67.0,67.0,0,Feb-2017
2017-03-01,8,264950.0,3.52,3,"morgan, co",67.0,53.0,0,Mar-2017
2017-04-01,9,275000.0,4.03,4,"morgan, co",60.0,52.0,0,Apr-2017
2017-05-01,10,275000.0,4.32,5,"morgan, co",69.0,53.0,0,May-2017
2017-06-01,11,275000.0,4.2,6,"morgan, co",67.0,53.0,0,Jun-2017
2017-07-01,12,275000.0,4.19,7,"morgan, co",73.0,57.0,0,Jul-2017
2017-08-01,13,275000.0,4.3,8,"morgan, co",79.0,47.0,0,Aug-2017
2017-09-01,14,275000.0,4.1,9,"morgan, co",84.0,65.0,0,Sep-2017
2017-10-01,15,275000.0,4.05,10,"morgan, co",92.0,78.0,0,Oct-2017
2017-11-01,16,275000.0,3.94,11,"morgan, co",98.0,64.0,0,Nov-2017
2017-12-01,17,290000.0,4.03,12,"morgan, co",103.0,78.0,0,Dec-2017
2018-01-01,18,290000.0,3.93,1,"morgan, co",103.0,76.0,0,Jan-2018
2018-02-01,19,290000.0,3.83,2,"morgan, co",96.0,82.0,0,Feb-2018
2018-03-01,20,290000.0,3.94,3,"morgan, co",86.0,79.0,0,Mar-2018
2018-04-01,21,290000.0,3.95,4,"morgan, co",80.0,87.0,0,Apr-2018
2018-05-01,22,290000.0,3.99,5,"morgan, co",91.0,60.0,0,May-2018
2018-06-01,23,290000.0,4.15,6,"morgan, co",99.0,63.0,0,Jun-2018
2018-07-01,24,290000.0,4.4,7,"morgan, co",93.0,51.0,0,Jul-2018
2018-08-01,25,290000.0,4.46,8,"morgan, co",103.0,47.0,0,Aug-2018
2018-09-01,26,290000.0,4.58,9,"morgan, co",119.0,47.0,0,Sep-2018
2018-10-01,27,294625.0,4.66,10,"morgan, co",113.0,54.0,0,Oct-2018
2018-11-01,28,299000.0,4.62,11,"morgan, co",105.0,67.0,0,Nov-2018
2018-12-01,29,299000.0,4.54,12,"morgan, co",97.0,78.0,0,Dec-2018
2019-01-01,30,299000.0,4.6,1,"morgan, co",91.0,82.0,0,Jan-2019
2019-02-01,31,299000.0,4.72,2,"morgan, co",84.0,78.0,0,Feb-2019
2019-03-01,32,299000.0,4.9,3,"morgan, co",88.0,64.0,0,Mar-2019
2019-04-01,33,299000.0,4.94,4,"morgan, co",105.0,58.0,0,Apr-2019
2019-05-01,34,299000.0,4.75,5,"morgan, co",111.0,50.0,0,May-2019
2019-06-01,35,299000.0,4.51,6,"morgan, co",119.0,52.0,0,Jun-2019
2019-07-01,36,299119.0,4.41,7,"morgan, co",127.0,57.0,0,Jul-2019
2019-08-01,37,300764.0,4.41,8,"morgan, co",131.0,59.0,0,Aug-2019
2019-09-01,38,304553.0,4.2,9,"morgan, co",130.0,62.0,0,Sep-2019
2019-10-01,39,311250.0,4.14,10,"morgan, co",126.0,68.0,0,Oct-2019
2019-11-01,40,304900.0,3.84,11,"morgan, co",107.0,74.0,0,Nov-2019
2019-12-01,41,299900.0,3.81,12,"morgan, co",98.0,80.0,0,Dec-2019
2020-01-01,42,299200.0,3.75,1,"morgan, co",98.0,78.0,0,Jan-2020
2020-02-01,43,308000.0,3.73,2,"morgan, co",90.0,73.0,0,Feb-2020
2020-03-01,44,299450.0,3.78,3,"morgan, co",91.0,57.0,0,Mar-2020
2020-04-01,45,308625.0,3.75,4,"morgan, co",90.0,61.0,0,Apr-2020
2020-05-01,46,307500.0,3.74,5,"morgan, co",90.0,58.0,0,May-2020
2020-06-01,47,321225.0,3.72,6,"morgan, co",78.0,69.0,0,Jun-2020
2020-07-01,48,314688.0,3.49,7,"morgan, co",74.0,50.0,0,Jul-2020
2020-08-01,49,298000.0,3.65,8,"morgan, co",60.0,52.0,0,Aug-2020
2020-09-01,50,295950.0,3.33,9,"morgan, co",55.0,32.0,0,Sep-2020
2020-10-01,51,305000.0,3.28,10,"morgan, co",52.0,39.0,0,Oct-2020
2020-11-01,52,302375.0,3.21,11,"morgan, co",52.0,46.0,0,Nov-2020
2020-12-01,53,279838.0,3.07,12,"morgan, co",48.0,46.0,0,Dec-2020
2021-01-01,54,264400.0,2.99,1,"morgan, co",37.0,54.0,0,Jan-2021
2021-02-01,55,302250.0,2.93,2,"morgan, co",29.0,46.0,0,Feb-2021
2021-03-01,56,292443.0,2.88,3,"morgan, co",27.0,36.0,0,Mar-2021
2021-04-01,57,317500.0,2.84,4,"morgan, co",28.0,35.0,0,Apr-2021
2021-05-01,58,334500.0,2.71,5,"morgan, co",27.0,47.0,0,May-2021
2021-06-01,59,368475.0,2.79,6,"morgan, co",34.0,45.0,0,Jun-2021
2021-07-01,60,376450.0,2.97,7,"morgan, co",31.0,50.0,0,Jul-2021
2021-08-01,61,368500.0,3.17,8,"morgan, co",35.0,41.0,0,Aug-2021
2021-09-01,62,362500.0,3.18,9,"morgan, co",40.0,30.0,0,Sep-2021
2021-10-01,63,325000.0,3.0,10,"morgan, co",45.0,33.0,0,Oct-2021
2021-11-01,64,325000.0,3.02,11,"morgan, co",44.0,47.0,0,Nov-2021
2021-12-01,65,322800.0,2.98,12,"morgan, co",90.0,40.0,0,Dec-2021
2022-01-01,66,315000.0,2.87,1,"morgan, co",52.0,52.0,0,Jan-2022
2022-02-01,67,322475.0,3.01,2,"morgan, co",40.0,41.0,0,Feb-2022
2022-03-01,68,325000.0,3.14,3,"morgan, co",37.0,38.0,0,Mar-2022
2022-04-01,69,385000.0,3.1,4,"morgan, co",42.0,26.0,0,Apr-2022
2022-05-01,70,449500.0,3.12,5,"morgan, co",56.0,29.0,0,May-2022
2022-06-01,71,447750.0,3.56,6,"morgan, co",66.0,38.0,0,Jun-2022
2022-07-01,72,450721.0,3.92,7,"morgan, co",80.0,35.0,0,Jul-2022
2022-08-01,73,451541.0,4.67,8,"morgan, co",94.0,43.0,0,Aug-2022
2022-09-01,74,438316.0,5.11,9,"morgan, co",102.0,54.0,384699,Sep-2022
2022-10-01,75,425000.0,5.3,10,"morgan, co",93.0,65.0,386848,Oct-2022
2022-11-01,76,412000.0,5.81,11,"morgan, co",94.0,72.0,387345,Nov-2022
2022-12-01,77,398000.0,5.54,12,"morgan, co",90.0,73.0,387935,Dec-2022
2023-01-01,78,366450.0,5.55,1,"morgan, co",79.0,71.0,385867,Jan-2023
2023-02-01,79,395000.0,6.7,2,"morgan, co",75.0,77.0,387944,Feb-2023
2023-03-01,80,394500.0,7.08,3,"morgan, co",74.0,74.0,389044,Mar-2023
2023-04-01,81,375000.0,7.08,4,"morgan, co",76.0,61.0,389274,Apr-2023
2023-05-01,82,402500.0,6.49,5,"morgan, co",84.0,47.0,388699,May-2023
2023-06-01,83,411250.0,6.48,6,"morgan, co",82.0,52.0,390228,Jun-2023
2023-07-01,84,439500.0,6.5,7,"morgan, co",81.0,59.0,390976,Jul-2023
