date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,189500.0,3.72,7,"morgan, wv",208.0,80.0,0,Jul-2016
2016-08-01,1,189125.0,3.73,8,"morgan, wv",199.0,101.0,0,Aug-2016
2016-09-01,2,185000.0,3.66,9,"morgan, wv",204.0,107.0,0,Sep-2016
2016-10-01,3,179950.0,3.64,10,"morgan, wv",204.0,113.0,0,Oct-2016
2016-11-01,4,187475.0,3.66,11,"morgan, wv",189.0,119.0,0,Nov-2016
2016-12-01,5,189900.0,3.48,12,"morgan, wv",174.0,125.0,0,Dec-2016
2017-01-01,6,187875.0,3.45,1,"morgan, wv",170.0,143.0,0,Jan-2017
2017-02-01,7,187500.0,3.5,2,"morgan, wv",165.0,153.0,0,Feb-2017
2017-03-01,8,181825.0,3.52,3,"morgan, wv",165.0,142.0,0,Mar-2017
2017-04-01,9,186250.0,4.03,4,"morgan, wv",164.0,71.0,0,Apr-2017
2017-05-01,10,179800.0,4.32,5,"morgan, wv",168.0,68.0,0,May-2017
2017-06-01,11,180950.0,4.2,6,"morgan, wv",178.0,67.0,0,Jun-2017
2017-07-01,12,183500.0,4.19,7,"morgan, wv",181.0,80.0,0,Jul-2017
2017-08-01,13,185000.0,4.3,8,"morgan, wv",184.0,81.0,0,Aug-2017
2017-09-01,14,187500.0,4.1,9,"morgan, wv",197.0,82.0,0,Sep-2017
2017-10-01,15,191950.0,4.05,10,"morgan, wv",199.0,84.0,0,Oct-2017
2017-11-01,16,179225.0,3.94,11,"morgan, wv",194.0,100.0,0,Nov-2017
2017-12-01,17,184750.0,4.03,12,"morgan, wv",171.0,113.0,0,Dec-2017
2018-01-01,18,179725.0,3.93,1,"morgan, wv",160.0,131.0,0,Jan-2018
2018-02-01,19,192000.0,3.83,2,"morgan, wv",150.0,140.0,0,Feb-2018
2018-03-01,20,219000.0,3.94,3,"morgan, wv",143.0,143.0,0,Mar-2018
2018-04-01,21,216950.0,3.95,4,"morgan, wv",146.0,118.0,0,Apr-2018
2018-05-01,22,212000.0,3.99,5,"morgan, wv",158.0,83.0,0,May-2018
2018-06-01,23,213450.0,4.15,6,"morgan, wv",159.0,72.0,0,Jun-2018
2018-07-01,24,210000.0,4.4,7,"morgan, wv",156.0,78.0,0,Jul-2018
2018-08-01,25,187500.0,4.46,8,"morgan, wv",154.0,91.0,0,Aug-2018
2018-09-01,26,179450.0,4.58,9,"morgan, wv",156.0,85.0,0,Sep-2018
2018-10-01,27,199000.0,4.66,10,"morgan, wv",160.0,85.0,0,Oct-2018
2018-11-01,28,191425.0,4.62,11,"morgan, wv",150.0,87.0,0,Nov-2018
2018-12-01,29,185000.0,4.54,12,"morgan, wv",140.0,101.0,0,Dec-2018
2019-01-01,30,203750.0,4.6,1,"morgan, wv",131.0,103.0,0,Jan-2019
2019-02-01,31,211150.0,4.72,2,"morgan, wv",126.0,102.0,0,Feb-2019
2019-03-01,32,223500.0,4.9,3,"morgan, wv",124.0,101.0,0,Mar-2019
2019-04-01,33,226500.0,4.94,4,"morgan, wv",135.0,95.0,0,Apr-2019
2019-05-01,34,225000.0,4.75,5,"morgan, wv",138.0,73.0,0,May-2019
2019-06-01,35,225000.0,4.51,6,"morgan, wv",147.0,71.0,0,Jun-2019
2019-07-01,36,219000.0,4.41,7,"morgan, wv",160.0,64.0,0,Jul-2019
2019-08-01,37,219364.0,4.41,8,"morgan, wv",159.0,70.0,0,Aug-2019
2019-09-01,38,219159.0,4.2,9,"morgan, wv",159.0,81.0,0,Sep-2019
2019-10-01,39,219000.0,4.14,10,"morgan, wv",158.0,92.0,0,Oct-2019
2019-11-01,40,219000.0,3.84,11,"morgan, wv",145.0,112.0,0,Nov-2019
2019-12-01,41,225000.0,3.81,12,"morgan, wv",122.0,132.0,0,Dec-2019
2020-01-01,42,215000.0,3.75,1,"morgan, wv",103.0,152.0,0,Jan-2020
2020-02-01,43,215000.0,3.73,2,"morgan, wv",85.0,150.0,0,Feb-2020
2020-03-01,44,204475.0,3.78,3,"morgan, wv",95.0,127.0,0,Mar-2020
2020-04-01,45,206000.0,3.75,4,"morgan, wv",82.0,74.0,0,Apr-2020
2020-05-01,46,189000.0,3.74,5,"morgan, wv",77.0,73.0,0,May-2020
2020-06-01,47,197450.0,3.72,6,"morgan, wv",65.0,51.0,0,Jun-2020
2020-07-01,48,217475.0,3.49,7,"morgan, wv",58.0,46.0,0,Jul-2020
2020-08-01,49,199000.0,3.65,8,"morgan, wv",43.0,38.0,0,Aug-2020
2020-09-01,50,217475.0,3.33,9,"morgan, wv",36.0,38.0,0,Sep-2020
2020-10-01,51,210000.0,3.28,10,"morgan, wv",48.0,33.0,0,Oct-2020
2020-11-01,52,208750.0,3.21,11,"morgan, wv",55.0,43.0,0,Nov-2020
2020-12-01,53,216950.0,3.07,12,"morgan, wv",47.0,59.0,0,Dec-2020
2021-01-01,54,219700.0,2.99,1,"morgan, wv",42.0,80.0,0,Jan-2021
2021-02-01,55,211250.0,2.93,2,"morgan, wv",34.0,105.0,0,Feb-2021
2021-03-01,56,225000.0,2.88,3,"morgan, wv",25.0,69.0,0,Mar-2021
2021-04-01,57,246250.0,2.84,4,"morgan, wv",22.0,51.0,0,Apr-2021
2021-05-01,58,247450.0,2.71,5,"morgan, wv",27.0,41.0,0,May-2021
2021-06-01,59,252225.0,2.79,6,"morgan, wv",44.0,28.0,0,Jun-2021
2021-07-01,60,250000.0,2.97,7,"morgan, wv",44.0,43.0,0,Jul-2021
2021-08-01,61,242000.0,3.17,8,"morgan, wv",42.0,52.0,0,Aug-2021
2021-09-01,62,230000.0,3.18,9,"morgan, wv",39.0,52.0,0,Sep-2021
2021-10-01,63,250000.0,3.0,10,"morgan, wv",40.0,56.0,0,Oct-2021
2021-11-01,64,276250.0,3.02,11,"morgan, wv",42.0,58.0,0,Nov-2021
2021-12-01,65,263250.0,2.98,12,"morgan, wv",42.0,64.0,0,Dec-2021
2022-01-01,66,289900.0,2.87,1,"morgan, wv",30.0,84.0,0,Jan-2022
2022-02-01,67,304950.0,3.01,2,"morgan, wv",28.0,51.0,0,Feb-2022
2022-03-01,68,304900.0,3.14,3,"morgan, wv",27.0,43.0,0,Mar-2022
2022-04-01,69,317450.0,3.1,4,"morgan, wv",35.0,19.0,0,Apr-2022
2022-05-01,70,326250.0,3.12,5,"morgan, wv",37.0,38.0,0,May-2022
2022-06-01,71,326975.0,3.56,6,"morgan, wv",50.0,34.0,0,Jun-2022
2022-07-01,72,310000.0,3.92,7,"morgan, wv",62.0,44.0,0,Jul-2022
2022-08-01,73,321000.0,4.67,8,"morgan, wv",70.0,47.0,0,Aug-2022
2022-09-01,74,352473.0,5.11,9,"morgan, wv",59.0,56.0,350519,Sep-2022
2022-10-01,75,357500.0,5.3,10,"morgan, wv",63.0,73.0,341789,Oct-2022
2022-11-01,76,329448.0,5.81,11,"morgan, wv",64.0,59.0,348505,Nov-2022
2022-12-01,77,334500.0,5.54,12,"morgan, wv",61.0,73.0,339352,Dec-2022
2023-01-01,78,339225.0,5.55,1,"morgan, wv",49.0,97.0,321254,Jan-2023
2023-02-01,79,318995.0,6.7,2,"morgan, wv",47.0,80.0,321914,Feb-2023
2023-03-01,80,319925.0,7.08,3,"morgan, wv",44.0,66.0,331805,Mar-2023
2023-04-01,81,322500.0,7.08,4,"morgan, wv",51.0,59.0,332317,Apr-2023
2023-05-01,82,330600.0,6.49,5,"morgan, wv",52.0,50.0,345354,May-2023
2023-06-01,83,317495.0,6.48,6,"morgan, wv",55.0,54.0,344313,Jun-2023
2023-07-01,84,314000.0,6.5,7,"morgan, wv",53.0,53.0,344572,Jul-2023
