date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,129900.0,3.72,7,"muhlenberg, ky",113.0,90.0,0,Jul-2016
2016-08-01,1,132700.0,3.73,8,"muhlenberg, ky",106.0,89.0,0,Aug-2016
2016-09-01,2,129900.0,3.66,9,"muhlenberg, ky",106.0,84.0,0,Sep-2016
2016-10-01,3,135850.0,3.64,10,"muhlenberg, ky",109.0,87.0,0,Oct-2016
2016-11-01,4,135850.0,3.66,11,"muhlenberg, ky",111.0,94.0,0,Nov-2016
2016-12-01,5,137400.0,3.48,12,"muhlenberg, ky",108.0,102.0,0,Dec-2016
2017-01-01,6,139925.0,3.45,1,"muhlenberg, ky",98.0,118.0,0,Jan-2017
2017-02-01,7,134925.0,3.5,2,"muhlenberg, ky",93.0,121.0,0,Feb-2017
2017-03-01,8,129900.0,3.52,3,"muhlenberg, ky",118.0,116.0,0,Mar-2017
2017-04-01,9,130000.0,4.03,4,"muhlenberg, ky",112.0,100.0,0,Apr-2017
2017-05-01,10,135950.0,4.32,5,"muhlenberg, ky",110.0,88.0,0,May-2017
2017-06-01,11,119900.0,4.2,6,"muhlenberg, ky",136.0,60.0,0,Jun-2017
2017-07-01,12,119000.0,4.19,7,"muhlenberg, ky",139.0,61.0,0,Jul-2017
2017-08-01,13,115350.0,4.3,8,"muhlenberg, ky",149.0,81.0,0,Aug-2017
2017-09-01,14,117500.0,4.1,9,"muhlenberg, ky",145.0,93.0,0,Sep-2017
2017-10-01,15,116700.0,4.05,10,"muhlenberg, ky",143.0,89.0,0,Oct-2017
2017-11-01,16,114350.0,3.94,11,"muhlenberg, ky",133.0,98.0,0,Nov-2017
2017-12-01,17,106000.0,4.03,12,"muhlenberg, ky",120.0,95.0,0,Dec-2017
2018-01-01,18,109000.0,3.93,1,"muhlenberg, ky",113.0,105.0,0,Jan-2018
2018-02-01,19,112000.0,3.83,2,"muhlenberg, ky",119.0,107.0,0,Feb-2018
2018-03-01,20,120000.0,3.94,3,"muhlenberg, ky",125.0,98.0,0,Mar-2018
2018-04-01,21,120000.0,3.95,4,"muhlenberg, ky",131.0,79.0,0,Apr-2018
2018-05-01,22,117575.0,3.99,5,"muhlenberg, ky",131.0,79.0,0,May-2018
2018-06-01,23,119950.0,4.15,6,"muhlenberg, ky",135.0,76.0,0,Jun-2018
2018-07-01,24,119900.0,4.4,7,"muhlenberg, ky",126.0,79.0,0,Jul-2018
2018-08-01,25,117900.0,4.46,8,"muhlenberg, ky",132.0,80.0,0,Aug-2018
2018-09-01,26,118900.0,4.58,9,"muhlenberg, ky",131.0,85.0,0,Sep-2018
2018-10-01,27,120400.0,4.66,10,"muhlenberg, ky",134.0,78.0,0,Oct-2018
2018-11-01,28,117150.0,4.62,11,"muhlenberg, ky",134.0,94.0,0,Nov-2018
2018-12-01,29,124500.0,4.54,12,"muhlenberg, ky",122.0,103.0,0,Dec-2018
2019-01-01,30,120150.0,4.6,1,"muhlenberg, ky",122.0,111.0,0,Jan-2019
2019-02-01,31,112200.0,4.72,2,"muhlenberg, ky",118.0,103.0,0,Feb-2019
2019-03-01,32,115343.0,4.9,3,"muhlenberg, ky",116.0,101.0,0,Mar-2019
2019-04-01,33,115593.0,4.94,4,"muhlenberg, ky",116.0,97.0,0,Apr-2019
2019-05-01,34,119950.0,4.75,5,"muhlenberg, ky",112.0,102.0,0,May-2019
2019-06-01,35,132900.0,4.51,6,"muhlenberg, ky",102.0,80.0,0,Jun-2019
2019-07-01,36,132700.0,4.41,7,"muhlenberg, ky",102.0,89.0,0,Jul-2019
2019-08-01,37,128664.0,4.41,8,"muhlenberg, ky",108.0,85.0,0,Aug-2019
2019-09-01,38,123734.0,4.2,9,"muhlenberg, ky",115.0,80.0,0,Sep-2019
2019-10-01,39,119900.0,4.14,10,"muhlenberg, ky",117.0,78.0,0,Oct-2019
2019-11-01,40,114700.0,3.84,11,"muhlenberg, ky",103.0,87.0,0,Nov-2019
2019-12-01,41,112000.0,3.81,12,"muhlenberg, ky",100.0,86.0,0,Dec-2019
2020-01-01,42,109450.0,3.75,1,"muhlenberg, ky",98.0,103.0,0,Jan-2020
2020-02-01,43,119400.0,3.73,2,"muhlenberg, ky",94.0,115.0,0,Feb-2020
