date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,449500.0,3.72,7,"multnomah, or",1850.0,27.0,0,Jul-2016
2016-08-01,1,432500.0,3.73,8,"multnomah, or",1942.0,30.0,0,Aug-2016
2016-09-01,2,425000.0,3.66,9,"multnomah, or",1988.0,36.0,0,Sep-2016
2016-10-01,3,429900.0,3.64,10,"multnomah, or",1948.0,37.0,0,Oct-2016
2016-11-01,4,447450.0,3.66,11,"multnomah, or",1726.0,48.0,0,Nov-2016
2016-12-01,5,450000.0,3.48,12,"multnomah, or",1357.0,61.0,0,Dec-2016
2017-01-01,6,465550.0,3.45,1,"multnomah, or",1124.0,64.0,0,Jan-2017
2017-02-01,7,469950.0,3.5,2,"multnomah, or",1106.0,34.0,0,Feb-2017
2017-03-01,8,487075.0,3.52,3,"multnomah, or",1124.0,29.0,0,Mar-2017
2017-04-01,9,498999.0,4.03,4,"multnomah, or",1299.0,26.0,0,Apr-2017
2017-05-01,10,499000.0,4.32,5,"multnomah, or",1571.0,23.0,0,May-2017
2017-06-01,11,492200.0,4.2,6,"multnomah, or",1836.0,25.0,0,Jun-2017
2017-07-01,12,475000.0,4.19,7,"multnomah, or",2176.0,30.0,0,Jul-2017
2017-08-01,13,461950.0,4.3,8,"multnomah, or",2359.0,33.0,0,Aug-2017
2017-09-01,14,450000.0,4.1,9,"multnomah, or",2378.0,38.0,0,Sep-2017
2017-10-01,15,450000.0,4.05,10,"multnomah, or",2266.0,42.0,0,Oct-2017
2017-11-01,16,454500.0,3.94,11,"multnomah, or",1985.0,46.0,0,Nov-2017
2017-12-01,17,459900.0,4.03,12,"multnomah, or",1628.0,56.0,0,Dec-2017
2018-01-01,18,464925.0,3.93,1,"multnomah, or",1445.0,59.0,0,Jan-2018
2018-02-01,19,481950.0,3.83,2,"multnomah, or",1410.0,45.0,0,Feb-2018
2018-03-01,20,499900.0,3.94,3,"multnomah, or",1555.0,36.0,0,Mar-2018
2018-04-01,21,499000.0,3.95,4,"multnomah, or",1812.0,30.0,0,Apr-2018
2018-05-01,22,499900.0,3.99,5,"multnomah, or",2122.0,30.0,0,May-2018
2018-06-01,23,491250.0,4.15,6,"multnomah, or",2468.0,32.0,0,Jun-2018
2018-07-01,24,479913.0,4.4,7,"multnomah, or",2749.0,37.0,0,Jul-2018
2018-08-01,25,475000.0,4.46,8,"multnomah, or",2856.0,39.0,0,Aug-2018
2018-09-01,26,469900.0,4.58,9,"multnomah, or",3031.0,43.0,0,Sep-2018
2018-10-01,27,467000.0,4.66,10,"multnomah, or",3055.0,46.0,0,Oct-2018
2018-11-01,28,470317.0,4.62,11,"multnomah, or",2762.0,55.0,0,Nov-2018
2018-12-01,29,469500.0,4.54,12,"multnomah, or",2310.0,67.0,0,Dec-2018
2019-01-01,30,471595.0,4.6,1,"multnomah, or",2039.0,71.0,0,Jan-2019
2019-02-01,31,477350.0,4.72,2,"multnomah, or",1956.0,44.0,0,Feb-2019
2019-03-01,32,480671.0,4.9,3,"multnomah, or",2061.0,39.0,0,Mar-2019
