date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,79995.0,3.72,7,"nevada, ar",17.0,96.0,0,Jul-2016
2016-08-01,1,85000.0,3.73,8,"nevada, ar",17.0,91.0,0,Aug-2016
2016-09-01,2,85000.0,3.66,9,"nevada, ar",19.0,112.0,0,Sep-2016
2016-10-01,3,85000.0,3.64,10,"nevada, ar",18.0,138.0,0,Oct-2016
2016-11-01,4,67221.0,3.66,11,"nevada, ar",19.0,144.0,0,Nov-2016
2016-12-01,5,77498.0,3.48,12,"nevada, ar",18.0,169.0,0,Dec-2016
2017-01-01,6,108625.0,3.45,1,"nevada, ar",14.0,193.0,0,Jan-2017
2017-02-01,7,56948.0,3.5,2,"nevada, ar",13.0,144.0,0,Feb-2017
2017-03-01,8,59500.0,3.52,3,"nevada, ar",11.0,87.0,0,Mar-2017
2017-04-01,9,64748.0,4.03,4,"nevada, ar",10.0,52.0,0,Apr-2017
2017-05-01,10,69995.0,4.32,5,"nevada, ar",9.0,75.0,0,May-2017
2017-06-01,11,59500.0,4.2,6,"nevada, ar",8.0,89.0,0,Jun-2017
2017-07-01,12,60000.0,4.19,7,"nevada, ar",11.0,72.0,0,Jul-2017
2017-08-01,13,67450.0,4.3,8,"nevada, ar",12.0,35.0,0,Aug-2017
2017-09-01,14,70950.0,4.1,9,"nevada, ar",12.0,53.0,0,Sep-2017
2017-10-01,15,72000.0,4.05,10,"nevada, ar",13.0,78.0,0,Oct-2017
2017-11-01,16,69000.0,3.94,11,"nevada, ar",14.0,96.0,0,Nov-2017
2017-12-01,17,95750.0,4.03,12,"nevada, ar",14.0,120.0,0,Dec-2017
2018-01-01,18,72000.0,3.93,1,"nevada, ar",14.0,106.0,0,Jan-2018
2018-02-01,19,72000.0,3.83,2,"nevada, ar",20.0,32.0,0,Feb-2018
2018-03-01,20,79500.0,3.94,3,"nevada, ar",23.0,48.0,0,Mar-2018
