date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,609000.0,3.72,7,"norfolk, ma",1712.0,52.0,0,Jul-2016
2016-08-01,1,599000.0,3.73,8,"norfolk, ma",1691.0,59.0,0,Aug-2016
2016-09-01,2,599000.0,3.66,9,"norfolk, ma",1832.0,55.0,0,Sep-2016
2016-10-01,3,595000.0,3.64,10,"norfolk, ma",1870.0,51.0,0,Oct-2016
2016-11-01,4,592400.0,3.66,11,"norfolk, ma",1631.0,60.0,0,Nov-2016
2016-12-01,5,588500.0,3.48,12,"norfolk, ma",1236.0,75.0,0,Dec-2016
2017-01-01,6,594450.0,3.45,1,"norfolk, ma",1065.0,79.0,0,Jan-2017
2017-02-01,7,634450.0,3.5,2,"norfolk, ma",1059.0,57.0,0,Feb-2017
2017-03-01,8,649950.0,3.52,3,"norfolk, ma",1170.0,38.0,0,Mar-2017
2017-04-01,9,649000.0,4.03,4,"norfolk, ma",1285.0,32.0,0,Apr-2017
2017-05-01,10,649450.0,4.32,5,"norfolk, ma",1441.0,30.0,0,May-2017
2017-06-01,11,631200.0,4.2,6,"norfolk, ma",1558.0,35.0,0,Jun-2017
2017-07-01,12,619900.0,4.19,7,"norfolk, ma",1513.0,44.0,0,Jul-2017
2017-08-01,13,599900.0,4.3,8,"norfolk, ma",1397.0,51.0,0,Aug-2017
2017-09-01,14,599000.0,4.1,9,"norfolk, ma",1555.0,43.0,0,Sep-2017
2017-10-01,15,599950.0,4.05,10,"norfolk, ma",1580.0,41.0,0,Oct-2017
2017-11-01,16,599950.0,3.94,11,"norfolk, ma",1397.0,49.0,0,Nov-2017
2017-12-01,17,589000.0,4.03,12,"norfolk, ma",1043.0,60.0,0,Dec-2017
2018-01-01,18,597400.0,3.93,1,"norfolk, ma",854.0,69.0,0,Jan-2018
2018-02-01,19,634900.0,3.83,2,"norfolk, ma",907.0,42.0,0,Feb-2018
2018-03-01,20,650000.0,3.94,3,"norfolk, ma",1060.0,30.0,0,Mar-2018
2018-04-01,21,654900.0,3.95,4,"norfolk, ma",1246.0,27.0,0,Apr-2018
2018-05-01,22,677000.0,3.99,5,"norfolk, ma",1391.0,27.0,0,May-2018
2018-06-01,23,650000.0,4.15,6,"norfolk, ma",1548.0,36.0,0,Jun-2018
2018-07-01,24,639900.0,4.4,7,"norfolk, ma",1459.0,44.0,0,Jul-2018
2018-08-01,25,626950.0,4.46,8,"norfolk, ma",1481.0,48.0,0,Aug-2018
2018-09-01,26,615000.0,4.58,9,"norfolk, ma",1689.0,42.0,0,Sep-2018
2018-10-01,27,599900.0,4.66,10,"norfolk, ma",1703.0,45.0,0,Oct-2018
2018-11-01,28,594975.0,4.62,11,"norfolk, ma",1632.0,50.0,0,Nov-2018
2018-12-01,29,594900.0,4.54,12,"norfolk, ma",1270.0,65.0,0,Dec-2018
2019-01-01,30,597400.0,4.6,1,"norfolk, ma",1078.0,72.0,0,Jan-2019
2019-02-01,31,599900.0,4.72,2,"norfolk, ma",1127.0,47.0,0,Feb-2019
2019-03-01,32,614957.0,4.9,3,"norfolk, ma",1292.0,38.0,0,Mar-2019
2019-04-01,33,638075.0,4.94,4,"norfolk, ma",1469.0,31.0,0,Apr-2019
2019-05-01,34,649000.0,4.75,5,"norfolk, ma",1634.0,32.0,0,May-2019
2019-06-01,35,649000.0,4.51,6,"norfolk, ma",1814.0,37.0,0,Jun-2019
2019-07-01,36,632225.0,4.41,7,"norfolk, ma",1702.0,49.0,0,Jul-2019
2019-08-01,37,618155.0,4.41,8,"norfolk, ma",1705.0,49.0,0,Aug-2019
2019-09-01,38,607886.0,4.2,9,"norfolk, ma",1705.0,47.0,0,Sep-2019
2019-10-01,39,601091.0,4.14,10,"norfolk, ma",1704.0,45.0,0,Oct-2019
2019-11-01,40,600000.0,3.84,11,"norfolk, ma",1539.0,53.0,0,Nov-2019
2019-12-01,41,619900.0,3.81,12,"norfolk, ma",1042.0,75.0,0,Dec-2019
2020-01-01,42,604950.0,3.75,1,"norfolk, ma",858.0,81.0,0,Jan-2020
2020-02-01,43,649000.0,3.73,2,"norfolk, ma",841.0,38.0,0,Feb-2020
2020-03-01,44,686250.0,3.78,3,"norfolk, ma",1038.0,25.0,0,Mar-2020
2020-04-01,45,672450.0,3.75,4,"norfolk, ma",1000.0,45.0,0,Apr-2020
2020-05-01,46,699000.0,3.74,5,"norfolk, ma",1148.0,54.0,0,May-2020
2020-06-01,47,722350.0,3.72,6,"norfolk, ma",1228.0,33.0,0,Jun-2020
2020-07-01,48,709450.0,3.49,7,"norfolk, ma",1192.0,36.0,0,Jul-2020
2020-08-01,49,699900.0,3.65,8,"norfolk, ma",1135.0,38.0,0,Aug-2020
2020-09-01,50,699000.0,3.33,9,"norfolk, ma",1126.0,35.0,0,Sep-2020
2020-10-01,51,699000.0,3.28,10,"norfolk, ma",1192.0,33.0,0,Oct-2020
2020-11-01,52,692000.0,3.21,11,"norfolk, ma",1047.0,47.0,0,Nov-2020
2020-12-01,53,656750.0,3.07,12,"norfolk, ma",789.0,63.0,0,Dec-2020
2021-01-01,54,697000.0,2.99,1,"norfolk, ma",629.0,52.0,0,Jan-2021
2021-02-01,55,724000.0,2.93,2,"norfolk, ma",577.0,35.0,0,Feb-2021
2021-03-01,56,724975.0,2.88,3,"norfolk, ma",643.0,18.0,0,Mar-2021
2021-04-01,57,706950.0,2.84,4,"norfolk, ma",747.0,17.0,0,Apr-2021
2021-05-01,58,712750.0,2.71,5,"norfolk, ma",777.0,17.0,0,May-2021
2021-06-01,59,728750.0,2.79,6,"norfolk, ma",862.0,18.0,0,Jun-2021
2021-07-01,60,719450.0,2.97,7,"norfolk, ma",839.0,27.0,0,Jul-2021
2021-08-01,61,702448.0,3.17,8,"norfolk, ma",774.0,30.0,0,Aug-2021
2021-09-01,62,704974.0,3.18,9,"norfolk, ma",823.0,27.0,0,Sep-2021
2021-10-01,63,724900.0,3.0,10,"norfolk, ma",794.0,26.0,0,Oct-2021
2021-11-01,64,702246.0,3.02,11,"norfolk, ma",677.0,35.0,0,Nov-2021
2021-12-01,65,712422.0,2.98,12,"norfolk, ma",472.0,44.0,0,Dec-2021
2022-01-01,66,751950.0,2.87,1,"norfolk, ma",351.0,43.0,0,Jan-2022
2022-02-01,67,764450.0,3.01,2,"norfolk, ma",362.0,21.0,0,Feb-2022
2022-03-01,68,799000.0,3.14,3,"norfolk, ma",410.0,16.0,0,Mar-2022
2022-04-01,69,799000.0,3.1,4,"norfolk, ma",526.0,10.0,0,Apr-2022
2022-05-01,70,813249.0,3.12,5,"norfolk, ma",628.0,12.0,0,May-2022
2022-06-01,71,789491.0,3.56,6,"norfolk, ma",777.0,17.0,0,Jun-2022
2022-07-01,72,759450.0,3.92,7,"norfolk, ma",819.0,24.0,0,Jul-2022
2022-08-01,73,747449.0,4.67,8,"norfolk, ma",779.0,33.0,0,Aug-2022
2022-09-01,74,749900.0,5.11,9,"norfolk, ma",841.0,32.0,733947,Sep-2022
2022-10-01,75,769900.0,5.3,10,"norfolk, ma",879.0,32.0,737144,Oct-2022
2022-11-01,76,767950.0,5.81,11,"norfolk, ma",878.0,38.0,716114,Nov-2022
2022-12-01,77,774900.0,5.54,12,"norfolk, ma",634.0,55.0,693404,Dec-2022
2023-01-01,78,792300.0,5.55,1,"norfolk, ma",521.0,56.0,717597,Jan-2023
2023-02-01,79,847746.0,6.7,2,"norfolk, ma",486.0,34.0,768087,Feb-2023
2023-03-01,80,897000.0,7.08,3,"norfolk, ma",527.0,25.0,817546,Mar-2023
2023-04-01,81,885000.0,7.08,4,"norfolk, ma",569.0,25.0,777533,Apr-2023
2023-05-01,82,924925.0,6.49,5,"norfolk, ma",607.0,18.0,830213,May-2023
2023-06-01,83,941975.0,6.48,6,"norfolk, ma",652.0,24.0,831507,Jun-2023
2023-07-01,84,895000.0,6.5,7,"norfolk, ma",601.0,31.0,784151,Jul-2023
