date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-08-01,0,145500.0,3.73,8,"ochiltree, tx",2.0,6.0,0,Aug-2016
2016-09-01,1,146000.0,3.66,9,"ochiltree, tx",1.0,22.0,0,Sep-2016
2016-10-01,2,210500.0,3.64,10,"ochiltree, tx",2.0,25.0,0,Oct-2016
2016-11-01,3,200000.0,3.66,11,"ochiltree, tx",3.0,35.0,0,Nov-2016
2016-12-01,4,281500.0,3.48,12,"ochiltree, tx",3.0,45.0,0,Dec-2016
2017-01-01,5,201500.0,3.45,1,"ochiltree, tx",8.0,18.0,0,Jan-2017
2017-02-01,6,195625.0,3.5,2,"ochiltree, tx",8.0,37.0,0,Feb-2017
2017-03-01,7,157750.0,3.52,3,"ochiltree, tx",8.0,46.0,0,Mar-2017
2017-04-01,8,169500.0,4.03,4,"ochiltree, tx",7.0,72.0,0,Apr-2017
2017-05-01,9,196500.0,4.32,5,"ochiltree, tx",8.0,85.0,0,May-2017
2017-06-01,10,151250.0,4.2,6,"ochiltree, tx",8.0,62.0,0,Jun-2017
2017-07-01,11,137950.0,4.19,7,"ochiltree, tx",8.0,55.0,0,Jul-2017
2017-08-01,12,137925.0,4.3,8,"ochiltree, tx",13.0,57.0,0,Aug-2017
2017-09-01,13,135950.0,4.1,9,"ochiltree, tx",14.0,59.0,0,Sep-2017
2017-10-01,14,157450.0,4.05,10,"ochiltree, tx",15.0,78.0,0,Oct-2017
2017-11-01,15,182500.0,3.94,11,"ochiltree, tx",29.0,21.0,0,Nov-2017
2017-12-01,16,179000.0,4.03,12,"ochiltree, tx",30.0,51.0,0,Dec-2017
2018-01-01,17,157475.0,3.93,1,"ochiltree, tx",30.0,79.0,0,Jan-2018
2018-02-01,18,135725.0,3.83,2,"ochiltree, tx",28.0,99.0,0,Feb-2018
2018-03-01,19,179950.0,3.94,3,"ochiltree, tx",24.0,62.0,0,Mar-2018
2018-04-01,20,177600.0,3.95,4,"ochiltree, tx",28.0,64.0,0,Apr-2018
2018-05-01,21,169750.0,3.99,5,"ochiltree, tx",27.0,88.0,0,May-2018
2018-06-01,22,149900.0,4.15,6,"ochiltree, tx",26.0,106.0,0,Jun-2018
2018-07-01,23,165200.0,4.4,7,"ochiltree, tx",31.0,79.0,0,Jul-2018
2018-08-01,24,145475.0,4.46,8,"ochiltree, tx",33.0,51.0,0,Aug-2018
2018-09-01,25,139000.0,4.58,9,"ochiltree, tx",33.0,67.0,0,Sep-2018
2018-10-01,26,142000.0,4.66,10,"ochiltree, tx",40.0,58.0,0,Oct-2018
2018-11-01,27,152250.0,4.62,11,"ochiltree, tx",36.0,71.0,0,Nov-2018
2018-12-01,28,158000.0,4.54,12,"ochiltree, tx",38.0,86.0,0,Dec-2018
2019-01-01,29,156000.0,4.6,1,"ochiltree, tx",40.0,104.0,0,Jan-2019
2019-02-01,30,157500.0,4.72,2,"ochiltree, tx",40.0,105.0,0,Feb-2019
2019-03-01,31,147571.0,4.9,3,"ochiltree, tx",34.0,82.0,0,Mar-2019
2019-04-01,32,137450.0,4.94,4,"ochiltree, tx",27.0,75.0,0,Apr-2019
2019-05-01,33,140000.0,4.75,5,"ochiltree, tx",31.0,59.0,0,May-2019
2019-06-01,34,158000.0,4.51,6,"ochiltree, tx",31.0,67.0,0,Jun-2019
2019-07-01,35,171000.0,4.41,7,"ochiltree, tx",32.0,73.0,0,Jul-2019
2019-08-01,36,177664.0,4.41,8,"ochiltree, tx",30.0,88.0,0,Aug-2019
2019-09-01,37,170484.0,4.2,9,"ochiltree, tx",26.0,100.0,0,Sep-2019
2019-10-01,38,169473.0,4.14,10,"ochiltree, tx",23.0,108.0,0,Oct-2019
2019-11-01,39,162450.0,3.84,11,"ochiltree, tx",21.0,112.0,0,Nov-2019
2019-12-01,40,156125.0,3.81,12,"ochiltree, tx",22.0,95.0,0,Dec-2019
2020-01-01,41,147000.0,3.75,1,"ochiltree, tx",22.0,67.0,0,Jan-2020
2020-02-01,42,138000.0,3.73,2,"ochiltree, tx",23.0,63.0,0,Feb-2020
2020-03-01,43,138875.0,3.78,3,"ochiltree, tx",22.0,79.0,0,Mar-2020
2020-04-01,44,147500.0,3.75,4,"ochiltree, tx",21.0,106.0,0,Apr-2020
2020-05-01,45,185000.0,3.74,5,"ochiltree, tx",21.0,124.0,0,May-2020
2020-06-01,46,160250.0,3.72,6,"ochiltree, tx",25.0,42.0,0,Jun-2020
2020-07-01,47,145500.0,3.49,7,"ochiltree, tx",24.0,57.0,0,Jul-2020
2020-08-01,48,159000.0,3.65,8,"ochiltree, tx",28.0,72.0,0,Aug-2020
2020-09-01,49,145000.0,3.33,9,"ochiltree, tx",27.0,84.0,0,Sep-2020
2020-10-01,50,135000.0,3.28,10,"ochiltree, tx",30.0,53.0,0,Oct-2020
2020-11-01,51,132500.0,3.21,11,"ochiltree, tx",29.0,49.0,0,Nov-2020
2020-12-01,52,130000.0,3.07,12,"ochiltree, tx",29.0,69.0,0,Dec-2020
2021-01-01,53,137000.0,2.99,1,"ochiltree, tx",30.0,78.0,0,Jan-2021
2021-02-01,54,137000.0,2.93,2,"ochiltree, tx",28.0,78.0,0,Feb-2021
2021-03-01,55,138000.0,2.88,3,"ochiltree, tx",26.0,93.0,0,Mar-2021
2021-04-01,56,134625.0,2.84,4,"ochiltree, tx",23.0,127.0,0,Apr-2021
2021-05-01,57,142000.0,2.71,5,"ochiltree, tx",23.0,72.0,0,May-2021
2021-06-01,58,151325.0,2.79,6,"ochiltree, tx",26.0,55.0,0,Jun-2021
2021-07-01,59,135000.0,2.97,7,"ochiltree, tx",22.0,52.0,0,Jul-2021
2021-08-01,60,125375.0,3.17,8,"ochiltree, tx",24.0,37.0,0,Aug-2021
2021-09-01,61,125750.0,3.18,9,"ochiltree, tx",24.0,46.0,0,Sep-2021
2021-10-01,62,149900.0,3.0,10,"ochiltree, tx",27.0,66.0,0,Oct-2021
2021-11-01,63,142475.0,3.02,11,"ochiltree, tx",27.0,70.0,0,Nov-2021
2021-12-01,64,125875.0,2.98,12,"ochiltree, tx",26.0,85.0,0,Dec-2021
2022-01-01,65,140000.0,2.87,1,"ochiltree, tx",23.0,118.0,0,Jan-2022
2022-02-01,66,139000.0,3.01,2,"ochiltree, tx",26.0,111.0,0,Feb-2022
2022-03-01,67,138625.0,3.14,3,"ochiltree, tx",29.0,76.0,0,Mar-2022
2022-04-01,68,134900.0,3.1,4,"ochiltree, tx",27.0,78.0,0,Apr-2022
2022-05-01,69,115000.0,3.12,5,"ochiltree, tx",26.0,76.0,0,May-2022
2022-06-01,70,117725.0,3.56,6,"ochiltree, tx",31.0,39.0,0,Jun-2022
2022-07-01,71,145000.0,3.92,7,"ochiltree, tx",38.0,51.0,0,Jul-2022
2022-08-01,72,155625.0,4.67,8,"ochiltree, tx",37.0,71.0,0,Aug-2022
2022-09-01,73,156250.0,5.11,9,"ochiltree, tx",36.0,93.0,137182,Sep-2022
2022-10-01,74,155900.0,5.3,10,"ochiltree, tx",36.0,109.0,138112,Oct-2022
2022-11-01,75,155900.0,5.81,11,"ochiltree, tx",37.0,111.0,134345,Nov-2022
2022-12-01,76,152500.0,5.54,12,"ochiltree, tx",34.0,136.0,134145,Dec-2022
2023-01-01,77,151250.0,5.55,1,"ochiltree, tx",29.0,125.0,133947,Jan-2023
2023-02-01,78,164975.0,6.7,2,"ochiltree, tx",33.0,82.0,135314,Feb-2023
2023-03-01,79,145000.0,7.08,3,"ochiltree, tx",39.0,60.0,138974,Mar-2023
2023-04-01,80,139000.0,7.08,4,"ochiltree, tx",34.0,94.0,136013,Apr-2023
2023-05-01,81,138500.0,6.49,5,"ochiltree, tx",32.0,105.0,138137,May-2023
2023-06-01,82,137000.0,6.48,6,"ochiltree, tx",32.0,77.0,134736,Jun-2023
2023-07-01,83,139000.0,6.5,7,"ochiltree, tx",28.0,56.0,135898,Jul-2023
