date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,394403.0,3.72,7,"oconee, ga",355.0,69.0,0,Jul-2016
2016-08-01,1,395500.0,3.73,8,"oconee, ga",346.0,80.0,0,Aug-2016
2016-09-01,2,399450.0,3.66,9,"oconee, ga",320.0,90.0,0,Sep-2016
2016-10-01,3,399900.0,3.64,10,"oconee, ga",307.0,99.0,0,Oct-2016
2016-11-01,4,396840.0,3.66,11,"oconee, ga",311.0,113.0,0,Nov-2016
2016-12-01,5,399000.0,3.48,12,"oconee, ga",282.0,124.0,0,Dec-2016
2017-01-01,6,382450.0,3.45,1,"oconee, ga",259.0,116.0,0,Jan-2017
2017-02-01,7,381127.0,3.5,2,"oconee, ga",303.0,77.0,0,Feb-2017
2017-03-01,8,378133.0,3.52,3,"oconee, ga",324.0,53.0,0,Mar-2017
2017-04-01,9,375000.0,4.03,4,"oconee, ga",337.0,61.0,0,Apr-2017
2017-05-01,10,373950.0,4.32,5,"oconee, ga",314.0,69.0,0,May-2017
2017-06-01,11,373034.0,4.2,6,"oconee, ga",312.0,78.0,0,Jun-2017
2017-07-01,12,387175.0,4.19,7,"oconee, ga",288.0,79.0,0,Jul-2017
2017-08-01,13,391200.0,4.3,8,"oconee, ga",262.0,76.0,0,Aug-2017
2017-09-01,14,389900.0,4.1,9,"oconee, ga",255.0,82.0,0,Sep-2017
2017-10-01,15,389450.0,4.05,10,"oconee, ga",258.0,82.0,0,Oct-2017
2017-11-01,16,389675.0,3.94,11,"oconee, ga",240.0,91.0,0,Nov-2017
2017-12-01,17,399000.0,4.03,12,"oconee, ga",204.0,96.0,0,Dec-2017
2018-01-01,18,414378.0,3.93,1,"oconee, ga",188.0,100.0,0,Jan-2018
2018-02-01,19,412040.0,3.83,2,"oconee, ga",220.0,62.0,0,Feb-2018
2018-03-01,20,415010.0,3.94,3,"oconee, ga",237.0,45.0,0,Mar-2018
2018-04-01,21,420605.0,3.95,4,"oconee, ga",234.0,58.0,0,Apr-2018
2018-05-01,22,423365.0,3.99,5,"oconee, ga",239.0,59.0,0,May-2018
2018-06-01,23,429500.0,4.15,6,"oconee, ga",240.0,58.0,0,Jun-2018
2018-07-01,24,429000.0,4.4,7,"oconee, ga",229.0,64.0,0,Jul-2018
2018-08-01,25,423700.0,4.46,8,"oconee, ga",223.0,73.0,0,Aug-2018
2018-09-01,26,424900.0,4.58,9,"oconee, ga",232.0,78.0,0,Sep-2018
2018-10-01,27,421150.0,4.66,10,"oconee, ga",229.0,84.0,0,Oct-2018
2018-11-01,28,423450.0,4.62,11,"oconee, ga",218.0,89.0,0,Nov-2018
2018-12-01,29,429450.0,4.54,12,"oconee, ga",185.0,97.0,0,Dec-2018
