date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,422500.0,3.72,7,"oldham, ky",322.0,51.0,0,Jul-2016
2016-08-01,1,420750.0,3.73,8,"oldham, ky",315.0,62.0,0,Aug-2016
2016-09-01,2,429000.0,3.66,9,"oldham, ky",291.0,71.0,0,Sep-2016
2016-10-01,3,400000.0,3.64,10,"oldham, ky",286.0,72.0,0,Oct-2016
2016-11-01,4,399475.0,3.66,11,"oldham, ky",269.0,70.0,0,Nov-2016
2016-12-01,5,415000.0,3.48,12,"oldham, ky",241.0,88.0,0,Dec-2016
2017-01-01,6,428725.0,3.45,1,"oldham, ky",212.0,97.0,0,Jan-2017
2017-02-01,7,437375.0,3.5,2,"oldham, ky",219.0,94.0,0,Feb-2017
2017-03-01,8,440000.0,3.52,3,"oldham, ky",231.0,52.0,0,Mar-2017
2017-04-01,9,448550.0,4.03,4,"oldham, ky",270.0,47.0,0,Apr-2017
2017-05-01,10,450000.0,4.32,5,"oldham, ky",268.0,51.0,0,May-2017
2017-06-01,11,450000.0,4.2,6,"oldham, ky",279.0,52.0,0,Jun-2017
2017-07-01,12,442450.0,4.19,7,"oldham, ky",315.0,46.0,0,Jul-2017
2017-08-01,13,433025.0,4.3,8,"oldham, ky",293.0,62.0,0,Aug-2017
2017-09-01,14,440000.0,4.1,9,"oldham, ky",261.0,70.0,0,Sep-2017
2017-10-01,15,418675.0,4.05,10,"oldham, ky",284.0,66.0,0,Oct-2017
2017-11-01,16,411200.0,3.94,11,"oldham, ky",269.0,70.0,0,Nov-2017
2017-12-01,17,379950.0,4.03,12,"oldham, ky",246.0,82.0,0,Dec-2017
2018-01-01,18,397425.0,3.93,1,"oldham, ky",218.0,96.0,0,Jan-2018
2018-02-01,19,399475.0,3.83,2,"oldham, ky",214.0,69.0,0,Feb-2018
2018-03-01,20,390000.0,3.94,3,"oldham, ky",229.0,47.0,0,Mar-2018
2018-04-01,21,411555.0,3.95,4,"oldham, ky",248.0,48.0,0,Apr-2018
2018-05-01,22,427675.0,3.99,5,"oldham, ky",279.0,49.0,0,May-2018
2018-06-01,23,449900.0,4.15,6,"oldham, ky",304.0,50.0,0,Jun-2018
2018-07-01,24,424475.0,4.4,7,"oldham, ky",339.0,44.0,0,Jul-2018
2018-08-01,25,422450.0,4.46,8,"oldham, ky",354.0,52.0,0,Aug-2018
2018-09-01,26,419000.0,4.58,9,"oldham, ky",347.0,63.0,0,Sep-2018
2018-10-01,27,399163.0,4.66,10,"oldham, ky",335.0,73.0,0,Oct-2018
2018-11-01,28,394225.0,4.62,11,"oldham, ky",314.0,81.0,0,Nov-2018
2018-12-01,29,395000.0,4.54,12,"oldham, ky",274.0,89.0,0,Dec-2018
2019-01-01,30,391175.0,4.6,1,"oldham, ky",253.0,79.0,0,Jan-2019
2019-02-01,31,395187.0,4.72,2,"oldham, ky",245.0,82.0,0,Feb-2019
2019-03-01,32,396971.0,4.9,3,"oldham, ky",261.0,65.0,0,Mar-2019
2019-04-01,33,407500.0,4.94,4,"oldham, ky",287.0,49.0,0,Apr-2019
2019-05-01,34,419925.0,4.75,5,"oldham, ky",284.0,55.0,0,May-2019
2019-06-01,35,409200.0,4.51,6,"oldham, ky",302.0,47.0,0,Jun-2019
2019-07-01,36,424450.0,4.41,7,"oldham, ky",309.0,50.0,0,Jul-2019
2019-08-01,37,436682.0,4.41,8,"oldham, ky",298.0,55.0,0,Aug-2019
2019-09-01,38,424205.0,4.2,9,"oldham, ky",288.0,57.0,0,Sep-2019
2019-10-01,39,415425.0,4.14,10,"oldham, ky",279.0,60.0,0,Oct-2019
2019-11-01,40,414950.0,3.84,11,"oldham, ky",246.0,77.0,0,Nov-2019
2019-12-01,41,399975.0,3.81,12,"oldham, ky",222.0,86.0,0,Dec-2019
2020-01-01,42,400184.0,3.75,1,"oldham, ky",206.0,83.0,0,Jan-2020
2020-02-01,43,421200.0,3.73,2,"oldham, ky",193.0,80.0,0,Feb-2020
2020-03-01,44,420000.0,3.78,3,"oldham, ky",194.0,53.0,0,Mar-2020
2020-04-01,45,418533.0,3.75,4,"oldham, ky",203.0,54.0,0,Apr-2020
