date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,269900.0,3.72,7,"orange, va",319.0,79.0,0,Jul-2016
2016-08-01,1,265125.0,3.73,8,"orange, va",339.0,70.0,0,Aug-2016
2016-09-01,2,265000.0,3.66,9,"orange, va",340.0,67.0,0,Sep-2016
2016-10-01,3,260000.0,3.64,10,"orange, va",350.0,72.0,0,Oct-2016
2016-11-01,4,259000.0,3.66,11,"orange, va",300.0,84.0,0,Nov-2016
2016-12-01,5,255000.0,3.48,12,"orange, va",261.0,100.0,0,Dec-2016
2017-01-01,6,250650.0,3.45,1,"orange, va",242.0,108.0,0,Jan-2017
2017-02-01,7,255450.0,3.5,2,"orange, va",230.0,90.0,0,Feb-2017
2017-03-01,8,259900.0,3.52,3,"orange, va",245.0,59.0,0,Mar-2017
2017-04-01,9,265000.0,4.03,4,"orange, va",268.0,53.0,0,Apr-2017
2017-05-01,10,268725.0,4.32,5,"orange, va",290.0,52.0,0,May-2017
2017-06-01,11,271673.0,4.2,6,"orange, va",287.0,61.0,0,Jun-2017
2017-07-01,12,274900.0,4.19,7,"orange, va",280.0,69.0,0,Jul-2017
2017-08-01,13,278000.0,4.3,8,"orange, va",288.0,78.0,0,Aug-2017
2017-09-01,14,279275.0,4.1,9,"orange, va",272.0,72.0,0,Sep-2017
2017-10-01,15,276975.0,4.05,10,"orange, va",261.0,73.0,0,Oct-2017
2017-11-01,16,273148.0,3.94,11,"orange, va",265.0,76.0,0,Nov-2017
2017-12-01,17,274900.0,4.03,12,"orange, va",226.0,82.0,0,Dec-2017
2018-01-01,18,272850.0,3.93,1,"orange, va",199.0,94.0,0,Jan-2018
2018-02-01,19,274950.0,3.83,2,"orange, va",202.0,97.0,0,Feb-2018
2018-03-01,20,280000.0,3.94,3,"orange, va",221.0,53.0,0,Mar-2018
2018-04-01,21,292200.0,3.95,4,"orange, va",243.0,49.0,0,Apr-2018
2018-05-01,22,310200.0,3.99,5,"orange, va",273.0,44.0,0,May-2018
2018-06-01,23,299900.0,4.15,6,"orange, va",299.0,51.0,0,Jun-2018
2018-07-01,24,307400.0,4.4,7,"orange, va",296.0,65.0,0,Jul-2018
2018-08-01,25,299900.0,4.46,8,"orange, va",300.0,75.0,0,Aug-2018
2018-09-01,26,299900.0,4.58,9,"orange, va",294.0,68.0,0,Sep-2018
2018-10-01,27,299900.0,4.66,10,"orange, va",288.0,74.0,0,Oct-2018
2018-11-01,28,299900.0,4.62,11,"orange, va",273.0,80.0,0,Nov-2018
2018-12-01,29,299900.0,4.54,12,"orange, va",225.0,91.0,0,Dec-2018
2019-01-01,30,299000.0,4.6,1,"orange, va",201.0,94.0,0,Jan-2019
2019-02-01,31,299350.0,4.72,2,"orange, va",203.0,99.0,0,Feb-2019
2019-03-01,32,308429.0,4.9,3,"orange, va",215.0,80.0,0,Mar-2019
2019-04-01,33,313466.0,4.94,4,"orange, va",223.0,50.0,0,Apr-2019
2019-05-01,34,315000.0,4.75,5,"orange, va",227.0,51.0,0,May-2019
2019-06-01,35,314900.0,4.51,6,"orange, va",226.0,55.0,0,Jun-2019
2019-07-01,36,319944.0,4.41,7,"orange, va",217.0,60.0,0,Jul-2019
2019-08-01,37,322168.0,4.41,8,"orange, va",209.0,60.0,0,Aug-2019
2019-09-01,38,318080.0,4.2,9,"orange, va",216.0,53.0,0,Sep-2019
2019-10-01,39,314900.0,4.14,10,"orange, va",215.0,52.0,0,Oct-2019
2019-11-01,40,314900.0,3.84,11,"orange, va",197.0,64.0,0,Nov-2019
2019-12-01,41,316150.0,3.81,12,"orange, va",179.0,83.0,0,Dec-2019
2020-01-01,42,319200.0,3.75,1,"orange, va",154.0,94.0,0,Jan-2020
2020-02-01,43,343000.0,3.73,2,"orange, va",154.0,89.0,0,Feb-2020
2020-03-01,44,349900.0,3.78,3,"orange, va",156.0,46.0,0,Mar-2020
2020-04-01,45,349900.0,3.75,4,"orange, va",164.0,47.0,0,Apr-2020
2020-05-01,46,339900.0,3.74,5,"orange, va",157.0,61.0,0,May-2020
2020-06-01,47,359900.0,3.72,6,"orange, va",141.0,61.0,0,Jun-2020
2020-07-01,48,375000.0,3.49,7,"orange, va",126.0,75.0,0,Jul-2020
2020-08-01,49,399000.0,3.65,8,"orange, va",113.0,64.0,0,Aug-2020
2020-09-01,50,402275.0,3.33,9,"orange, va",107.0,64.0,0,Sep-2020
2020-10-01,51,398875.0,3.28,10,"orange, va",108.0,59.0,0,Oct-2020
2020-11-01,52,385900.0,3.21,11,"orange, va",94.0,55.0,0,Nov-2020
2020-12-01,53,385900.0,3.07,12,"orange, va",78.0,55.0,0,Dec-2020
2021-01-01,54,385900.0,2.99,1,"orange, va",67.0,65.0,0,Jan-2021
2021-02-01,55,387195.0,2.93,2,"orange, va",61.0,56.0,0,Feb-2021
2021-03-01,56,395900.0,2.88,3,"orange, va",60.0,50.0,0,Mar-2021
2021-04-01,57,398220.0,2.84,4,"orange, va",69.0,39.0,0,Apr-2021
2021-05-01,58,398445.0,2.71,5,"orange, va",73.0,40.0,0,May-2021
