date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,156250.0,3.72,7,"panola, ms",90.0,77.0,0,Jul-2016
2016-08-01,1,155000.0,3.73,8,"panola, ms",87.0,72.0,0,Aug-2016
2016-09-01,2,156750.0,3.66,9,"panola, ms",85.0,64.0,0,Sep-2016
2016-10-01,3,156200.0,3.64,10,"panola, ms",87.0,75.0,0,Oct-2016
2016-11-01,4,152850.0,3.66,11,"panola, ms",94.0,84.0,0,Nov-2016
2016-12-01,5,149000.0,3.48,12,"panola, ms",78.0,101.0,0,Dec-2016
2017-01-01,6,139875.0,3.45,1,"panola, ms",81.0,97.0,0,Jan-2017
2017-02-01,7,142875.0,3.5,2,"panola, ms",89.0,84.0,0,Feb-2017
2017-03-01,8,144750.0,3.52,3,"panola, ms",92.0,75.0,0,Mar-2017
2017-04-01,9,144000.0,4.03,4,"panola, ms",80.0,75.0,0,Apr-2017
2017-05-01,10,147000.0,4.32,5,"panola, ms",83.0,81.0,0,May-2017
2017-06-01,11,154475.0,4.2,6,"panola, ms",82.0,67.0,0,Jun-2017
2017-07-01,12,161000.0,4.19,7,"panola, ms",84.0,70.0,0,Jul-2017
2017-08-01,13,171600.0,4.3,8,"panola, ms",92.0,82.0,0,Aug-2017
2017-09-01,14,167450.0,4.1,9,"panola, ms",89.0,98.0,0,Sep-2017
2017-10-01,15,159750.0,4.05,10,"panola, ms",85.0,106.0,0,Oct-2017
2017-11-01,16,149925.0,3.94,11,"panola, ms",87.0,103.0,0,Nov-2017
2017-12-01,17,155000.0,4.03,12,"panola, ms",80.0,104.0,0,Dec-2017
2018-01-01,18,152450.0,3.93,1,"panola, ms",80.0,96.0,0,Jan-2018
2018-02-01,19,146000.0,3.83,2,"panola, ms",81.0,113.0,0,Feb-2018
2018-03-01,20,146000.0,3.94,3,"panola, ms",77.0,121.0,0,Mar-2018
2018-04-01,21,149225.0,3.95,4,"panola, ms",80.0,97.0,0,Apr-2018
2018-05-01,22,152175.0,3.99,5,"panola, ms",78.0,74.0,0,May-2018
2018-06-01,23,148700.0,4.15,6,"panola, ms",75.0,76.0,0,Jun-2018
2018-07-01,24,143375.0,4.4,7,"panola, ms",74.0,89.0,0,Jul-2018
2018-08-01,25,140375.0,4.46,8,"panola, ms",71.0,91.0,0,Aug-2018
2018-09-01,26,135750.0,4.58,9,"panola, ms",70.0,97.0,0,Sep-2018
2018-10-01,27,140325.0,4.66,10,"panola, ms",77.0,72.0,0,Oct-2018
2018-11-01,28,141625.0,4.62,11,"panola, ms",75.0,57.0,0,Nov-2018
2018-12-01,29,139000.0,4.54,12,"panola, ms",77.0,67.0,0,Dec-2018
2019-01-01,30,132475.0,4.6,1,"panola, ms",78.0,87.0,0,Jan-2019
2019-02-01,31,137250.0,4.72,2,"panola, ms",83.0,91.0,0,Feb-2019
2019-03-01,32,144764.0,4.9,3,"panola, ms",79.0,96.0,0,Mar-2019
2019-04-01,33,149175.0,4.94,4,"panola, ms",69.0,94.0,0,Apr-2019
2019-05-01,34,143250.0,4.75,5,"panola, ms",67.0,101.0,0,May-2019
2019-06-01,35,148000.0,4.51,6,"panola, ms",72.0,88.0,0,Jun-2019
2019-07-01,36,149250.0,4.41,7,"panola, ms",82.0,65.0,0,Jul-2019
2019-08-01,37,149282.0,4.41,8,"panola, ms",79.0,76.0,0,Aug-2019
2019-09-01,38,154580.0,4.2,9,"panola, ms",75.0,87.0,0,Sep-2019
2019-10-01,39,158111.0,4.14,10,"panola, ms",71.0,98.0,0,Oct-2019
2019-11-01,40,154900.0,3.84,11,"panola, ms",65.0,97.0,0,Nov-2019
2019-12-01,41,162500.0,3.81,12,"panola, ms",63.0,120.0,0,Dec-2019
2020-01-01,42,151200.0,3.75,1,"panola, ms",62.0,124.0,0,Jan-2020
2020-02-01,43,147000.0,3.73,2,"panola, ms",61.0,106.0,0,Feb-2020
2020-03-01,44,149500.0,3.78,3,"panola, ms",55.0,85.0,0,Mar-2020
2020-04-01,45,160000.0,3.75,4,"panola, ms",58.0,99.0,0,Apr-2020
2020-05-01,46,198000.0,3.74,5,"panola, ms",52.0,105.0,0,May-2020
2020-06-01,47,204250.0,3.72,6,"panola, ms",52.0,99.0,0,Jun-2020
2020-07-01,48,229000.0,3.49,7,"panola, ms",49.0,100.0,0,Jul-2020
