date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,89000.0,3.72,7,"parmer, tx",5.0,0,Jul-2016
2016-08-01,1,86250.0,3.73,8,"parmer, tx",5.0,0,Aug-2016
2016-09-01,2,86250.0,3.66,9,"parmer, tx",6.0,0,Sep-2016
2016-10-01,3,89000.0,3.64,10,"parmer, tx",7.0,0,Oct-2016
2016-11-01,4,98750.0,3.66,11,"parmer, tx",6.0,0,Nov-2016
2016-12-01,5,115000.0,3.48,12,"parmer, tx",5.0,0,Dec-2016
2017-01-01,6,162500.0,3.45,1,"parmer, tx",6.0,0,Jan-2017
2017-02-01,7,115000.0,3.5,2,"parmer, tx",7.0,0,Feb-2017
2017-03-01,8,90600.0,3.52,3,"parmer, tx",5.0,0,Mar-2017
2017-04-01,9,199900.0,4.03,4,"parmer, tx",7.0,0,Apr-2017
2017-05-01,10,109975.0,4.32,5,"parmer, tx",7.0,0,May-2017
2017-06-01,11,110000.0,4.2,6,"parmer, tx",6.0,0,Jun-2017
2017-07-01,12,94450.0,4.19,7,"parmer, tx",6.0,0,Jul-2017
2017-08-01,13,91725.0,4.3,8,"parmer, tx",11.0,0,Aug-2017
2017-09-01,14,107500.0,4.1,9,"parmer, tx",6.0,0,Sep-2017
2017-10-01,15,100875.0,4.05,10,"parmer, tx",9.0,0,Oct-2017
2017-11-01,16,97000.0,3.94,11,"parmer, tx",11.0,0,Nov-2017
2017-12-01,17,99750.0,4.03,12,"parmer, tx",9.0,0,Dec-2017
2018-01-01,18,170000.0,3.93,1,"parmer, tx",7.0,0,Jan-2018
2018-02-01,19,165750.0,3.83,2,"parmer, tx",8.0,0,Feb-2018
2018-03-01,20,165000.0,3.94,3,"parmer, tx",5.0,0,Mar-2018
2018-04-01,21,137500.0,3.95,4,"parmer, tx",6.0,0,Apr-2018
2018-05-01,22,125625.0,3.99,5,"parmer, tx",6.0,0,May-2018
2018-06-01,23,114500.0,4.15,6,"parmer, tx",7.0,0,Jun-2018
2018-07-01,24,114500.0,4.4,7,"parmer, tx",7.0,0,Jul-2018
2018-08-01,25,159950.0,4.46,8,"parmer, tx",9.0,0,Aug-2018
2018-09-01,26,149500.0,4.58,9,"parmer, tx",8.0,0,Sep-2018
2018-10-01,27,132250.0,4.66,10,"parmer, tx",6.0,0,Oct-2018
2018-11-01,28,132250.0,4.62,11,"parmer, tx",6.0,0,Nov-2018
2018-12-01,29,132250.0,4.54,12,"parmer, tx",6.0,0,Dec-2018
2019-01-01,30,132250.0,4.6,1,"parmer, tx",6.0,0,Jan-2019
2019-02-01,31,167500.0,4.72,2,"parmer, tx",7.0,0,Feb-2019
2019-03-01,32,200000.0,4.9,3,"parmer, tx",6.0,0,Mar-2019
2019-04-01,33,220000.0,4.94,4,"parmer, tx",6.0,0,Apr-2019
2019-05-01,34,213725.0,4.75,5,"parmer, tx",8.0,0,May-2019
2019-06-01,35,189950.0,4.51,6,"parmer, tx",10.0,0,Jun-2019
2019-07-01,36,189950.0,4.41,7,"parmer, tx",10.0,0,Jul-2019
2019-08-01,37,183827.0,4.41,8,"parmer, tx",8.0,0,Aug-2019
2019-09-01,38,174643.0,4.2,9,"parmer, tx",7.0,0,Sep-2019
2019-10-01,39,159375.0,4.14,10,"parmer, tx",7.0,0,Oct-2019
2019-11-01,40,151250.0,3.84,11,"parmer, tx",6.0,0,Nov-2019
2019-12-01,41,154250.0,3.81,12,"parmer, tx",5.0,0,Dec-2019
2020-01-01,42,154600.0,3.75,1,"parmer, tx",5.0,0,Jan-2020
2020-02-01,43,225000.0,3.73,2,"parmer, tx",4.0,0,Feb-2020
2020-03-01,44,225000.0,3.78,3,"parmer, tx",4.0,0,Mar-2020
2020-04-01,45,215000.0,3.75,4,"parmer, tx",5.0,0,Apr-2020
2020-05-01,46,220000.0,3.74,5,"parmer, tx",6.0,0,May-2020
2020-06-01,47,215000.0,3.72,6,"parmer, tx",7.0,0,Jun-2020
2020-07-01,48,188750.0,3.49,7,"parmer, tx",8.0,0,Jul-2020
2020-08-01,49,157450.0,3.65,8,"parmer, tx",7.0,0,Aug-2020
2020-09-01,50,150000.0,3.33,9,"parmer, tx",6.0,0,Sep-2020
2020-10-01,51,150000.0,3.28,10,"parmer, tx",6.0,0,Oct-2020
2020-11-01,52,150000.0,3.21,11,"parmer, tx",7.0,0,Nov-2020
2020-12-01,53,150000.0,3.07,12,"parmer, tx",7.0,0,Dec-2020
2021-01-01,54,150000.0,2.99,1,"parmer, tx",6.0,0,Jan-2021
2021-02-01,55,156450.0,2.93,2,"parmer, tx",4.0,0,Feb-2021
2021-03-01,56,175463.0,2.88,3,"parmer, tx",4.0,0,Mar-2021
2021-04-01,57,195225.0,2.84,4,"parmer, tx",3.0,0,Apr-2021
2021-05-01,58,195975.0,2.71,5,"parmer, tx",2.0,0,May-2021
2021-06-01,59,242000.0,2.79,6,"parmer, tx",1.0,0,Jun-2021
2021-07-01,60,169235.0,2.97,7,"parmer, tx",0.0,0,Jul-2021
2021-08-01,61,256000.0,3.17,8,"parmer, tx",1.0,0,Aug-2021
2021-09-01,62,256000.0,3.18,9,"parmer, tx",1.0,0,Sep-2021
2021-10-01,63,180500.0,3.0,10,"parmer, tx",1.0,0,Oct-2021
2021-11-01,64,265000.0,3.02,11,"parmer, tx",1.0,0,Nov-2021
2021-12-01,65,265000.0,2.98,12,"parmer, tx",1.0,0,Dec-2021
2022-01-01,66,50000.0,2.87,1,"parmer, tx",1.0,0,Jan-2022
2022-02-01,67,223500.0,3.01,2,"parmer, tx",2.0,67014,Feb-2022
2022-03-01,68,196900.0,3.14,3,"parmer, tx",1.0,265736,Mar-2022
2022-04-01,69,149500.0,3.1,4,"parmer, tx",1.0,237470,Apr-2022
