date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,84900.0,3.72,7,"perry, il",93.0,81.0,0,Jul-2016
2016-08-01,1,82250.0,3.73,8,"perry, il",94.0,84.0,0,Aug-2016
2016-09-01,2,81125.0,3.66,9,"perry, il",92.0,93.0,0,Sep-2016
2016-10-01,3,84500.0,3.64,10,"perry, il",89.0,108.0,0,Oct-2016
2016-11-01,4,75450.0,3.66,11,"perry, il",80.0,119.0,0,Nov-2016
2016-12-01,5,69900.0,3.48,12,"perry, il",78.0,118.0,0,Dec-2016
2017-01-01,6,74175.0,3.45,1,"perry, il",78.0,116.0,0,Jan-2017
2017-02-01,7,74999.0,3.5,2,"perry, il",87.0,98.0,0,Feb-2017
2017-03-01,8,69950.0,3.52,3,"perry, il",96.0,79.0,0,Mar-2017
2017-04-01,9,69950.0,4.03,4,"perry, il",90.0,86.0,0,Apr-2017
2017-05-01,10,75000.0,4.32,5,"perry, il",85.0,96.0,0,May-2017
2017-06-01,11,81350.0,4.2,6,"perry, il",86.0,96.0,0,Jun-2017
2017-07-01,12,86750.0,4.19,7,"perry, il",80.0,95.0,0,Jul-2017
2017-08-01,13,89225.0,4.3,8,"perry, il",92.0,90.0,0,Aug-2017
2017-09-01,14,99450.0,4.1,9,"perry, il",86.0,98.0,0,Sep-2017
2017-10-01,15,84900.0,4.05,10,"perry, il",88.0,95.0,0,Oct-2017
2017-11-01,16,84100.0,3.94,11,"perry, il",91.0,97.0,0,Nov-2017
2017-12-01,17,85500.0,4.03,12,"perry, il",86.0,100.0,0,Dec-2017
2018-01-01,18,81050.0,3.93,1,"perry, il",82.0,111.0,0,Jan-2018
2018-02-01,19,93450.0,3.83,2,"perry, il",84.0,106.0,0,Feb-2018
2018-03-01,20,84500.0,3.94,3,"perry, il",78.0,93.0,0,Mar-2018
2018-04-01,21,86000.0,3.95,4,"perry, il",68.0,89.0,0,Apr-2018
2018-05-01,22,83875.0,3.99,5,"perry, il",70.0,101.0,0,May-2018
2018-06-01,23,87000.0,4.15,6,"perry, il",82.0,95.0,0,Jun-2018
2018-07-01,24,83100.0,4.4,7,"perry, il",82.0,64.0,0,Jul-2018
2018-08-01,25,86625.0,4.46,8,"perry, il",77.0,76.0,0,Aug-2018
2018-09-01,26,84900.0,4.58,9,"perry, il",74.0,83.0,0,Sep-2018
2018-10-01,27,85700.0,4.66,10,"perry, il",82.0,81.0,0,Oct-2018
2018-11-01,28,84900.0,4.62,11,"perry, il",82.0,87.0,0,Nov-2018
2018-12-01,29,84500.0,4.54,12,"perry, il",80.0,88.0,0,Dec-2018
2019-01-01,30,75450.0,4.6,1,"perry, il",76.0,101.0,0,Jan-2019
2019-02-01,31,77500.0,4.72,2,"perry, il",75.0,119.0,0,Feb-2019
2019-03-01,32,81300.0,4.9,3,"perry, il",73.0,119.0,0,Mar-2019
2019-04-01,33,86900.0,4.94,4,"perry, il",70.0,106.0,0,Apr-2019
2019-05-01,34,114675.0,4.75,5,"perry, il",68.0,94.0,0,May-2019
2019-06-01,35,119000.0,4.51,6,"perry, il",64.0,103.0,0,Jun-2019
2019-07-01,36,118450.0,4.41,7,"perry, il",64.0,89.0,0,Jul-2019
2019-08-01,37,114505.0,4.41,8,"perry, il",69.0,80.0,0,Aug-2019
2019-09-01,38,116161.0,4.2,9,"perry, il",73.0,84.0,0,Sep-2019
2019-10-01,39,117266.0,4.14,10,"perry, il",75.0,83.0,0,Oct-2019
2019-11-01,40,115000.0,3.84,11,"perry, il",73.0,82.0,0,Nov-2019
2019-12-01,41,89900.0,3.81,12,"perry, il",71.0,105.0,0,Dec-2019
2020-01-01,42,97400.0,3.75,1,"perry, il",73.0,128.0,0,Jan-2020
2020-02-01,43,115000.0,3.73,2,"perry, il",71.0,151.0,0,Feb-2020
2020-03-01,44,102391.0,3.78,3,"perry, il",74.0,141.0,0,Mar-2020
2020-04-01,45,105747.0,3.75,4,"perry, il",67.0,115.0,0,Apr-2020
2020-05-01,46,104500.0,3.74,5,"perry, il",73.0,99.0,0,May-2020
2020-06-01,47,104000.0,3.72,6,"perry, il",74.0,100.0,0,Jun-2020
2020-07-01,48,103750.0,3.49,7,"perry, il",69.0,99.0,0,Jul-2020
2020-08-01,49,99500.0,3.65,8,"perry, il",58.0,109.0,0,Aug-2020
2020-09-01,50,99450.0,3.33,9,"perry, il",49.0,116.0,0,Sep-2020
2020-10-01,51,98700.0,3.28,10,"perry, il",51.0,93.0,0,Oct-2020
2020-11-01,52,109000.0,3.21,11,"perry, il",53.0,67.0,0,Nov-2020
2020-12-01,53,99900.0,3.07,12,"perry, il",51.0,70.0,0,Dec-2020
2021-01-01,54,99500.0,2.99,1,"perry, il",49.0,78.0,0,Jan-2021
2021-02-01,55,99900.0,2.93,2,"perry, il",44.0,95.0,0,Feb-2021
2021-03-01,56,97925.0,2.88,3,"perry, il",39.0,94.0,0,Mar-2021
2021-04-01,57,82400.0,2.84,4,"perry, il",39.0,93.0,0,Apr-2021
2021-05-01,58,69900.0,2.71,5,"perry, il",33.0,92.0,0,May-2021
2021-06-01,59,74900.0,2.79,6,"perry, il",33.0,98.0,0,Jun-2021
2021-07-01,60,69900.0,2.97,7,"perry, il",38.0,65.0,0,Jul-2021
2021-08-01,61,72925.0,3.17,8,"perry, il",33.0,53.0,0,Aug-2021
2021-09-01,62,79900.0,3.18,9,"perry, il",33.0,69.0,0,Sep-2021
2021-10-01,63,65000.0,3.0,10,"perry, il",32.0,79.0,0,Oct-2021
2021-11-01,64,72400.0,3.02,11,"perry, il",34.0,99.0,0,Nov-2021
2021-12-01,65,87800.0,2.98,12,"perry, il",32.0,117.0,0,Dec-2021
2022-01-01,66,89900.0,2.87,1,"perry, il",30.0,72.0,0,Jan-2022
2022-02-01,67,87400.0,3.01,2,"perry, il",30.0,83.0,0,Feb-2022
2022-03-01,68,92150.0,3.14,3,"perry, il",31.0,87.0,0,Mar-2022
2022-04-01,69,79000.0,3.1,4,"perry, il",29.0,99.0,0,Apr-2022
2022-05-01,70,81175.0,3.12,5,"perry, il",31.0,61.0,0,May-2022
2022-06-01,71,91550.0,3.56,6,"perry, il",31.0,50.0,0,Jun-2022
2022-07-01,72,91650.0,3.92,7,"perry, il",28.0,50.0,0,Jul-2022
2022-08-01,73,91150.0,4.67,8,"perry, il",29.0,52.0,0,Aug-2022
2022-09-01,74,102450.0,5.11,9,"perry, il",31.0,43.0,91778,Sep-2022
2022-10-01,75,94900.0,5.3,10,"perry, il",36.0,47.0,87035,Oct-2022
2022-11-01,76,111225.0,5.81,11,"perry, il",37.0,59.0,89120,Nov-2022
2022-12-01,77,79900.0,5.54,12,"perry, il",38.0,78.0,87570,Dec-2022
2023-01-01,78,83650.0,5.55,1,"perry, il",36.0,84.0,89323,Jan-2023
2023-02-01,79,81150.0,6.7,2,"perry, il",37.0,91.0,87221,Feb-2023
2023-03-01,80,79900.0,7.08,3,"perry, il",41.0,93.0,89321,Mar-2023
2023-04-01,81,79900.0,7.08,4,"perry, il",37.0,64.0,89557,Apr-2023
2023-05-01,82,98450.0,6.49,5,"perry, il",35.0,85.0,86861,May-2023
2023-06-01,83,122475.0,6.48,6,"perry, il",35.0,97.0,85774,Jun-2023
2023-07-01,84,79700.0,6.5,7,"perry, il",30.0,65.0,87952,Jul-2023
