date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,250000.0,3.72,7,"petersburg, ak",17.0,188.0,0,Jul-2016
2016-08-01,1,236563.0,3.73,8,"petersburg, ak",21.0,82.0,0,Aug-2016
2016-09-01,2,219688.0,3.66,9,"petersburg, ak",22.0,62.0,0,Sep-2016
2016-10-01,3,230000.0,3.64,10,"petersburg, ak",23.0,81.0,0,Oct-2016
2016-11-01,4,217500.0,3.66,11,"petersburg, ak",20.0,120.0,0,Nov-2016
2016-12-01,5,215000.0,3.48,12,"petersburg, ak",16.0,135.0,0,Dec-2016
2017-01-01,6,240000.0,3.45,1,"petersburg, ak",17.0,148.0,0,Jan-2017
2017-02-01,7,240000.0,3.5,2,"petersburg, ak",18.0,176.0,0,Feb-2017
2017-03-01,8,240000.0,3.52,3,"petersburg, ak",25.0,66.0,0,Mar-2017
2017-04-01,9,243750.0,4.03,4,"petersburg, ak",24.0,97.0,0,Apr-2017
2017-05-01,10,241875.0,4.32,5,"petersburg, ak",24.0,99.0,0,May-2017
2017-06-01,11,251500.0,4.2,6,"petersburg, ak",20.0,105.0,0,Jun-2017
2017-07-01,12,251500.0,4.19,7,"petersburg, ak",22.0,120.0,0,Jul-2017
2017-08-01,13,247350.0,4.3,8,"petersburg, ak",23.0,92.0,0,Aug-2017
2017-09-01,14,254850.0,4.1,9,"petersburg, ak",21.0,74.0,0,Sep-2017
2017-10-01,15,251175.0,4.05,10,"petersburg, ak",24.0,90.0,0,Oct-2017
2017-11-01,16,240000.0,3.94,11,"petersburg, ak",24.0,106.0,0,Nov-2017
2017-12-01,17,240000.0,4.03,12,"petersburg, ak",23.0,131.0,0,Dec-2017
2018-01-01,18,239000.0,3.93,1,"petersburg, ak",22.0,150.0,0,Jan-2018
2018-02-01,19,252500.0,3.83,2,"petersburg, ak",20.0,156.0,0,Feb-2018
2018-03-01,20,254875.0,3.94,3,"petersburg, ak",21.0,165.0,0,Mar-2018
2018-04-01,21,266175.0,3.95,4,"petersburg, ak",18.0,204.0,0,Apr-2018
2018-05-01,22,284450.0,3.99,5,"petersburg, ak",18.0,231.0,0,May-2018
2018-06-01,23,295000.0,4.15,6,"petersburg, ak",21.0,119.0,0,Jun-2018
2018-07-01,24,274950.0,4.4,7,"petersburg, ak",22.0,68.0,0,Jul-2018
2018-08-01,25,242475.0,4.46,8,"petersburg, ak",11.0,107.0,0,Aug-2018
2018-09-01,26,259950.0,4.58,9,"petersburg, ak",18.0,118.0,0,Sep-2018
2018-10-01,27,269900.0,4.66,10,"petersburg, ak",19.0,136.0,0,Oct-2018
2018-11-01,28,281225.0,4.62,11,"petersburg, ak",14.0,164.0,0,Nov-2018
2018-12-01,29,225000.0,4.54,12,"petersburg, ak",10.0,188.0,0,Dec-2018
2019-01-01,30,242000.0,4.6,1,"petersburg, ak",11.0,162.0,0,Jan-2019
2019-02-01,31,273675.0,4.72,2,"petersburg, ak",22.0,93.0,0,Feb-2019
2019-03-01,32,280686.0,4.9,3,"petersburg, ak",24.0,54.0,0,Mar-2019
2019-04-01,33,284250.0,4.94,4,"petersburg, ak",24.0,74.0,0,Apr-2019
2019-05-01,34,285000.0,4.75,5,"petersburg, ak",24.0,108.0,0,May-2019
2019-06-01,35,285000.0,4.51,6,"petersburg, ak",23.0,124.0,0,Jun-2019
2019-07-01,36,279625.0,4.41,7,"petersburg, ak",24.0,140.0,0,Jul-2019
2019-08-01,37,277705.0,4.41,8,"petersburg, ak",23.0,155.0,0,Aug-2019
2019-09-01,38,278574.0,4.2,9,"petersburg, ak",23.0,165.0,0,Sep-2019
2019-10-01,39,277028.0,4.14,10,"petersburg, ak",23.0,176.0,0,Oct-2019
2019-11-01,40,275000.0,3.84,11,"petersburg, ak",21.0,194.0,0,Nov-2019
2019-12-01,41,249250.0,3.81,12,"petersburg, ak",21.0,204.0,0,Dec-2019
2020-01-01,42,257500.0,3.75,1,"petersburg, ak",19.0,217.0,0,Jan-2020
2020-02-01,43,247000.0,3.73,2,"petersburg, ak",14.0,164.0,0,Feb-2020
2020-03-01,44,261000.0,3.78,3,"petersburg, ak",14.0,32.0,0,Mar-2020
2020-04-01,45,264900.0,3.75,4,"petersburg, ak",15.0,53.0,0,Apr-2020
2020-05-01,46,275000.0,3.74,5,"petersburg, ak",14.0,83.0,0,May-2020
2020-06-01,47,251475.0,3.72,6,"petersburg, ak",15.0,59.0,0,Jun-2020
2020-07-01,48,241825.0,3.49,7,"petersburg, ak",16.0,46.0,0,Jul-2020
2020-08-01,49,245450.0,3.65,8,"petersburg, ak",17.0,69.0,0,Aug-2020
2020-09-01,50,247750.0,3.33,9,"petersburg, ak",18.0,94.0,0,Sep-2020
2020-10-01,51,247500.0,3.28,10,"petersburg, ak",16.0,125.0,0,Oct-2020
2020-11-01,52,240000.0,3.21,11,"petersburg, ak",16.0,150.0,0,Nov-2020
2020-12-01,53,236000.0,3.07,12,"petersburg, ak",14.0,167.0,0,Dec-2020
2021-01-01,54,235000.0,2.99,1,"petersburg, ak",15.0,158.0,0,Jan-2021
