date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,129900.0,3.72,7,"phelps, mo",239.0,89.0,0,Jul-2016
2016-08-01,1,129900.0,3.73,8,"phelps, mo",239.0,94.0,0,Aug-2016
2016-09-01,2,129975.0,3.66,9,"phelps, mo",218.0,94.0,0,Sep-2016
2016-10-01,3,134500.0,3.64,10,"phelps, mo",214.0,99.0,0,Oct-2016
2016-11-01,4,134950.0,3.66,11,"phelps, mo",203.0,109.0,0,Nov-2016
2016-12-01,5,134500.0,3.48,12,"phelps, mo",189.0,101.0,0,Dec-2016
2017-01-01,6,134825.0,3.45,1,"phelps, mo",168.0,105.0,0,Jan-2017
2017-02-01,7,129900.0,3.5,2,"phelps, mo",172.0,96.0,0,Feb-2017
2017-03-01,8,129950.0,3.52,3,"phelps, mo",187.0,86.0,0,Mar-2017
2017-04-01,9,134900.0,4.03,4,"phelps, mo",195.0,65.0,0,Apr-2017
2017-05-01,10,134900.0,4.32,5,"phelps, mo",198.0,69.0,0,May-2017
2017-06-01,11,134438.0,4.2,6,"phelps, mo",195.0,76.0,0,Jun-2017
2017-07-01,12,129900.0,4.19,7,"phelps, mo",203.0,77.0,0,Jul-2017
2017-08-01,13,129200.0,4.3,8,"phelps, mo",197.0,73.0,0,Aug-2017
2017-09-01,14,124950.0,4.1,9,"phelps, mo",183.0,78.0,0,Sep-2017
2017-10-01,15,128450.0,4.05,10,"phelps, mo",177.0,87.0,0,Oct-2017
2017-11-01,16,129900.0,3.94,11,"phelps, mo",177.0,83.0,0,Nov-2017
2017-12-01,17,131200.0,4.03,12,"phelps, mo",170.0,89.0,0,Dec-2017
2018-01-01,18,135950.0,3.93,1,"phelps, mo",159.0,101.0,0,Jan-2018
2018-02-01,19,139900.0,3.83,2,"phelps, mo",146.0,112.0,0,Feb-2018
2018-03-01,20,144500.0,3.94,3,"phelps, mo",158.0,89.0,0,Mar-2018
2018-04-01,21,157475.0,3.95,4,"phelps, mo",156.0,76.0,0,Apr-2018
2018-05-01,22,159100.0,3.99,5,"phelps, mo",179.0,74.0,0,May-2018
2018-06-01,23,168000.0,4.15,6,"phelps, mo",194.0,70.0,0,Jun-2018
2018-07-01,24,168950.0,4.4,7,"phelps, mo",196.0,74.0,0,Jul-2018
2018-08-01,25,165750.0,4.46,8,"phelps, mo",200.0,86.0,0,Aug-2018
2018-09-01,26,159950.0,4.58,9,"phelps, mo",211.0,81.0,0,Sep-2018
2018-10-01,27,158875.0,4.66,10,"phelps, mo",214.0,80.0,0,Oct-2018
2018-11-01,28,163900.0,4.62,11,"phelps, mo",214.0,81.0,0,Nov-2018
2018-12-01,29,159900.0,4.54,12,"phelps, mo",206.0,93.0,0,Dec-2018
2019-01-01,30,159325.0,4.6,1,"phelps, mo",208.0,102.0,0,Jan-2019
2019-02-01,31,159900.0,4.72,2,"phelps, mo",193.0,109.0,0,Feb-2019
