date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,162500.0,3.72,7,"pike, ky",240.0,107.0,0,Jul-2016
2016-08-01,1,159575.0,3.73,8,"pike, ky",247.0,101.0,0,Aug-2016
2016-09-01,2,156350.0,3.66,9,"pike, ky",255.0,91.0,0,Sep-2016
2016-10-01,3,155000.0,3.64,10,"pike, ky",254.0,99.0,0,Oct-2016
2016-11-01,4,149975.0,3.66,11,"pike, ky",248.0,107.0,0,Nov-2016
2016-12-01,5,149900.0,3.48,12,"pike, ky",243.0,117.0,0,Dec-2016
2017-01-01,6,149900.0,3.45,1,"pike, ky",243.0,127.0,0,Jan-2017
2017-02-01,7,149900.0,3.5,2,"pike, ky",233.0,136.0,0,Feb-2017
2017-03-01,8,149900.0,3.52,3,"pike, ky",226.0,137.0,0,Mar-2017
2017-04-01,9,149900.0,4.03,4,"pike, ky",233.0,129.0,0,Apr-2017
2017-05-01,10,149900.0,4.32,5,"pike, ky",238.0,121.0,0,May-2017
2017-06-01,11,149900.0,4.2,6,"pike, ky",220.0,112.0,0,Jun-2017
2017-07-01,12,149900.0,4.19,7,"pike, ky",212.0,114.0,0,Jul-2017
2017-08-01,13,149900.0,4.3,8,"pike, ky",223.0,106.0,0,Aug-2017
2017-09-01,14,145500.0,4.1,9,"pike, ky",225.0,100.0,0,Sep-2017
2017-10-01,15,149250.0,4.05,10,"pike, ky",220.0,92.0,0,Oct-2017
2017-11-01,16,146725.0,3.94,11,"pike, ky",223.0,96.0,0,Nov-2017
2017-12-01,17,139000.0,4.03,12,"pike, ky",228.0,88.0,0,Dec-2017
2018-01-01,18,137000.0,3.93,1,"pike, ky",230.0,104.0,0,Jan-2018
2018-02-01,19,142000.0,3.83,2,"pike, ky",229.0,110.0,0,Feb-2018
2018-03-01,20,149000.0,3.94,3,"pike, ky",212.0,124.0,0,Mar-2018
2018-04-01,21,159450.0,3.95,4,"pike, ky",213.0,117.0,0,Apr-2018
2018-05-01,22,157175.0,3.99,5,"pike, ky",218.0,109.0,0,May-2018
2018-06-01,23,149500.0,4.15,6,"pike, ky",219.0,109.0,0,Jun-2018
2018-07-01,24,147850.0,4.4,7,"pike, ky",218.0,107.0,0,Jul-2018
2018-08-01,25,147450.0,4.46,8,"pike, ky",231.0,104.0,0,Aug-2018
2018-09-01,26,144900.0,4.58,9,"pike, ky",225.0,103.0,0,Sep-2018
2018-10-01,27,141475.0,4.66,10,"pike, ky",227.0,106.0,0,Oct-2018
2018-11-01,28,139450.0,4.62,11,"pike, ky",236.0,114.0,0,Nov-2018
2018-12-01,29,145000.0,4.54,12,"pike, ky",234.0,116.0,0,Dec-2018
2019-01-01,30,145000.0,4.6,1,"pike, ky",229.0,123.0,0,Jan-2019
2019-02-01,31,148100.0,4.72,2,"pike, ky",230.0,122.0,0,Feb-2019
2019-03-01,32,147500.0,4.9,3,"pike, ky",220.0,125.0,0,Mar-2019
2019-04-01,33,153975.0,4.94,4,"pike, ky",204.0,127.0,0,Apr-2019
2019-05-01,34,154925.0,4.75,5,"pike, ky",201.0,105.0,0,May-2019
2019-06-01,35,161450.0,4.51,6,"pike, ky",198.0,99.0,0,Jun-2019
2019-07-01,36,159950.0,4.41,7,"pike, ky",195.0,97.0,0,Jul-2019
2019-08-01,37,159655.0,4.41,8,"pike, ky",197.0,95.0,0,Aug-2019
2019-09-01,38,159286.0,4.2,9,"pike, ky",197.0,95.0,0,Sep-2019
2019-10-01,39,159000.0,4.14,10,"pike, ky",198.0,97.0,0,Oct-2019
2019-11-01,40,164900.0,3.84,11,"pike, ky",197.0,100.0,0,Nov-2019
2019-12-01,41,159700.0,3.81,12,"pike, ky",206.0,110.0,0,Dec-2019
2020-01-01,42,161875.0,3.75,1,"pike, ky",199.0,125.0,0,Jan-2020
2020-02-01,43,164950.0,3.73,2,"pike, ky",199.0,122.0,0,Feb-2020
2020-03-01,44,161700.0,3.78,3,"pike, ky",204.0,128.0,0,Mar-2020
2020-04-01,45,159950.0,3.75,4,"pike, ky",195.0,136.0,0,Apr-2020
2020-05-01,46,161750.0,3.74,5,"pike, ky",175.0,122.0,0,May-2020
2020-06-01,47,169000.0,3.72,6,"pike, ky",159.0,128.0,0,Jun-2020
2020-07-01,48,173950.0,3.49,7,"pike, ky",148.0,112.0,0,Jul-2020
2020-08-01,49,174900.0,3.65,8,"pike, ky",143.0,80.0,0,Aug-2020
2020-09-01,50,175000.0,3.33,9,"pike, ky",146.0,86.0,0,Sep-2020
2020-10-01,51,169900.0,3.28,10,"pike, ky",140.0,100.0,0,Oct-2020
2020-11-01,52,163450.0,3.21,11,"pike, ky",132.0,108.0,0,Nov-2020
2020-12-01,53,169000.0,3.07,12,"pike, ky",125.0,125.0,0,Dec-2020
2021-01-01,54,155000.0,2.99,1,"pike, ky",129.0,113.0,0,Jan-2021
2021-02-01,55,155000.0,2.93,2,"pike, ky",123.0,105.0,0,Feb-2021
2021-03-01,56,155000.0,2.88,3,"pike, ky",115.0,89.0,0,Mar-2021
2021-04-01,57,155625.0,2.84,4,"pike, ky",114.0,104.0,0,Apr-2021
2021-05-01,58,149900.0,2.71,5,"pike, ky",113.0,109.0,0,May-2021
2021-06-01,59,158725.0,2.79,6,"pike, ky",116.0,116.0,0,Jun-2021
2021-07-01,60,169000.0,2.97,7,"pike, ky",115.0,96.0,0,Jul-2021
2021-08-01,61,170000.0,3.17,8,"pike, ky",114.0,82.0,0,Aug-2021
2021-09-01,62,178250.0,3.18,9,"pike, ky",117.0,87.0,0,Sep-2021
2021-10-01,63,189000.0,3.0,10,"pike, ky",115.0,92.0,0,Oct-2021
2021-11-01,64,179450.0,3.02,11,"pike, ky",115.0,99.0,0,Nov-2021
2021-12-01,65,177000.0,2.98,12,"pike, ky",111.0,118.0,0,Dec-2021
2022-01-01,66,174900.0,2.87,1,"pike, ky",105.0,115.0,0,Jan-2022
2022-02-01,67,167575.0,3.01,2,"pike, ky",95.0,114.0,0,Feb-2022
2022-03-01,68,169000.0,3.14,3,"pike, ky",94.0,91.0,0,Mar-2022
2022-04-01,69,171000.0,3.1,4,"pike, ky",97.0,83.0,0,Apr-2022
2022-05-01,70,185975.0,3.12,5,"pike, ky",98.0,70.0,0,May-2022
2022-06-01,71,192225.0,3.56,6,"pike, ky",106.0,72.0,0,Jun-2022
2022-07-01,72,215000.0,3.92,7,"pike, ky",94.0,76.0,0,Jul-2022
2022-08-01,73,215000.0,4.67,8,"pike, ky",93.0,83.0,0,Aug-2022
2022-09-01,74,191950.0,5.11,9,"pike, ky",101.0,77.0,247710,Sep-2022
2022-10-01,75,202000.0,5.3,10,"pike, ky",102.0,69.0,250315,Oct-2022
2022-11-01,76,215000.0,5.81,11,"pike, ky",102.0,79.0,247173,Nov-2022
2022-12-01,77,215000.0,5.54,12,"pike, ky",100.0,82.0,245729,Dec-2022
2023-01-01,78,239000.0,5.55,1,"pike, ky",87.0,96.0,238338,Jan-2023
2023-02-01,79,239000.0,6.7,2,"pike, ky",83.0,110.0,241064,Feb-2023
2023-03-01,80,234000.0,7.08,3,"pike, ky",74.0,120.0,245406,Mar-2023
2023-04-01,81,257450.0,7.08,4,"pike, ky",70.0,109.0,242579,Apr-2023
2023-05-01,82,274975.0,6.49,5,"pike, ky",85.0,84.0,245445,May-2023
2023-06-01,83,273675.0,6.48,6,"pike, ky",92.0,71.0,249916,Jun-2023
2023-07-01,84,259000.0,6.5,7,"pike, ky",98.0,77.0,248289,Jul-2023
