date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,144450.0,3.72,7,"pontotoc, ok",146.0,61.0,0,Jul-2016
2016-08-01,1,138600.0,3.73,8,"pontotoc, ok",150.0,81.0,0,Aug-2016
2016-09-01,2,137250.0,3.66,9,"pontotoc, ok",149.0,83.0,0,Sep-2016
2016-10-01,3,135000.0,3.64,10,"pontotoc, ok",150.0,75.0,0,Oct-2016
2016-11-01,4,137125.0,3.66,11,"pontotoc, ok",149.0,72.0,0,Nov-2016
2016-12-01,5,142000.0,3.48,12,"pontotoc, ok",148.0,73.0,0,Dec-2016
2017-01-01,6,143475.0,3.45,1,"pontotoc, ok",145.0,73.0,0,Jan-2017
2017-02-01,7,137050.0,3.5,2,"pontotoc, ok",151.0,61.0,0,Feb-2017
2017-03-01,8,147125.0,3.52,3,"pontotoc, ok",174.0,53.0,0,Mar-2017
2017-04-01,9,155000.0,4.03,4,"pontotoc, ok",172.0,52.0,0,Apr-2017
2017-05-01,10,157250.0,4.32,5,"pontotoc, ok",187.0,65.0,0,May-2017
2017-06-01,11,166250.0,4.2,6,"pontotoc, ok",177.0,68.0,0,Jun-2017
2017-07-01,12,154900.0,4.19,7,"pontotoc, ok",179.0,67.0,0,Jul-2017
2017-08-01,13,150625.0,4.3,8,"pontotoc, ok",165.0,61.0,0,Aug-2017
2017-09-01,14,148000.0,4.1,9,"pontotoc, ok",157.0,65.0,0,Sep-2017
2017-10-01,15,159825.0,4.05,10,"pontotoc, ok",143.0,68.0,0,Oct-2017
2017-11-01,16,155000.0,3.94,11,"pontotoc, ok",155.0,63.0,0,Nov-2017
2017-12-01,17,155000.0,4.03,12,"pontotoc, ok",152.0,72.0,0,Dec-2017
2018-01-01,18,157675.0,3.93,1,"pontotoc, ok",145.0,79.0,0,Jan-2018
2018-02-01,19,151000.0,3.83,2,"pontotoc, ok",139.0,67.0,0,Feb-2018
2018-03-01,20,154500.0,3.94,3,"pontotoc, ok",148.0,64.0,0,Mar-2018
2018-04-01,21,152450.0,3.95,4,"pontotoc, ok",161.0,58.0,0,Apr-2018
2018-05-01,22,152425.0,3.99,5,"pontotoc, ok",167.0,55.0,0,May-2018
2018-06-01,23,152250.0,4.15,6,"pontotoc, ok",178.0,58.0,0,Jun-2018
2018-07-01,24,154875.0,4.4,7,"pontotoc, ok",199.0,59.0,0,Jul-2018
2018-08-01,25,149925.0,4.46,8,"pontotoc, ok",210.0,61.0,0,Aug-2018
2018-09-01,26,150000.0,4.58,9,"pontotoc, ok",211.0,71.0,0,Sep-2018
2018-10-01,27,149500.0,4.66,10,"pontotoc, ok",208.0,80.0,0,Oct-2018
2018-11-01,28,144825.0,4.62,11,"pontotoc, ok",194.0,79.0,0,Nov-2018
2018-12-01,29,144900.0,4.54,12,"pontotoc, ok",166.0,81.0,0,Dec-2018
2019-01-01,30,142200.0,4.6,1,"pontotoc, ok",150.0,78.0,0,Jan-2019
2019-02-01,31,137900.0,4.72,2,"pontotoc, ok",132.0,80.0,0,Feb-2019
2019-03-01,32,142743.0,4.9,3,"pontotoc, ok",131.0,68.0,0,Mar-2019
2019-04-01,33,151350.0,4.94,4,"pontotoc, ok",138.0,49.0,0,Apr-2019
2019-05-01,34,150000.0,4.75,5,"pontotoc, ok",146.0,50.0,0,May-2019
2019-06-01,35,159900.0,4.51,6,"pontotoc, ok",149.0,57.0,0,Jun-2019
2019-07-01,36,169000.0,4.41,7,"pontotoc, ok",156.0,62.0,0,Jul-2019
2019-08-01,37,162609.0,4.41,8,"pontotoc, ok",152.0,66.0,0,Aug-2019
2019-09-01,38,159173.0,4.2,9,"pontotoc, ok",145.0,70.0,0,Sep-2019
2019-10-01,39,156882.0,4.14,10,"pontotoc, ok",139.0,74.0,0,Oct-2019
2019-11-01,40,159450.0,3.84,11,"pontotoc, ok",134.0,73.0,0,Nov-2019
