date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,179900.0,3.72,7,"racine, wi",1074.0,54.0,0,Jul-2016
2016-08-01,1,178425.0,3.73,8,"racine, wi",1077.0,58.0,0,Aug-2016
2016-09-01,2,174900.0,3.66,9,"racine, wi",1044.0,59.0,0,Sep-2016
2016-10-01,3,169900.0,3.64,10,"racine, wi",998.0,61.0,0,Oct-2016
2016-11-01,4,174725.0,3.66,11,"racine, wi",909.0,65.0,0,Nov-2016
2016-12-01,5,169900.0,3.48,12,"racine, wi",810.0,75.0,0,Dec-2016
2017-01-01,6,164925.0,3.45,1,"racine, wi",700.0,86.0,0,Jan-2017
2017-02-01,7,165000.0,3.5,2,"racine, wi",711.0,85.0,0,Feb-2017
2017-03-01,8,181300.0,3.52,3,"racine, wi",746.0,55.0,0,Mar-2017
2017-04-01,9,195000.0,4.03,4,"racine, wi",781.0,44.0,0,Apr-2017
2017-05-01,10,199950.0,4.32,5,"racine, wi",794.0,43.0,0,May-2017
2017-06-01,11,200000.0,4.2,6,"racine, wi",870.0,44.0,0,Jun-2017
2017-07-01,12,199900.0,4.19,7,"racine, wi",893.0,43.0,0,Jul-2017
2017-08-01,13,199475.0,4.3,8,"racine, wi",888.0,47.0,0,Aug-2017
2017-09-01,14,209000.0,4.1,9,"racine, wi",878.0,52.0,0,Sep-2017
2017-10-01,15,189900.0,4.05,10,"racine, wi",834.0,55.0,0,Oct-2017
2017-11-01,16,187450.0,3.94,11,"racine, wi",749.0,59.0,0,Nov-2017
2017-12-01,17,179900.0,4.03,12,"racine, wi",616.0,68.0,0,Dec-2017
2018-01-01,18,179950.0,3.93,1,"racine, wi",545.0,72.0,0,Jan-2018
2018-02-01,19,190950.0,3.83,2,"racine, wi",528.0,68.0,0,Feb-2018
2018-03-01,20,199900.0,3.94,3,"racine, wi",551.0,45.0,0,Mar-2018
2018-04-01,21,217950.0,3.95,4,"racine, wi",581.0,34.0,0,Apr-2018
2018-05-01,22,229425.0,3.99,5,"racine, wi",630.0,36.0,0,May-2018
2018-06-01,23,239900.0,4.15,6,"racine, wi",666.0,36.0,0,Jun-2018
2018-07-01,24,235250.0,4.4,7,"racine, wi",698.0,39.0,0,Jul-2018
2018-08-01,25,225500.0,4.46,8,"racine, wi",767.0,38.0,0,Aug-2018
2018-09-01,26,228450.0,4.58,9,"racine, wi",795.0,40.0,0,Sep-2018
2018-10-01,27,224950.0,4.66,10,"racine, wi",797.0,45.0,0,Oct-2018
2018-11-01,28,222400.0,4.62,11,"racine, wi",754.0,49.0,0,Nov-2018
2018-12-01,29,210000.0,4.54,12,"racine, wi",669.0,59.0,0,Dec-2018
2019-01-01,30,199950.0,4.6,1,"racine, wi",587.0,77.0,0,Jan-2019
2019-02-01,31,228450.0,4.72,2,"racine, wi",552.0,72.0,0,Feb-2019
2019-03-01,32,228243.0,4.9,3,"racine, wi",598.0,56.0,0,Mar-2019
2019-04-01,33,244900.0,4.94,4,"racine, wi",661.0,39.0,0,Apr-2019
2019-05-01,34,253975.0,4.75,5,"racine, wi",707.0,39.0,0,May-2019
2019-06-01,35,238750.0,4.51,6,"racine, wi",759.0,38.0,0,Jun-2019
2019-07-01,36,229950.0,4.41,7,"racine, wi",806.0,40.0,0,Jul-2019
