date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,264750.0,3.72,7,"real, tx",50.0,110.0,0,Jul-2016
2016-08-01,1,227500.0,3.73,8,"real, tx",45.0,129.0,0,Aug-2016
2016-09-01,2,247500.0,3.66,9,"real, tx",43.0,137.0,0,Sep-2016
2016-10-01,3,255000.0,3.64,10,"real, tx",42.0,144.0,0,Oct-2016
2016-11-01,4,199375.0,3.66,11,"real, tx",38.0,122.0,0,Nov-2016
2016-12-01,5,206250.0,3.48,12,"real, tx",40.0,138.0,0,Dec-2016
2017-01-01,6,235500.0,3.45,1,"real, tx",37.0,140.0,0,Jan-2017
2017-02-01,7,238000.0,3.5,2,"real, tx",32.0,167.0,0,Feb-2017
2017-03-01,8,266000.0,3.52,3,"real, tx",30.0,137.0,0,Mar-2017
2017-04-01,9,237000.0,4.03,4,"real, tx",28.0,154.0,0,Apr-2017
2017-05-01,10,189725.0,4.32,5,"real, tx",28.0,63.0,0,May-2017
2017-06-01,11,168900.0,4.2,6,"real, tx",29.0,69.0,0,Jun-2017
2017-07-01,12,179000.0,4.19,7,"real, tx",31.0,67.0,0,Jul-2017
2017-08-01,13,176175.0,4.3,8,"real, tx",32.0,90.0,0,Aug-2017
2017-09-01,14,168900.0,4.1,9,"real, tx",29.0,122.0,0,Sep-2017
2017-10-01,15,189200.0,4.05,10,"real, tx",30.0,143.0,0,Oct-2017
2017-11-01,16,192175.0,3.94,11,"real, tx",30.0,139.0,0,Nov-2017
2017-12-01,17,229000.0,4.03,12,"real, tx",29.0,166.0,0,Dec-2017
2018-01-01,18,242000.0,3.93,1,"real, tx",30.0,180.0,0,Jan-2018
2018-02-01,19,260000.0,3.83,2,"real, tx",28.0,208.0,0,Feb-2018
2018-03-01,20,272000.0,3.94,3,"real, tx",30.0,159.0,0,Mar-2018
2018-04-01,21,190500.0,3.95,4,"real, tx",32.0,94.0,0,Apr-2018
2018-05-01,22,179000.0,3.99,5,"real, tx",33.0,64.0,0,May-2018
2018-06-01,23,255000.0,4.15,6,"real, tx",35.0,73.0,0,Jun-2018
2018-07-01,24,329500.0,4.4,7,"real, tx",37.0,93.0,0,Jul-2018
2018-08-01,25,329500.0,4.46,8,"real, tx",34.0,99.0,0,Aug-2018
2018-09-01,26,388000.0,4.58,9,"real, tx",35.0,93.0,0,Sep-2018
2018-10-01,27,285000.0,4.66,10,"real, tx",41.0,85.0,0,Oct-2018
2018-11-01,28,285000.0,4.62,11,"real, tx",38.0,101.0,0,Nov-2018
2018-12-01,29,275000.0,4.54,12,"real, tx",38.0,112.0,0,Dec-2018
2019-01-01,30,239000.0,4.6,1,"real, tx",32.0,139.0,0,Jan-2019
2019-02-01,31,229250.0,4.72,2,"real, tx",29.0,147.0,0,Feb-2019
2019-03-01,32,243286.0,4.9,3,"real, tx",29.0,151.0,0,Mar-2019
2019-04-01,33,281125.0,4.94,4,"real, tx",28.0,148.0,0,Apr-2019
2019-05-01,34,239000.0,4.75,5,"real, tx",31.0,101.0,0,May-2019
2019-06-01,35,247000.0,4.51,6,"real, tx",34.0,92.0,0,Jun-2019
2019-07-01,36,248000.0,4.41,7,"real, tx",33.0,93.0,0,Jul-2019
2019-08-01,37,253182.0,4.41,8,"real, tx",34.0,96.0,0,Aug-2019
2019-09-01,38,265455.0,4.2,9,"real, tx",36.0,92.0,0,Sep-2019
2019-10-01,39,271136.0,4.14,10,"real, tx",36.0,93.0,0,Oct-2019
2019-11-01,40,289000.0,3.84,11,"real, tx",35.0,110.0,0,Nov-2019
2019-12-01,41,289000.0,3.81,12,"real, tx",33.0,129.0,0,Dec-2019
2020-01-01,42,279500.0,3.75,1,"real, tx",27.0,139.0,0,Jan-2020
2020-02-01,43,289000.0,3.73,2,"real, tx",25.0,147.0,0,Feb-2020
2020-03-01,44,289000.0,3.78,3,"real, tx",23.0,159.0,0,Mar-2020
2020-04-01,45,284500.0,3.75,4,"real, tx",22.0,144.0,0,Apr-2020
2020-05-01,46,280000.0,3.74,5,"real, tx",19.0,119.0,0,May-2020
2020-06-01,47,277875.0,3.72,6,"real, tx",17.0,123.0,0,Jun-2020
2020-07-01,48,288500.0,3.49,7,"real, tx",17.0,113.0,0,Jul-2020
2020-08-01,49,289000.0,3.65,8,"real, tx",11.0,131.0,0,Aug-2020
2020-09-01,50,333500.0,3.33,9,"real, tx",13.0,112.0,0,Sep-2020
2020-10-01,51,394450.0,3.28,10,"real, tx",10.0,137.0,0,Oct-2020
2020-11-01,52,269000.0,3.21,11,"real, tx",12.0,93.0,0,Nov-2020
2020-12-01,53,347000.0,3.07,12,"real, tx",10.0,121.0,0,Dec-2020
2021-01-01,54,229000.0,2.99,1,"real, tx",9.0,145.0,0,Jan-2021
2021-02-01,55,389000.0,2.93,2,"real, tx",10.0,61.0,0,Feb-2021
2021-03-01,56,416000.0,2.88,3,"real, tx",12.0,30.0,0,Mar-2021
2021-04-01,57,329500.0,2.84,4,"real, tx",9.0,41.0,0,Apr-2021
2021-05-01,58,567000.0,2.71,5,"real, tx",6.0,80.0,0,May-2021
2021-06-01,59,625250.0,2.79,6,"real, tx",10.0,43.0,0,Jun-2021
2021-07-01,60,329000.0,2.97,7,"real, tx",9.0,40.0,0,Jul-2021
2021-08-01,61,217000.0,3.17,8,"real, tx",8.0,58.0,0,Aug-2021
2021-09-01,62,181000.0,3.18,9,"real, tx",6.0,93.0,0,Sep-2021
2021-10-01,63,315000.0,3.0,10,"real, tx",6.0,84.0,0,Oct-2021
2021-11-01,64,562500.0,3.02,11,"real, tx",11.0,23.0,0,Nov-2021
2021-12-01,65,500000.0,2.98,12,"real, tx",11.0,34.0,0,Dec-2021
