date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,109900.0,3.72,7,"rock, mn",50.0,72.0,0,Jul-2016
2016-08-01,1,103825.0,3.73,8,"rock, mn",52.0,69.0,0,Aug-2016
2016-09-01,2,102450.0,3.66,9,"rock, mn",48.0,63.0,0,Sep-2016
2016-10-01,3,99900.0,3.64,10,"rock, mn",38.0,76.0,0,Oct-2016
2016-11-01,4,97750.0,3.66,11,"rock, mn",32.0,93.0,0,Nov-2016
2016-12-01,5,97500.0,3.48,12,"rock, mn",26.0,113.0,0,Dec-2016
2017-01-01,6,111650.0,3.45,1,"rock, mn",24.0,135.0,0,Jan-2017
2017-02-01,7,107200.0,3.5,2,"rock, mn",27.0,98.0,0,Feb-2017
2017-03-01,8,107100.0,3.52,3,"rock, mn",30.0,47.0,0,Mar-2017
2017-04-01,9,105000.0,4.03,4,"rock, mn",32.0,47.0,0,Apr-2017
2017-05-01,10,119900.0,4.32,5,"rock, mn",33.0,47.0,0,May-2017
2017-06-01,11,120450.0,4.2,6,"rock, mn",27.0,45.0,0,Jun-2017
2017-07-01,12,124900.0,4.19,7,"rock, mn",26.0,53.0,0,Jul-2017
2017-08-01,13,148475.0,4.3,8,"rock, mn",31.0,44.0,0,Aug-2017
2017-09-01,14,153000.0,4.1,9,"rock, mn",35.0,42.0,0,Sep-2017
2017-10-01,15,159900.0,4.05,10,"rock, mn",29.0,57.0,0,Oct-2017
2017-11-01,16,155000.0,3.94,11,"rock, mn",28.0,66.0,0,Nov-2017
2017-12-01,17,139900.0,4.03,12,"rock, mn",29.0,67.0,0,Dec-2017
2018-01-01,18,156225.0,3.93,1,"rock, mn",30.0,71.0,0,Jan-2018
2018-02-01,19,159450.0,3.83,2,"rock, mn",31.0,89.0,0,Feb-2018
2018-03-01,20,169900.0,3.94,3,"rock, mn",32.0,61.0,0,Mar-2018
2018-04-01,21,159650.0,3.95,4,"rock, mn",39.0,70.0,0,Apr-2018
2018-05-01,22,155675.0,3.99,5,"rock, mn",39.0,80.0,0,May-2018
2018-06-01,23,158900.0,4.15,6,"rock, mn",44.0,60.0,0,Jun-2018
2018-07-01,24,155675.0,4.4,7,"rock, mn",53.0,42.0,0,Jul-2018
2018-08-01,25,149800.0,4.46,8,"rock, mn",50.0,54.0,0,Aug-2018
2018-09-01,26,159900.0,4.58,9,"rock, mn",47.0,67.0,0,Sep-2018
2018-10-01,27,166725.0,4.66,10,"rock, mn",45.0,78.0,0,Oct-2018
2018-11-01,28,188150.0,4.62,11,"rock, mn",40.0,96.0,0,Nov-2018
2018-12-01,29,204450.0,4.54,12,"rock, mn",38.0,113.0,0,Dec-2018
2019-01-01,30,199900.0,4.6,1,"rock, mn",37.0,118.0,0,Jan-2019
2019-02-01,31,191900.0,4.72,2,"rock, mn",37.0,120.0,0,Feb-2019
2019-03-01,32,172421.0,4.9,3,"rock, mn",36.0,115.0,0,Mar-2019
2019-04-01,33,163696.0,4.94,4,"rock, mn",38.0,100.0,0,Apr-2019
2019-05-01,34,167850.0,4.75,5,"rock, mn",42.0,79.0,0,May-2019
2019-06-01,35,149000.0,4.51,6,"rock, mn",37.0,50.0,0,Jun-2019
2019-07-01,36,129950.0,4.41,7,"rock, mn",40.0,60.0,0,Jul-2019
2019-08-01,37,129181.0,4.41,8,"rock, mn",39.0,64.0,0,Aug-2019
2019-09-01,38,127954.0,4.2,9,"rock, mn",39.0,66.0,0,Sep-2019
2019-10-01,39,128361.0,4.14,10,"rock, mn",38.0,71.0,0,Oct-2019
2019-11-01,40,132450.0,3.84,11,"rock, mn",42.0,95.0,0,Nov-2019
2019-12-01,41,138675.0,3.81,12,"rock, mn",42.0,102.0,0,Dec-2019
2020-01-01,42,147400.0,3.75,1,"rock, mn",39.0,104.0,0,Jan-2020
2020-02-01,43,149900.0,3.73,2,"rock, mn",39.0,102.0,0,Feb-2020
2020-03-01,44,132450.0,3.78,3,"rock, mn",41.0,94.0,0,Mar-2020
2020-04-01,45,133725.0,3.75,4,"rock, mn",38.0,64.0,0,Apr-2020
2020-05-01,46,139900.0,3.74,5,"rock, mn",45.0,72.0,0,May-2020
2020-06-01,47,139000.0,3.72,6,"rock, mn",53.0,71.0,0,Jun-2020
2020-07-01,48,140500.0,3.49,7,"rock, mn",52.0,76.0,0,Jul-2020
2020-08-01,49,157700.0,3.65,8,"rock, mn",53.0,85.0,0,Aug-2020
2020-09-01,50,169950.0,3.33,9,"rock, mn",51.0,68.0,0,Sep-2020
2020-10-01,51,194900.0,3.28,10,"rock, mn",45.0,75.0,0,Oct-2020
2020-11-01,52,199900.0,3.21,11,"rock, mn",44.0,84.0,0,Nov-2020
2020-12-01,53,199900.0,3.07,12,"rock, mn",47.0,88.0,0,Dec-2020
2021-01-01,54,190000.0,2.99,1,"rock, mn",46.0,83.0,0,Jan-2021
2021-02-01,55,189900.0,2.93,2,"rock, mn",43.0,82.0,0,Feb-2021
2021-03-01,56,180525.0,2.88,3,"rock, mn",39.0,86.0,0,Mar-2021
2021-04-01,57,178650.0,2.84,4,"rock, mn",36.0,95.0,0,Apr-2021
2021-05-01,58,179900.0,2.71,5,"rock, mn",30.0,45.0,0,May-2021
2021-06-01,59,169900.0,2.79,6,"rock, mn",32.0,48.0,0,Jun-2021
2021-07-01,60,150000.0,2.97,7,"rock, mn",34.0,32.0,0,Jul-2021
2021-08-01,61,149925.0,3.17,8,"rock, mn",39.0,42.0,0,Aug-2021
2021-09-01,62,166950.0,3.18,9,"rock, mn",43.0,47.0,0,Sep-2021
2021-10-01,63,169900.0,3.0,10,"rock, mn",42.0,46.0,0,Oct-2021
2021-11-01,64,172400.0,3.02,11,"rock, mn",36.0,45.0,0,Nov-2021
2021-12-01,65,178650.0,2.98,12,"rock, mn",28.0,65.0,0,Dec-2021
2022-01-01,66,185000.0,2.87,1,"rock, mn",25.0,81.0,0,Jan-2022
2022-02-01,67,185000.0,3.01,2,"rock, mn",18.0,77.0,0,Feb-2022
2022-03-01,68,201175.0,3.14,3,"rock, mn",19.0,62.0,0,Mar-2022
2022-04-01,69,225000.0,3.1,4,"rock, mn",21.0,24.0,0,Apr-2022
2022-05-01,70,195475.0,3.12,5,"rock, mn",28.0,46.0,0,May-2022
2022-06-01,71,223000.0,3.56,6,"rock, mn",25.0,41.0,0,Jun-2022
2022-07-01,72,199700.0,3.92,7,"rock, mn",29.0,50.0,0,Jul-2022
2022-08-01,73,212475.0,4.67,8,"rock, mn",29.0,65.0,0,Aug-2022
2022-09-01,74,217425.0,5.11,9,"rock, mn",27.0,55.0,197663,Sep-2022
2022-10-01,75,204950.0,5.3,10,"rock, mn",34.0,45.0,173012,Oct-2022
2022-11-01,76,222375.0,5.81,11,"rock, mn",35.0,54.0,172350,Nov-2022
2022-12-01,77,239900.0,5.54,12,"rock, mn",32.0,70.0,181365,Dec-2022
2023-01-01,78,249900.0,5.55,1,"rock, mn",24.0,84.0,217696,Jan-2023
2023-02-01,79,249900.0,6.7,2,"rock, mn",26.0,79.0,207940,Feb-2023
2023-03-01,80,237000.0,7.08,3,"rock, mn",29.0,88.0,211377,Mar-2023
2023-04-01,81,239000.0,7.08,4,"rock, mn",28.0,81.0,195083,Apr-2023
2023-05-01,82,245725.0,6.49,5,"rock, mn",22.0,97.0,224518,May-2023
2023-06-01,83,299500.0,6.48,6,"rock, mn",21.0,33.0,226674,Jun-2023
2023-07-01,84,280000.0,6.5,7,"rock, mn",25.0,39.0,214274,Jul-2023
