date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,114900.0,3.72,7,"rockcastle, ky",40.0,65.0,0,Jul-2016
2016-08-01,1,114900.0,3.73,8,"rockcastle, ky",41.0,72.0,0,Aug-2016
2016-09-01,2,101150.0,3.66,9,"rockcastle, ky",41.0,73.0,0,Sep-2016
2016-10-01,3,99950.0,3.64,10,"rockcastle, ky",39.0,75.0,0,Oct-2016
2016-11-01,4,104900.0,3.66,11,"rockcastle, ky",31.0,83.0,0,Nov-2016
2016-12-01,5,104900.0,3.48,12,"rockcastle, ky",38.0,99.0,0,Dec-2016
2017-01-01,6,100100.0,3.45,1,"rockcastle, ky",40.0,95.0,0,Jan-2017
2017-02-01,7,101700.0,3.5,2,"rockcastle, ky",35.0,83.0,0,Feb-2017
2017-03-01,8,104805.0,3.52,3,"rockcastle, ky",29.0,99.0,0,Mar-2017
2017-04-01,9,102210.0,4.03,4,"rockcastle, ky",28.0,116.0,0,Apr-2017
2017-05-01,10,82450.0,4.32,5,"rockcastle, ky",25.0,124.0,0,May-2017
2017-06-01,11,85980.0,4.2,6,"rockcastle, ky",23.0,77.0,0,Jun-2017
2017-07-01,12,83700.0,4.19,7,"rockcastle, ky",28.0,38.0,0,Jul-2017
2017-08-01,13,78938.0,4.3,8,"rockcastle, ky",23.0,53.0,0,Aug-2017
2017-09-01,14,82400.0,4.1,9,"rockcastle, ky",29.0,53.0,0,Sep-2017
2017-10-01,15,103725.0,4.05,10,"rockcastle, ky",27.0,56.0,0,Oct-2017
2017-11-01,16,134225.0,3.94,11,"rockcastle, ky",28.0,79.0,0,Nov-2017
2017-12-01,17,122450.0,4.03,12,"rockcastle, ky",23.0,110.0,0,Dec-2017
2018-01-01,18,127175.0,3.93,1,"rockcastle, ky",28.0,109.0,0,Jan-2018
2018-02-01,19,129900.0,3.83,2,"rockcastle, ky",24.0,91.0,0,Feb-2018
2018-03-01,20,129900.0,3.94,3,"rockcastle, ky",28.0,65.0,0,Mar-2018
2018-04-01,21,131150.0,3.95,4,"rockcastle, ky",31.0,47.0,0,Apr-2018
2018-05-01,22,129925.0,3.99,5,"rockcastle, ky",34.0,64.0,0,May-2018
2018-06-01,23,119700.0,4.15,6,"rockcastle, ky",39.0,57.0,0,Jun-2018
2018-07-01,24,119900.0,4.4,7,"rockcastle, ky",42.0,70.0,0,Jul-2018
2018-08-01,25,119700.0,4.46,8,"rockcastle, ky",43.0,75.0,0,Aug-2018
2018-09-01,26,119900.0,4.58,9,"rockcastle, ky",43.0,95.0,0,Sep-2018
2018-10-01,27,118650.0,4.66,10,"rockcastle, ky",36.0,100.0,0,Oct-2018
2018-11-01,28,117400.0,4.62,11,"rockcastle, ky",38.0,106.0,0,Nov-2018
2018-12-01,29,129900.0,4.54,12,"rockcastle, ky",37.0,121.0,0,Dec-2018
2019-01-01,30,134950.0,4.6,1,"rockcastle, ky",34.0,120.0,0,Jan-2019
2019-02-01,31,134300.0,4.72,2,"rockcastle, ky",31.0,96.0,0,Feb-2019
2019-03-01,32,139186.0,4.9,3,"rockcastle, ky",32.0,88.0,0,Mar-2019
2019-04-01,33,141586.0,4.94,4,"rockcastle, ky",34.0,74.0,0,Apr-2019
2019-05-01,34,139500.0,4.75,5,"rockcastle, ky",32.0,72.0,0,May-2019
2019-06-01,35,149400.0,4.51,6,"rockcastle, ky",34.0,84.0,0,Jun-2019
2019-07-01,36,152175.0,4.41,7,"rockcastle, ky",39.0,69.0,0,Jul-2019
2019-08-01,37,155827.0,4.41,8,"rockcastle, ky",32.0,84.0,0,Aug-2019
2019-09-01,38,149568.0,4.2,9,"rockcastle, ky",32.0,91.0,0,Sep-2019
2019-10-01,39,149495.0,4.14,10,"rockcastle, ky",31.0,96.0,0,Oct-2019
2019-11-01,40,160400.0,3.84,11,"rockcastle, ky",28.0,107.0,0,Nov-2019
2019-12-01,41,163675.0,3.81,12,"rockcastle, ky",26.0,84.0,0,Dec-2019
2020-01-01,42,162400.0,3.75,1,"rockcastle, ky",26.0,77.0,0,Jan-2020
2020-02-01,43,164900.0,3.73,2,"rockcastle, ky",27.0,85.0,0,Feb-2020
2020-03-01,44,162400.0,3.78,3,"rockcastle, ky",25.0,85.0,0,Mar-2020
2020-04-01,45,152400.0,3.75,4,"rockcastle, ky",28.0,100.0,0,Apr-2020
2020-05-01,46,169900.0,3.74,5,"rockcastle, ky",26.0,108.0,0,May-2020
