date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,91750.0,3.72,7,"russell, ks",50.0,81.0,0,Jul-2016
2016-08-01,1,95000.0,3.73,8,"russell, ks",43.0,97.0,0,Aug-2016
2016-09-01,2,97725.0,3.66,9,"russell, ks",35.0,109.0,0,Sep-2016
2016-10-01,3,99900.0,3.64,10,"russell, ks",38.0,122.0,0,Oct-2016
2016-11-01,4,98750.0,3.66,11,"russell, ks",36.0,113.0,0,Nov-2016
2016-12-01,5,99500.0,3.48,12,"russell, ks",33.0,104.0,0,Dec-2016
2017-01-01,6,95250.0,3.45,1,"russell, ks",34.0,95.0,0,Jan-2017
2017-02-01,7,94375.0,3.5,2,"russell, ks",37.0,91.0,0,Feb-2017
2017-03-01,8,91250.0,3.52,3,"russell, ks",43.0,72.0,0,Mar-2017
2017-04-01,9,89500.0,4.03,4,"russell, ks",39.0,91.0,0,Apr-2017
2017-05-01,10,82925.0,4.32,5,"russell, ks",41.0,89.0,0,May-2017
2017-06-01,11,87950.0,4.2,6,"russell, ks",39.0,82.0,0,Jun-2017
2017-07-01,12,86900.0,4.19,7,"russell, ks",43.0,85.0,0,Jul-2017
2017-08-01,13,85400.0,4.3,8,"russell, ks",43.0,98.0,0,Aug-2017
2017-09-01,14,79250.0,4.1,9,"russell, ks",41.0,89.0,0,Sep-2017
2017-10-01,15,81825.0,4.05,10,"russell, ks",39.0,74.0,0,Oct-2017
2017-11-01,16,81175.0,3.94,11,"russell, ks",40.0,84.0,0,Nov-2017
2017-12-01,17,78900.0,4.03,12,"russell, ks",38.0,97.0,0,Dec-2017
2018-01-01,18,78200.0,3.93,1,"russell, ks",37.0,95.0,0,Jan-2018
2018-02-01,19,78350.0,3.83,2,"russell, ks",36.0,107.0,0,Feb-2018
2018-03-01,20,76750.0,3.94,3,"russell, ks",36.0,113.0,0,Mar-2018
2018-04-01,21,93000.0,3.95,4,"russell, ks",42.0,76.0,0,Apr-2018
2018-05-01,22,92100.0,3.99,5,"russell, ks",51.0,48.0,0,May-2018
2018-06-01,23,99000.0,4.15,6,"russell, ks",57.0,64.0,0,Jun-2018
2018-07-01,24,99625.0,4.4,7,"russell, ks",50.0,85.0,0,Jul-2018
2018-08-01,25,96563.0,4.46,8,"russell, ks",49.0,94.0,0,Aug-2018
2018-09-01,26,99625.0,4.58,9,"russell, ks",49.0,89.0,0,Sep-2018
2018-10-01,27,95438.0,4.66,10,"russell, ks",49.0,79.0,0,Oct-2018
2018-11-01,28,103438.0,4.62,11,"russell, ks",45.0,95.0,0,Nov-2018
2018-12-01,29,102000.0,4.54,12,"russell, ks",42.0,118.0,0,Dec-2018
2019-01-01,30,98425.0,4.6,1,"russell, ks",43.0,120.0,0,Jan-2019
2019-02-01,31,94000.0,4.72,2,"russell, ks",41.0,129.0,0,Feb-2019
2019-03-01,32,96529.0,4.9,3,"russell, ks",41.0,125.0,0,Mar-2019
2019-04-01,33,99900.0,4.94,4,"russell, ks",42.0,108.0,0,Apr-2019
2019-05-01,34,103750.0,4.75,5,"russell, ks",42.0,98.0,0,May-2019
2019-06-01,35,99900.0,4.51,6,"russell, ks",40.0,96.0,0,Jun-2019
2019-07-01,36,91750.0,4.41,7,"russell, ks",44.0,77.0,0,Jul-2019
2019-08-01,37,83295.0,4.41,8,"russell, ks",46.0,88.0,0,Aug-2019
2019-09-01,38,89739.0,4.2,9,"russell, ks",49.0,98.0,0,Sep-2019
2019-10-01,39,94600.0,4.14,10,"russell, ks",52.0,98.0,0,Oct-2019
2019-11-01,40,97450.0,3.84,11,"russell, ks",57.0,88.0,0,Nov-2019
2019-12-01,41,96225.0,3.81,12,"russell, ks",54.0,35.0,0,Dec-2019
2020-01-01,42,109675.0,3.75,1,"russell, ks",53.0,62.0,0,Jan-2020
2020-02-01,43,95000.0,3.73,2,"russell, ks",54.0,92.0,0,Feb-2020
2020-03-01,44,100925.0,3.78,3,"russell, ks",50.0,124.0,0,Mar-2020
2020-04-01,45,115725.0,3.75,4,"russell, ks",45.0,152.0,0,Apr-2020
2020-05-01,46,104000.0,3.74,5,"russell, ks",48.0,144.0,0,May-2020
2020-06-01,47,106250.0,3.72,6,"russell, ks",51.0,137.0,0,Jun-2020
2020-07-01,48,104250.0,3.49,7,"russell, ks",45.0,83.0,0,Jul-2020
2020-08-01,49,99700.0,3.65,8,"russell, ks",39.0,107.0,0,Aug-2020
2020-09-01,50,89075.0,3.33,9,"russell, ks",46.0,60.0,0,Sep-2020
2020-10-01,51,89150.0,3.28,10,"russell, ks",52.0,54.0,0,Oct-2020
2020-11-01,52,91900.0,3.21,11,"russell, ks",53.0,84.0,0,Nov-2020
2020-12-01,53,89750.0,3.07,12,"russell, ks",53.0,105.0,0,Dec-2020
2021-01-01,54,94400.0,2.99,1,"russell, ks",41.0,123.0,0,Jan-2021
2021-02-01,55,94400.0,2.93,2,"russell, ks",39.0,135.0,0,Feb-2021
2021-03-01,56,95000.0,2.88,3,"russell, ks",45.0,109.0,0,Mar-2021
2021-04-01,57,95000.0,2.84,4,"russell, ks",41.0,82.0,0,Apr-2021
2021-05-01,58,87000.0,2.71,5,"russell, ks",39.0,109.0,0,May-2021
2021-06-01,59,85000.0,2.79,6,"russell, ks",36.0,124.0,0,Jun-2021
2021-07-01,60,72450.0,2.97,7,"russell, ks",31.0,109.0,0,Jul-2021
2021-08-01,61,76725.0,3.17,8,"russell, ks",25.0,114.0,0,Aug-2021
2021-09-01,62,83500.0,3.18,9,"russell, ks",19.0,70.0,0,Sep-2021
2021-10-01,63,66000.0,3.0,10,"russell, ks",23.0,67.0,0,Oct-2021
2021-11-01,64,59900.0,3.02,11,"russell, ks",22.0,80.0,0,Nov-2021
2021-12-01,65,76750.0,2.98,12,"russell, ks",17.0,64.0,0,Dec-2021
2022-01-01,66,69000.0,2.87,1,"russell, ks",18.0,76.0,0,Jan-2022
2022-02-01,67,80000.0,3.01,2,"russell, ks",21.0,61.0,0,Feb-2022
2022-03-01,68,71750.0,3.14,3,"russell, ks",18.0,83.0,0,Mar-2022
2022-04-01,69,67000.0,3.1,4,"russell, ks",17.0,91.0,0,Apr-2022
2022-05-01,70,77000.0,3.12,5,"russell, ks",12.0,35.0,0,May-2022
2022-06-01,71,100000.0,3.56,6,"russell, ks",14.0,50.0,0,Jun-2022
2022-07-01,72,129625.0,3.92,7,"russell, ks",23.0,33.0,0,Jul-2022
2022-08-01,73,158438.0,4.67,8,"russell, ks",19.0,50.0,0,Aug-2022
2022-09-01,74,154688.0,5.11,9,"russell, ks",18.0,71.0,95272,Sep-2022
2022-10-01,75,125000.0,5.3,10,"russell, ks",19.0,88.0,98881,Oct-2022
2022-11-01,76,118000.0,5.81,11,"russell, ks",21.0,67.0,105100,Nov-2022
2022-12-01,77,108000.0,5.54,12,"russell, ks",21.0,79.0,101903,Dec-2022
2023-01-01,78,116500.0,5.55,1,"russell, ks",23.0,108.0,103895,Jan-2023
2023-02-01,79,115250.0,6.7,2,"russell, ks",24.0,102.0,99104,Feb-2023
2023-03-01,80,139350.0,7.08,3,"russell, ks",23.0,79.0,87714,Mar-2023
2023-04-01,81,121500.0,7.08,4,"russell, ks",21.0,81.0,88924,Apr-2023
2023-05-01,82,163500.0,6.49,5,"russell, ks",23.0,83.0,81990,May-2023
2023-06-01,83,130250.0,6.48,6,"russell, ks",25.0,71.0,99055,Jun-2023
2023-07-01,84,98250.0,6.5,7,"russell, ks",26.0,58.0,102576,Jul-2023
