date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,327000.0,3.72,7,"san bernardino, ca",7418.0,54.0,0,Jul-2016
2016-08-01,1,325000.0,3.73,8,"san bernardino, ca",7592.0,57.0,0,Aug-2016
2016-09-01,2,319950.0,3.66,9,"san bernardino, ca",7385.0,59.0,0,Sep-2016
2016-10-01,3,319000.0,3.64,10,"san bernardino, ca",7036.0,63.0,0,Oct-2016
2016-11-01,4,318750.0,3.66,11,"san bernardino, ca",6786.0,64.0,0,Nov-2016
2016-12-01,5,315000.0,3.48,12,"san bernardino, ca",6020.0,71.0,0,Dec-2016
2017-01-01,6,313563.0,3.45,1,"san bernardino, ca",5427.0,75.0,0,Jan-2017
2017-02-01,7,317500.0,3.5,2,"san bernardino, ca",5279.0,65.0,0,Feb-2017
2017-03-01,8,319700.0,3.52,3,"san bernardino, ca",5250.0,49.0,0,Mar-2017
2017-04-01,9,325000.0,4.03,4,"san bernardino, ca",5451.0,38.0,0,Apr-2017
2017-05-01,10,335000.0,4.32,5,"san bernardino, ca",5749.0,38.0,0,May-2017
2017-06-01,11,339250.0,4.2,6,"san bernardino, ca",5992.0,40.0,0,Jun-2017
2017-07-01,12,339999.0,4.19,7,"san bernardino, ca",6201.0,43.0,0,Jul-2017
2017-08-01,13,339000.0,4.3,8,"san bernardino, ca",6272.0,44.0,0,Aug-2017
2017-09-01,14,339000.0,4.1,9,"san bernardino, ca",6162.0,46.0,0,Sep-2017
2017-10-01,15,337225.0,4.05,10,"san bernardino, ca",5879.0,50.0,0,Oct-2017
2017-11-01,16,331500.0,3.94,11,"san bernardino, ca",5619.0,50.0,0,Nov-2017
2017-12-01,17,329000.0,4.03,12,"san bernardino, ca",5085.0,57.0,0,Dec-2017
2018-01-01,18,329425.0,3.93,1,"san bernardino, ca",4731.0,56.0,0,Jan-2018
2018-02-01,19,332475.0,3.83,2,"san bernardino, ca",4864.0,39.0,0,Feb-2018
2018-03-01,20,342000.0,3.94,3,"san bernardino, ca",4997.0,39.0,0,Mar-2018
2018-04-01,21,349900.0,3.95,4,"san bernardino, ca",5283.0,38.0,0,Apr-2018
2018-05-01,22,350000.0,3.99,5,"san bernardino, ca",5695.0,37.0,0,May-2018
2018-06-01,23,359000.0,4.15,6,"san bernardino, ca",6228.0,39.0,0,Jun-2018
2018-07-01,24,360000.0,4.4,7,"san bernardino, ca",6649.0,43.0,0,Jul-2018
2018-08-01,25,359900.0,4.46,8,"san bernardino, ca",6859.0,44.0,0,Aug-2018
2018-09-01,26,359000.0,4.58,9,"san bernardino, ca",7025.0,47.0,0,Sep-2018
2018-10-01,27,352450.0,4.66,10,"san bernardino, ca",7069.0,50.0,0,Oct-2018
2018-11-01,28,349949.0,4.62,11,"san bernardino, ca",7108.0,51.0,0,Nov-2018
2018-12-01,29,349000.0,4.54,12,"san bernardino, ca",6728.0,60.0,0,Dec-2018
2019-01-01,30,349950.0,4.6,1,"san bernardino, ca",6210.0,65.0,0,Jan-2019
2019-02-01,31,350000.0,4.72,2,"san bernardino, ca",6073.0,58.0,0,Feb-2019
2019-03-01,32,354243.0,4.9,3,"san bernardino, ca",5873.0,51.0,0,Mar-2019
2019-04-01,33,359900.0,4.94,4,"san bernardino, ca",5808.0,50.0,0,Apr-2019
2019-05-01,34,369450.0,4.75,5,"san bernardino, ca",5981.0,46.0,0,May-2019
2019-06-01,35,369800.0,4.51,6,"san bernardino, ca",6192.0,49.0,0,Jun-2019
2019-07-01,36,370000.0,4.41,7,"san bernardino, ca",6559.0,51.0,0,Jul-2019
2019-08-01,37,368608.0,4.41,8,"san bernardino, ca",6560.0,53.0,0,Aug-2019
2019-09-01,38,366522.0,4.2,9,"san bernardino, ca",6473.0,55.0,0,Sep-2019
2019-10-01,39,364950.0,4.14,10,"san bernardino, ca",6330.0,58.0,0,Oct-2019
2019-11-01,40,363500.0,3.84,11,"san bernardino, ca",6017.0,61.0,0,Nov-2019
2019-12-01,41,359950.0,3.81,12,"san bernardino, ca",5234.0,71.0,0,Dec-2019
2020-01-01,42,359450.0,3.75,1,"san bernardino, ca",4690.0,73.0,0,Jan-2020
2020-02-01,43,368000.0,3.73,2,"san bernardino, ca",4415.0,63.0,0,Feb-2020
2020-03-01,44,375000.0,3.78,3,"san bernardino, ca",4336.0,52.0,0,Mar-2020
2020-04-01,45,375000.0,3.75,4,"san bernardino, ca",4495.0,56.0,0,Apr-2020
2020-05-01,46,389000.0,3.74,5,"san bernardino, ca",4403.0,68.0,0,May-2020
2020-06-01,47,402500.0,3.72,6,"san bernardino, ca",3717.0,59.0,0,Jun-2020
2020-07-01,48,420000.0,3.49,7,"san bernardino, ca",3031.0,53.0,0,Jul-2020
2020-08-01,49,429900.0,3.65,8,"san bernardino, ca",2672.0,45.0,0,Aug-2020
2020-09-01,50,439945.0,3.33,9,"san bernardino, ca",2587.0,40.0,0,Sep-2020
2020-10-01,51,439900.0,3.28,10,"san bernardino, ca",2616.0,40.0,0,Oct-2020
2020-11-01,52,445000.0,3.21,11,"san bernardino, ca",2430.0,47.0,0,Nov-2020
2020-12-01,53,440000.0,3.07,12,"san bernardino, ca",2116.0,59.0,0,Dec-2020
2021-01-01,54,438745.0,2.99,1,"san bernardino, ca",1740.0,57.0,0,Jan-2021
2021-02-01,55,449347.0,2.93,2,"san bernardino, ca",1592.0,38.0,0,Feb-2021
2021-03-01,56,453725.0,2.88,3,"san bernardino, ca",1697.0,31.0,0,Mar-2021
2021-04-01,57,468950.0,2.84,4,"san bernardino, ca",1843.0,32.0,0,Apr-2021
2021-05-01,58,485000.0,2.71,5,"san bernardino, ca",2112.0,30.0,0,May-2021
2021-06-01,59,485281.0,2.79,6,"san bernardino, ca",2349.0,33.0,0,Jun-2021
2021-07-01,60,489900.0,2.97,7,"san bernardino, ca",2800.0,33.0,0,Jul-2021
2021-08-01,61,491675.0,3.17,8,"san bernardino, ca",2978.0,34.0,0,Aug-2021
2021-09-01,62,490975.0,3.18,9,"san bernardino, ca",3127.0,37.0,0,Sep-2021
2021-10-01,63,490000.0,3.0,10,"san bernardino, ca",3003.0,37.0,0,Oct-2021
2021-11-01,64,487500.0,3.02,11,"san bernardino, ca",2704.0,43.0,0,Nov-2021
2021-12-01,65,486115.0,2.98,12,"san bernardino, ca",2328.0,47.0,0,Dec-2021
2022-01-01,66,495000.0,2.87,1,"san bernardino, ca",1982.0,49.0,0,Jan-2022
2022-02-01,67,499400.0,3.01,2,"san bernardino, ca",2005.0,33.0,0,Feb-2022
2022-03-01,68,517500.0,3.14,3,"san bernardino, ca",2167.0,31.0,0,Mar-2022
2022-04-01,69,529900.0,3.1,4,"san bernardino, ca",2483.0,30.0,0,Apr-2022
2022-05-01,70,539975.0,3.12,5,"san bernardino, ca",3278.0,30.0,0,May-2022
2022-06-01,71,537447.0,3.56,6,"san bernardino, ca",3985.0,34.0,0,Jun-2022
2022-07-01,72,525000.0,3.92,7,"san bernardino, ca",5006.0,38.0,0,Jul-2022
2022-08-01,73,525000.0,4.67,8,"san bernardino, ca",5203.0,46.0,0,Aug-2022
2022-09-01,74,519500.0,5.11,9,"san bernardino, ca",5176.0,52.0,562797,Sep-2022
2022-10-01,75,510000.0,5.3,10,"san bernardino, ca",5169.0,57.0,559165,Oct-2022
2022-11-01,76,500000.0,5.81,11,"san bernardino, ca",4954.0,61.0,558438,Nov-2022
2022-12-01,77,499000.0,5.54,12,"san bernardino, ca",4430.0,71.0,554213,Dec-2022
2023-01-01,78,499000.0,5.55,1,"san bernardino, ca",3805.0,79.0,549314,Jan-2023
2023-02-01,79,498625.0,6.7,2,"san bernardino, ca",3474.0,70.0,556470,Feb-2023
2023-03-01,80,498944.0,7.08,3,"san bernardino, ca",3152.0,60.0,563859,Mar-2023
2023-04-01,81,499999.0,7.08,4,"san bernardino, ca",2865.0,56.0,567366,Apr-2023
