date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,230000.0,3.72,7,"san juan, co",24.0,74.0,0,Jul-2016
2016-08-01,1,249500.0,3.73,8,"san juan, co",27.0,73.0,0,Aug-2016
2016-09-01,2,249500.0,3.66,9,"san juan, co",30.0,59.0,0,Sep-2016
2016-10-01,3,322000.0,3.64,10,"san juan, co",18.0,65.0,0,Oct-2016
2016-11-01,4,299000.0,3.66,11,"san juan, co",17.0,90.0,0,Nov-2016
2016-12-01,5,316000.0,3.48,12,"san juan, co",17.0,121.0,0,Dec-2016
2017-01-01,6,286750.0,3.45,1,"san juan, co",16.0,153.0,0,Jan-2017
2017-02-01,7,274500.0,3.5,2,"san juan, co",13.0,174.0,0,Feb-2017
2017-03-01,8,249750.0,3.52,3,"san juan, co",11.0,141.0,0,Mar-2017
2017-04-01,9,250000.0,4.03,4,"san juan, co",12.0,161.0,0,Apr-2017
2017-05-01,10,310000.0,4.32,5,"san juan, co",15.0,113.0,0,May-2017
2017-06-01,11,324000.0,4.2,6,"san juan, co",20.0,70.0,0,Jun-2017
2017-07-01,12,333000.0,4.19,7,"san juan, co",24.0,68.0,0,Jul-2017
2017-08-01,13,336000.0,4.3,8,"san juan, co",22.0,79.0,0,Aug-2017
2017-09-01,14,375000.0,4.1,9,"san juan, co",23.0,82.0,0,Sep-2017
2017-10-01,15,375000.0,4.05,10,"san juan, co",24.0,98.0,0,Oct-2017
2017-11-01,16,362000.0,3.94,11,"san juan, co",26.0,108.0,0,Nov-2017
2017-12-01,17,375000.0,4.03,12,"san juan, co",23.0,144.0,0,Dec-2017
2018-01-01,18,297000.0,3.93,1,"san juan, co",25.0,162.0,0,Jan-2018
2018-02-01,19,314500.0,3.83,2,"san juan, co",28.0,186.0,0,Feb-2018
2018-03-01,20,362000.0,3.94,3,"san juan, co",28.0,203.0,0,Mar-2018
2018-04-01,21,375000.0,3.95,4,"san juan, co",27.0,198.0,0,Apr-2018
2018-05-01,22,336250.0,3.99,5,"san juan, co",27.0,151.0,0,May-2018
2018-06-01,23,335000.0,4.15,6,"san juan, co",28.0,116.0,0,Jun-2018
2018-07-01,24,325000.0,4.4,7,"san juan, co",34.0,60.0,0,Jul-2018
2018-08-01,25,358469.0,4.46,8,"san juan, co",30.0,63.0,0,Aug-2018
2018-09-01,26,340000.0,4.58,9,"san juan, co",30.0,75.0,0,Sep-2018
2018-10-01,27,378500.0,4.66,10,"san juan, co",29.0,106.0,0,Oct-2018
2018-11-01,28,385000.0,4.62,11,"san juan, co",27.0,131.0,0,Nov-2018
2018-12-01,29,333000.0,4.54,12,"san juan, co",26.0,162.0,0,Dec-2018
2019-01-01,30,342000.0,4.6,1,"san juan, co",25.0,190.0,0,Jan-2019
2019-02-01,31,345000.0,4.72,2,"san juan, co",25.0,209.0,0,Feb-2019
2019-03-01,32,353143.0,4.9,3,"san juan, co",25.0,224.0,0,Mar-2019
2019-04-01,33,345143.0,4.94,4,"san juan, co",24.0,242.0,0,Apr-2019
2019-05-01,34,332000.0,4.75,5,"san juan, co",27.0,260.0,0,May-2019
2019-06-01,35,334000.0,4.51,6,"san juan, co",27.0,122.0,0,Jun-2019
2019-07-01,36,327000.0,4.41,7,"san juan, co",30.0,63.0,0,Jul-2019
2019-08-01,37,351000.0,4.41,8,"san juan, co",32.0,74.0,0,Aug-2019
2019-09-01,38,378000.0,4.2,9,"san juan, co",34.0,80.0,0,Sep-2019
2019-10-01,39,387750.0,4.14,10,"san juan, co",35.0,83.0,0,Oct-2019
2019-11-01,40,370000.0,3.84,11,"san juan, co",29.0,108.0,0,Nov-2019
2019-12-01,41,376250.0,3.81,12,"san juan, co",28.0,102.0,0,Dec-2019
2020-01-01,42,339750.0,3.75,1,"san juan, co",29.0,127.0,0,Jan-2020
2020-02-01,43,339500.0,3.73,2,"san juan, co",28.0,164.0,0,Feb-2020
2020-03-01,44,348000.0,3.78,3,"san juan, co",29.0,187.0,0,Mar-2020
