date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,120000.0,3.72,7,"sanborn, sd",8.0,95.0,0,Jul-2016
2016-08-01,1,122250.0,3.73,8,"sanborn, sd",12.0,69.0,0,Aug-2016
2016-09-01,2,124500.0,3.66,9,"sanborn, sd",10.0,90.0,0,Sep-2016
2016-10-01,3,129500.0,3.64,10,"sanborn, sd",8.0,129.0,0,Oct-2016
2016-11-01,4,164950.0,3.66,11,"sanborn, sd",6.0,152.0,0,Nov-2016
2016-12-01,5,164950.0,3.48,12,"sanborn, sd",4.0,176.0,0,Dec-2016
2017-01-01,6,164950.0,3.45,1,"sanborn, sd",2.0,231.0,0,Jan-2017
2017-02-01,7,130000.0,3.5,2,"sanborn, sd",3.0,140.0,0,Feb-2017
2017-03-01,8,130000.0,3.52,3,"sanborn, sd",3.0,161.0,0,Mar-2017
2017-04-01,9,130000.0,4.03,4,"sanborn, sd",3.0,192.0,0,Apr-2017
2017-05-01,10,130000.0,4.32,5,"sanborn, sd",3.0,224.0,0,May-2017
2017-06-01,11,72500.0,4.2,6,"sanborn, sd",3.0,77.0,0,Jun-2017
2017-07-01,12,72500.0,4.19,7,"sanborn, sd",3.0,101.0,0,Jul-2017
2017-08-01,13,101250.0,4.3,8,"sanborn, sd",4.0,105.0,0,Aug-2017
2017-09-01,14,72500.0,4.1,9,"sanborn, sd",3.0,157.0,0,Sep-2017
2017-10-01,15,64700.0,4.05,10,"sanborn, sd",3.0,136.0,0,Oct-2017
2017-11-01,16,64700.0,3.94,11,"sanborn, sd",3.0,164.0,0,Nov-2017
2017-12-01,17,64700.0,4.03,12,"sanborn, sd",3.0,196.0,0,Dec-2017
2018-01-01,18,58500.0,3.93,1,"sanborn, sd",2.0,227.0,0,Jan-2018
2018-02-01,19,37450.0,3.83,2,"sanborn, sd",3.0,106.0,0,Feb-2018
2018-03-01,20,35000.0,3.94,3,"sanborn, sd",3.0,37.0,0,Mar-2018
2018-04-01,21,49850.0,3.95,4,"sanborn, sd",4.0,64.0,0,Apr-2018
2018-05-01,22,55900.0,3.99,5,"sanborn, sd",3.0,78.0,0,May-2018
2018-06-01,23,64700.0,4.15,6,"sanborn, sd",3.0,80.0,0,Jun-2018
2018-07-01,24,64700.0,4.4,7,"sanborn, sd",3.0,47.0,0,Jul-2018
2018-08-01,25,64700.0,4.46,8,"sanborn, sd",3.0,51.0,0,Aug-2018
2018-09-01,26,92450.0,4.58,9,"sanborn, sd",2.0,68.0,0,Sep-2018
2018-10-01,27,44900.0,4.66,10,"sanborn, sd",1.0,72.0,0,Oct-2018
2018-11-01,28,55000.0,4.62,11,"sanborn, sd",3.0,107.0,0,Nov-2018
2018-12-01,29,55000.0,4.54,12,"sanborn, sd",3.0,124.0,0,Dec-2018
2019-01-01,30,97500.0,4.6,1,"sanborn, sd",2.0,133.0,0,Jan-2019
2019-02-01,31,109925.0,4.72,2,"sanborn, sd",4.0,96.0,0,Feb-2019
2019-03-01,32,125307.0,4.9,3,"sanborn, sd",4.0,72.0,0,Mar-2019
2019-04-01,33,132450.0,4.94,4,"sanborn, sd",4.0,43.0,0,Apr-2019
2019-05-01,34,129450.0,4.75,5,"sanborn, sd",4.0,65.0,0,May-2019
2019-06-01,35,124000.0,4.51,6,"sanborn, sd",5.0,94.0,0,Jun-2019
2019-07-01,36,123000.0,4.41,7,"sanborn, sd",6.0,119.0,0,Jul-2019
2019-08-01,37,121305.0,4.41,8,"sanborn, sd",5.0,128.0,0,Aug-2019
2019-09-01,38,120261.0,4.2,9,"sanborn, sd",5.0,136.0,0,Sep-2019
