date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,198750.0,3.72,7,"schuyler, ny",108.0,78.0,0,Jul-2016
2016-08-01,1,194975.0,3.73,8,"schuyler, ny",116.0,75.0,0,Aug-2016
2016-09-01,2,186000.0,3.66,9,"schuyler, ny",126.0,75.0,0,Sep-2016
2016-10-01,3,182500.0,3.64,10,"schuyler, ny",118.0,85.0,0,Oct-2016
2016-11-01,4,181000.0,3.66,11,"schuyler, ny",112.0,107.0,0,Nov-2016
2016-12-01,5,179250.0,3.48,12,"schuyler, ny",105.0,120.0,0,Dec-2016
2017-01-01,6,173475.0,3.45,1,"schuyler, ny",95.0,130.0,0,Jan-2017
2017-02-01,7,176125.0,3.5,2,"schuyler, ny",92.0,136.0,0,Feb-2017
2017-03-01,8,182000.0,3.52,3,"schuyler, ny",86.0,144.0,0,Mar-2017
2017-04-01,9,179500.0,4.03,4,"schuyler, ny",88.0,119.0,0,Apr-2017
2017-05-01,10,190500.0,4.32,5,"schuyler, ny",85.0,112.0,0,May-2017
2017-06-01,11,197450.0,4.2,6,"schuyler, ny",106.0,71.0,0,Jun-2017
2017-07-01,12,179500.0,4.19,7,"schuyler, ny",111.0,59.0,0,Jul-2017
2017-08-01,13,178875.0,4.3,8,"schuyler, ny",107.0,73.0,0,Aug-2017
2017-09-01,14,176500.0,4.1,9,"schuyler, ny",100.0,82.0,0,Sep-2017
2017-10-01,15,187250.0,4.05,10,"schuyler, ny",92.0,99.0,0,Oct-2017
2017-11-01,16,180000.0,3.94,11,"schuyler, ny",86.0,112.0,0,Nov-2017
2017-12-01,17,189900.0,4.03,12,"schuyler, ny",77.0,112.0,0,Dec-2017
2018-01-01,18,194000.0,3.93,1,"schuyler, ny",76.0,126.0,0,Jan-2018
2018-02-01,19,198000.0,3.83,2,"schuyler, ny",68.0,106.0,0,Feb-2018
2018-03-01,20,189450.0,3.94,3,"schuyler, ny",67.0,74.0,0,Mar-2018
2018-04-01,21,185950.0,3.95,4,"schuyler, ny",78.0,69.0,0,Apr-2018
2018-05-01,22,189000.0,3.99,5,"schuyler, ny",80.0,60.0,0,May-2018
2018-06-01,23,184450.0,4.15,6,"schuyler, ny",88.0,68.0,0,Jun-2018
2018-07-01,24,189248.0,4.4,7,"schuyler, ny",91.0,85.0,0,Jul-2018
2018-08-01,25,190250.0,4.46,8,"schuyler, ny",86.0,86.0,0,Aug-2018
2018-09-01,26,192900.0,4.58,9,"schuyler, ny",83.0,91.0,0,Sep-2018
2018-10-01,27,189450.0,4.66,10,"schuyler, ny",84.0,86.0,0,Oct-2018
2018-11-01,28,196425.0,4.62,11,"schuyler, ny",70.0,86.0,0,Nov-2018
2018-12-01,29,199900.0,4.54,12,"schuyler, ny",64.0,101.0,0,Dec-2018
2019-01-01,30,169700.0,4.6,1,"schuyler, ny",59.0,118.0,0,Jan-2019
2019-02-01,31,171050.0,4.72,2,"schuyler, ny",54.0,126.0,0,Feb-2019
2019-03-01,32,173493.0,4.9,3,"schuyler, ny",58.0,113.0,0,Mar-2019
2019-04-01,33,182425.0,4.94,4,"schuyler, ny",61.0,84.0,0,Apr-2019
2019-05-01,34,245725.0,4.75,5,"schuyler, ny",65.0,50.0,0,May-2019
2019-06-01,35,219900.0,4.51,6,"schuyler, ny",76.0,58.0,0,Jun-2019
2019-07-01,36,234150.0,4.41,7,"schuyler, ny",77.0,66.0,0,Jul-2019
2019-08-01,37,232486.0,4.41,8,"schuyler, ny",77.0,68.0,0,Aug-2019
2019-09-01,38,243716.0,4.2,9,"schuyler, ny",77.0,72.0,0,Sep-2019
2019-10-01,39,249477.0,4.14,10,"schuyler, ny",78.0,75.0,0,Oct-2019
2019-11-01,40,261450.0,3.84,11,"schuyler, ny",61.0,95.0,0,Nov-2019
2019-12-01,41,274900.0,3.81,12,"schuyler, ny",59.0,109.0,0,Dec-2019
2020-01-01,42,253450.0,3.75,1,"schuyler, ny",53.0,120.0,0,Jan-2020
2020-02-01,43,258000.0,3.73,2,"schuyler, ny",50.0,130.0,0,Feb-2020
2020-03-01,44,245725.0,3.78,3,"schuyler, ny",50.0,108.0,0,Mar-2020
2020-04-01,45,269825.0,3.75,4,"schuyler, ny",47.0,106.0,0,Apr-2020
