date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,84500.0,3.72,7,"schuylkill, pa",755.0,85.0,0,Jul-2016
2016-08-01,1,82525.0,3.73,8,"schuylkill, pa",764.0,87.0,0,Aug-2016
2016-09-01,2,82750.0,3.66,9,"schuylkill, pa",767.0,92.0,0,Sep-2016
2016-10-01,3,84700.0,3.64,10,"schuylkill, pa",754.0,86.0,0,Oct-2016
2016-11-01,4,79900.0,3.66,11,"schuylkill, pa",723.0,91.0,0,Nov-2016
2016-12-01,5,77000.0,3.48,12,"schuylkill, pa",681.0,99.0,0,Dec-2016
2017-01-01,6,76500.0,3.45,1,"schuylkill, pa",650.0,109.0,0,Jan-2017
2017-02-01,7,78188.0,3.5,2,"schuylkill, pa",646.0,103.0,0,Feb-2017
2017-03-01,8,79900.0,3.52,3,"schuylkill, pa",628.0,94.0,0,Mar-2017
2017-04-01,9,79900.0,4.03,4,"schuylkill, pa",653.0,75.0,0,Apr-2017
2017-05-01,10,78600.0,4.32,5,"schuylkill, pa",666.0,71.0,0,May-2017
2017-06-01,11,77475.0,4.2,6,"schuylkill, pa",659.0,74.0,0,Jun-2017
2017-07-01,12,79000.0,4.19,7,"schuylkill, pa",696.0,76.0,0,Jul-2017
2017-08-01,13,75725.0,4.3,8,"schuylkill, pa",699.0,81.0,0,Aug-2017
2017-09-01,14,71950.0,4.1,9,"schuylkill, pa",670.0,84.0,0,Sep-2017
2017-10-01,15,74500.0,4.05,10,"schuylkill, pa",648.0,92.0,0,Oct-2017
2017-11-01,16,70948.0,3.94,11,"schuylkill, pa",625.0,94.0,0,Nov-2017
2017-12-01,17,69945.0,4.03,12,"schuylkill, pa",573.0,102.0,0,Dec-2017
2018-01-01,18,74575.0,3.93,1,"schuylkill, pa",513.0,107.0,0,Jan-2018
2018-02-01,19,75450.0,3.83,2,"schuylkill, pa",528.0,105.0,0,Feb-2018
2018-03-01,20,79950.0,3.94,3,"schuylkill, pa",482.0,99.0,0,Mar-2018
2018-04-01,21,75225.0,3.95,4,"schuylkill, pa",491.0,90.0,0,Apr-2018
2018-05-01,22,79900.0,3.99,5,"schuylkill, pa",491.0,84.0,0,May-2018
2018-06-01,23,75000.0,4.15,6,"schuylkill, pa",522.0,65.0,0,Jun-2018
2018-07-01,24,78750.0,4.4,7,"schuylkill, pa",526.0,64.0,0,Jul-2018
2018-08-01,25,75500.0,4.46,8,"schuylkill, pa",524.0,70.0,0,Aug-2018
2018-09-01,26,78000.0,4.58,9,"schuylkill, pa",547.0,74.0,0,Sep-2018
2018-10-01,27,77425.0,4.66,10,"schuylkill, pa",550.0,76.0,0,Oct-2018
2018-11-01,28,80000.0,4.62,11,"schuylkill, pa",531.0,80.0,0,Nov-2018
2018-12-01,29,79900.0,4.54,12,"schuylkill, pa",493.0,92.0,0,Dec-2018
2019-01-01,30,80975.0,4.6,1,"schuylkill, pa",454.0,101.0,0,Jan-2019
2019-02-01,31,79850.0,4.72,2,"schuylkill, pa",432.0,104.0,0,Feb-2019
2019-03-01,32,80529.0,4.9,3,"schuylkill, pa",435.0,90.0,0,Mar-2019
2019-04-01,33,81379.0,4.94,4,"schuylkill, pa",460.0,67.0,0,Apr-2019
2019-05-01,34,80000.0,4.75,5,"schuylkill, pa",478.0,63.0,0,May-2019
2019-06-01,35,85000.0,4.51,6,"schuylkill, pa",506.0,68.0,0,Jun-2019
2019-07-01,36,86925.0,4.41,7,"schuylkill, pa",517.0,73.0,0,Jul-2019
2019-08-01,37,88782.0,4.41,8,"schuylkill, pa",489.0,71.0,0,Aug-2019
2019-09-01,38,94530.0,4.2,9,"schuylkill, pa",451.0,68.0,0,Sep-2019
2019-10-01,39,99000.0,4.14,10,"schuylkill, pa",417.0,67.0,0,Oct-2019
2019-11-01,40,103700.0,3.84,11,"schuylkill, pa",378.0,69.0,0,Nov-2019
2019-12-01,41,112450.0,3.81,12,"schuylkill, pa",367.0,87.0,0,Dec-2019
2020-01-01,42,119400.0,3.75,1,"schuylkill, pa",321.0,93.0,0,Jan-2020
2020-02-01,43,109900.0,3.73,2,"schuylkill, pa",285.0,101.0,0,Feb-2020
2020-03-01,44,122825.0,3.78,3,"schuylkill, pa",276.0,74.0,0,Mar-2020
2020-04-01,45,122850.0,3.75,4,"schuylkill, pa",251.0,79.0,0,Apr-2020
2020-05-01,46,125000.0,3.74,5,"schuylkill, pa",260.0,82.0,0,May-2020
2020-06-01,47,119900.0,3.72,6,"schuylkill, pa",248.0,55.0,0,Jun-2020
2020-07-01,48,123425.0,3.49,7,"schuylkill, pa",220.0,43.0,0,Jul-2020
2020-08-01,49,125000.0,3.65,8,"schuylkill, pa",191.0,51.0,0,Aug-2020
2020-09-01,50,121575.0,3.33,9,"schuylkill, pa",182.0,41.0,0,Sep-2020
2020-10-01,51,136250.0,3.28,10,"schuylkill, pa",181.0,44.0,0,Oct-2020
2020-11-01,52,129450.0,3.21,11,"schuylkill, pa",176.0,47.0,0,Nov-2020
2020-12-01,53,122250.0,3.07,12,"schuylkill, pa",161.0,61.0,0,Dec-2020
2021-01-01,54,119000.0,2.99,1,"schuylkill, pa",145.0,71.0,0,Jan-2021
2021-02-01,55,119000.0,2.93,2,"schuylkill, pa",105.0,66.0,0,Feb-2021
2021-03-01,56,120725.0,2.88,3,"schuylkill, pa",100.0,52.0,0,Mar-2021
2021-04-01,57,134250.0,2.84,4,"schuylkill, pa",93.0,25.0,0,Apr-2021
2021-05-01,58,143900.0,2.71,5,"schuylkill, pa",93.0,24.0,0,May-2021
2021-06-01,59,104750.0,2.79,6,"schuylkill, pa",159.0,18.0,0,Jun-2021
2021-07-01,60,118725.0,2.97,7,"schuylkill, pa",170.0,25.0,0,Jul-2021
2021-08-01,61,119999.0,3.17,8,"schuylkill, pa",183.0,29.0,0,Aug-2021
2021-09-01,62,119100.0,3.18,9,"schuylkill, pa",188.0,36.0,0,Sep-2021
2021-10-01,63,105000.0,3.0,10,"schuylkill, pa",180.0,43.0,0,Oct-2021
2021-11-01,64,95975.0,3.02,11,"schuylkill, pa",184.0,39.0,0,Nov-2021
2021-12-01,65,107975.0,2.98,12,"schuylkill, pa",181.0,44.0,0,Dec-2021
2022-01-01,66,99500.0,2.87,1,"schuylkill, pa",165.0,48.0,0,Jan-2022
2022-02-01,67,106475.0,3.01,2,"schuylkill, pa",169.0,47.0,0,Feb-2022
2022-03-01,68,127200.0,3.14,3,"schuylkill, pa",160.0,47.0,0,Mar-2022
2022-04-01,69,129900.0,3.1,4,"schuylkill, pa",155.0,41.0,0,Apr-2022
2022-05-01,70,136000.0,3.12,5,"schuylkill, pa",165.0,33.0,0,May-2022
2022-06-01,71,137225.0,3.56,6,"schuylkill, pa",205.0,29.0,0,Jun-2022
2022-07-01,72,129900.0,3.92,7,"schuylkill, pa",243.0,30.0,0,Jul-2022
2022-08-01,73,134925.0,4.67,8,"schuylkill, pa",255.0,40.0,0,Aug-2022
2022-09-01,74,129950.0,5.11,9,"schuylkill, pa",240.0,45.0,126555,Sep-2022
2022-10-01,75,129900.0,5.3,10,"schuylkill, pa",244.0,49.0,128936,Oct-2022
2022-11-01,76,124400.0,5.81,11,"schuylkill, pa",235.0,55.0,130646,Nov-2022
