date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,260000.0,3.72,7,"scott, ia",674.0,46.0,0,Jul-2016
2016-08-01,1,248900.0,3.73,8,"scott, ia",676.0,51.0,0,Aug-2016
2016-09-01,2,249425.0,3.66,9,"scott, ia",683.0,53.0,0,Sep-2016
2016-10-01,3,238450.0,3.64,10,"scott, ia",692.0,57.0,0,Oct-2016
2016-11-01,4,241950.0,3.66,11,"scott, ia",659.0,60.0,0,Nov-2016
2016-12-01,5,240000.0,3.48,12,"scott, ia",618.0,68.0,0,Dec-2016
2017-01-01,6,249350.0,3.45,1,"scott, ia",564.0,68.0,0,Jan-2017
2017-02-01,7,249900.0,3.5,2,"scott, ia",551.0,60.0,0,Feb-2017
2017-03-01,8,254450.0,3.52,3,"scott, ia",555.0,52.0,0,Mar-2017
2017-04-01,9,263650.0,4.03,4,"scott, ia",550.0,54.0,0,Apr-2017
2017-05-01,10,269700.0,4.32,5,"scott, ia",555.0,45.0,0,May-2017
2017-06-01,11,267425.0,4.2,6,"scott, ia",605.0,42.0,0,Jun-2017
2017-07-01,12,265450.0,4.19,7,"scott, ia",614.0,43.0,0,Jul-2017
2017-08-01,13,264900.0,4.3,8,"scott, ia",634.0,47.0,0,Aug-2017
2017-09-01,14,259900.0,4.1,9,"scott, ia",635.0,52.0,0,Sep-2017
2017-10-01,15,256450.0,4.05,10,"scott, ia",626.0,55.0,0,Oct-2017
2017-11-01,16,259900.0,3.94,11,"scott, ia",603.0,56.0,0,Nov-2017
2017-12-01,17,259900.0,4.03,12,"scott, ia",564.0,65.0,0,Dec-2017
2018-01-01,18,256475.0,3.93,1,"scott, ia",527.0,72.0,0,Jan-2018
2018-02-01,19,264125.0,3.83,2,"scott, ia",500.0,65.0,0,Feb-2018
2018-03-01,20,265000.0,3.94,3,"scott, ia",508.0,57.0,0,Mar-2018
2018-04-01,21,286625.0,3.95,4,"scott, ia",521.0,45.0,0,Apr-2018
2018-05-01,22,295600.0,3.99,5,"scott, ia",525.0,39.0,0,May-2018
2018-06-01,23,295600.0,4.15,6,"scott, ia",551.0,47.0,0,Jun-2018
2018-07-01,24,287150.0,4.4,7,"scott, ia",589.0,48.0,0,Jul-2018
2018-08-01,25,279925.0,4.46,8,"scott, ia",617.0,51.0,0,Aug-2018
2018-09-01,26,280900.0,4.58,9,"scott, ia",626.0,51.0,0,Sep-2018
2018-10-01,27,274975.0,4.66,10,"scott, ia",615.0,55.0,0,Oct-2018
2018-11-01,28,256000.0,4.62,11,"scott, ia",616.0,58.0,0,Nov-2018
2018-12-01,29,239900.0,4.54,12,"scott, ia",572.0,64.0,0,Dec-2018
2019-01-01,30,242400.0,4.6,1,"scott, ia",529.0,70.0,0,Jan-2019
2019-02-01,31,239900.0,4.72,2,"scott, ia",516.0,66.0,0,Feb-2019
2019-03-01,32,261078.0,4.9,3,"scott, ia",500.0,55.0,0,Mar-2019
2019-04-01,33,279875.0,4.94,4,"scott, ia",494.0,37.0,0,Apr-2019
2019-05-01,34,282400.0,4.75,5,"scott, ia",478.0,31.0,0,May-2019
2019-06-01,35,290900.0,4.51,6,"scott, ia",526.0,40.0,0,Jun-2019
2019-07-01,36,278960.0,4.41,7,"scott, ia",524.0,46.0,0,Jul-2019
2019-08-01,37,271591.0,4.41,8,"scott, ia",556.0,52.0,0,Aug-2019
2019-09-01,38,266477.0,4.2,9,"scott, ia",579.0,53.0,0,Sep-2019
2019-10-01,39,263068.0,4.14,10,"scott, ia",599.0,55.0,0,Oct-2019
2019-11-01,40,249000.0,3.84,11,"scott, ia",605.0,60.0,0,Nov-2019
2019-12-01,41,231550.0,3.81,12,"scott, ia",584.0,70.0,0,Dec-2019
2020-01-01,42,237400.0,3.75,1,"scott, ia",547.0,75.0,0,Jan-2020
2020-02-01,43,234900.0,3.73,2,"scott, ia",528.0,74.0,0,Feb-2020
2020-03-01,44,257475.0,3.78,3,"scott, ia",493.0,66.0,0,Mar-2020
2020-04-01,45,265000.0,3.75,4,"scott, ia",488.0,72.0,0,Apr-2020
2020-05-01,46,279900.0,3.74,5,"scott, ia",465.0,59.0,0,May-2020
2020-06-01,47,297525.0,3.72,6,"scott, ia",423.0,58.0,0,Jun-2020
2020-07-01,48,301500.0,3.49,7,"scott, ia",397.0,51.0,0,Jul-2020
2020-08-01,49,299900.0,3.65,8,"scott, ia",378.0,43.0,0,Aug-2020
2020-09-01,50,299900.0,3.33,9,"scott, ia",366.0,46.0,0,Sep-2020
2020-10-01,51,279900.0,3.28,10,"scott, ia",348.0,53.0,0,Oct-2020
2020-11-01,52,270975.0,3.21,11,"scott, ia",346.0,51.0,0,Nov-2020
2020-12-01,53,258425.0,3.07,12,"scott, ia",312.0,57.0,0,Dec-2020
2021-01-01,54,242900.0,2.99,1,"scott, ia",271.0,63.0,0,Jan-2021
2021-02-01,55,291425.0,2.93,2,"scott, ia",220.0,56.0,0,Feb-2021
2021-03-01,56,257990.0,2.88,3,"scott, ia",223.0,46.0,0,Mar-2021
2021-04-01,57,272075.0,2.84,4,"scott, ia",216.0,40.0,0,Apr-2021
2021-05-01,58,252745.0,2.71,5,"scott, ia",236.0,37.0,0,May-2021
