date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,177200.0,3.72,7,"sedgwick, ks",1802.0,47.0,0,Jul-2016
2016-08-01,1,171300.0,3.73,8,"sedgwick, ks",1792.0,47.0,0,Aug-2016
2016-09-01,2,170000.0,3.66,9,"sedgwick, ks",1785.0,49.0,0,Sep-2016
2016-10-01,3,170000.0,3.64,10,"sedgwick, ks",1816.0,50.0,0,Oct-2016
2016-11-01,4,170828.0,3.66,11,"sedgwick, ks",1795.0,54.0,0,Nov-2016
2016-12-01,5,169900.0,3.48,12,"sedgwick, ks",1624.0,65.0,0,Dec-2016
2017-01-01,6,169900.0,3.45,1,"sedgwick, ks",1529.0,68.0,0,Jan-2017
2017-02-01,7,169950.0,3.5,2,"sedgwick, ks",1554.0,58.0,0,Feb-2017
2017-03-01,8,184500.0,3.52,3,"sedgwick, ks",1517.0,47.0,0,Mar-2017
2017-04-01,9,198000.0,4.03,4,"sedgwick, ks",1514.0,45.0,0,Apr-2017
2017-05-01,10,202400.0,4.32,5,"sedgwick, ks",1574.0,45.0,0,May-2017
2017-06-01,11,199900.0,4.2,6,"sedgwick, ks",1664.0,44.0,0,Jun-2017
2017-07-01,12,195000.0,4.19,7,"sedgwick, ks",1754.0,43.0,0,Jul-2017
2017-08-01,13,187400.0,4.3,8,"sedgwick, ks",1840.0,43.0,0,Aug-2017
2017-09-01,14,179900.0,4.1,9,"sedgwick, ks",1875.0,44.0,0,Sep-2017
2017-10-01,15,175000.0,4.05,10,"sedgwick, ks",1909.0,50.0,0,Oct-2017
2017-11-01,16,178000.0,3.94,11,"sedgwick, ks",1788.0,56.0,0,Nov-2017
2017-12-01,17,178000.0,4.03,12,"sedgwick, ks",1682.0,65.0,0,Dec-2017
2018-01-01,18,179800.0,3.93,1,"sedgwick, ks",1530.0,68.0,0,Jan-2018
2018-02-01,19,190900.0,3.83,2,"sedgwick, ks",1380.0,67.0,0,Feb-2018
2018-03-01,20,200000.0,3.94,3,"sedgwick, ks",1366.0,46.0,0,Mar-2018
2018-04-01,21,214750.0,3.95,4,"sedgwick, ks",1393.0,40.0,0,Apr-2018
2018-05-01,22,211475.0,3.99,5,"sedgwick, ks",1515.0,39.0,0,May-2018
2018-06-01,23,210000.0,4.15,6,"sedgwick, ks",1573.0,42.0,0,Jun-2018
2018-07-01,24,210000.0,4.4,7,"sedgwick, ks",1565.0,46.0,0,Jul-2018
2018-08-01,25,208200.0,4.46,8,"sedgwick, ks",1570.0,50.0,0,Aug-2018
2018-09-01,26,200000.0,4.58,9,"sedgwick, ks",1614.0,46.0,0,Sep-2018
2018-10-01,27,200000.0,4.66,10,"sedgwick, ks",1651.0,50.0,0,Oct-2018
2018-11-01,28,194425.0,4.62,11,"sedgwick, ks",1648.0,50.0,0,Nov-2018
2018-12-01,29,195000.0,4.54,12,"sedgwick, ks",1565.0,58.0,0,Dec-2018
2019-01-01,30,197300.0,4.6,1,"sedgwick, ks",1467.0,67.0,0,Jan-2019
2019-02-01,31,208238.0,4.72,2,"sedgwick, ks",1399.0,63.0,0,Feb-2019
2019-03-01,32,218046.0,4.9,3,"sedgwick, ks",1356.0,53.0,0,Mar-2019
2019-04-01,33,227450.0,4.94,4,"sedgwick, ks",1343.0,42.0,0,Apr-2019
2019-05-01,34,235775.0,4.75,5,"sedgwick, ks",1372.0,42.0,0,May-2019
2019-06-01,35,235000.0,4.51,6,"sedgwick, ks",1315.0,42.0,0,Jun-2019
2019-07-01,36,226500.0,4.41,7,"sedgwick, ks",1365.0,44.0,0,Jul-2019
2019-08-01,37,226018.0,4.41,8,"sedgwick, ks",1362.0,49.0,0,Aug-2019
2019-09-01,38,227695.0,4.2,9,"sedgwick, ks",1338.0,56.0,0,Sep-2019
2019-10-01,39,228814.0,4.14,10,"sedgwick, ks",1322.0,60.0,0,Oct-2019
