date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,189500.0,3.72,7,"southeast fairbanks, ak",61.0,89.0,0,Jul-2016
2016-08-01,1,180950.0,3.73,8,"southeast fairbanks, ak",59.0,99.0,0,Aug-2016
2016-09-01,2,174925.0,3.66,9,"southeast fairbanks, ak",59.0,101.0,0,Sep-2016
2016-10-01,3,169950.0,3.64,10,"southeast fairbanks, ak",58.0,116.0,0,Oct-2016
2016-11-01,4,165000.0,3.66,11,"southeast fairbanks, ak",55.0,134.0,0,Nov-2016
2016-12-01,5,164900.0,3.48,12,"southeast fairbanks, ak",48.0,148.0,0,Dec-2016
2017-01-01,6,167500.0,3.45,1,"southeast fairbanks, ak",40.0,137.0,0,Jan-2017
2017-02-01,7,164925.0,3.5,2,"southeast fairbanks, ak",41.0,167.0,0,Feb-2017
2017-03-01,8,172500.0,3.52,3,"southeast fairbanks, ak",43.0,184.0,0,Mar-2017
2017-04-01,9,169000.0,4.03,4,"southeast fairbanks, ak",43.0,193.0,0,Apr-2017
2017-05-01,10,165000.0,4.32,5,"southeast fairbanks, ak",48.0,159.0,0,May-2017
2017-06-01,11,188000.0,4.2,6,"southeast fairbanks, ak",56.0,70.0,0,Jun-2017
2017-07-01,12,189000.0,4.19,7,"southeast fairbanks, ak",56.0,79.0,0,Jul-2017
2017-08-01,13,185000.0,4.3,8,"southeast fairbanks, ak",55.0,93.0,0,Aug-2017
2017-09-01,14,185000.0,4.1,9,"southeast fairbanks, ak",51.0,98.0,0,Sep-2017
2017-10-01,15,189250.0,4.05,10,"southeast fairbanks, ak",52.0,99.0,0,Oct-2017
2017-11-01,16,185000.0,3.94,11,"southeast fairbanks, ak",55.0,88.0,0,Nov-2017
2017-12-01,17,189000.0,4.03,12,"southeast fairbanks, ak",50.0,116.0,0,Dec-2017
2018-01-01,18,192000.0,3.93,1,"southeast fairbanks, ak",44.0,141.0,0,Jan-2018
2018-02-01,19,179000.0,3.83,2,"southeast fairbanks, ak",46.0,165.0,0,Feb-2018
2018-03-01,20,184000.0,3.94,3,"southeast fairbanks, ak",47.0,182.0,0,Mar-2018
2018-04-01,21,174000.0,3.95,4,"southeast fairbanks, ak",49.0,174.0,0,Apr-2018
2018-05-01,22,198375.0,3.99,5,"southeast fairbanks, ak",54.0,91.0,0,May-2018
2018-06-01,23,200000.0,4.15,6,"southeast fairbanks, ak",66.0,73.0,0,Jun-2018
2018-07-01,24,222450.0,4.4,7,"southeast fairbanks, ak",68.0,68.0,0,Jul-2018
2018-08-01,25,212500.0,4.46,8,"southeast fairbanks, ak",64.0,87.0,0,Aug-2018
2018-09-01,26,209000.0,4.58,9,"southeast fairbanks, ak",58.0,105.0,0,Sep-2018
2018-10-01,27,218750.0,4.66,10,"southeast fairbanks, ak",60.0,120.0,0,Oct-2018
2018-11-01,28,225850.0,4.62,11,"southeast fairbanks, ak",59.0,122.0,0,Nov-2018
2018-12-01,29,224450.0,4.54,12,"southeast fairbanks, ak",57.0,149.0,0,Dec-2018
2019-01-01,30,227775.0,4.6,1,"southeast fairbanks, ak",51.0,174.0,0,Jan-2019
2019-02-01,31,226800.0,4.72,2,"southeast fairbanks, ak",56.0,154.0,0,Feb-2019
2019-03-01,32,231350.0,4.9,3,"southeast fairbanks, ak",58.0,122.0,0,Mar-2019
2019-04-01,33,238875.0,4.94,4,"southeast fairbanks, ak",61.0,98.0,0,Apr-2019
2019-05-01,34,249750.0,4.75,5,"southeast fairbanks, ak",62.0,101.0,0,May-2019
2019-06-01,35,239500.0,4.51,6,"southeast fairbanks, ak",63.0,96.0,0,Jun-2019
2019-07-01,36,242250.0,4.41,7,"southeast fairbanks, ak",58.0,91.0,0,Jul-2019
2019-08-01,37,228955.0,4.41,8,"southeast fairbanks, ak",56.0,97.0,0,Aug-2019
2019-09-01,38,223636.0,4.2,9,"southeast fairbanks, ak",49.0,112.0,0,Sep-2019
2019-10-01,39,211750.0,4.14,10,"southeast fairbanks, ak",45.0,116.0,0,Oct-2019
2019-11-01,40,193000.0,3.84,11,"southeast fairbanks, ak",50.0,79.0,0,Nov-2019
2019-12-01,41,195000.0,3.81,12,"southeast fairbanks, ak",48.0,92.0,0,Dec-2019
2020-01-01,42,195000.0,3.75,1,"southeast fairbanks, ak",42.0,88.0,0,Jan-2020
2020-02-01,43,219000.0,3.73,2,"southeast fairbanks, ak",37.0,112.0,0,Feb-2020
2020-03-01,44,218000.0,3.78,3,"southeast fairbanks, ak",36.0,118.0,0,Mar-2020
2020-04-01,45,223375.0,3.75,4,"southeast fairbanks, ak",41.0,64.0,0,Apr-2020
2020-05-01,46,224900.0,3.74,5,"southeast fairbanks, ak",40.0,63.0,0,May-2020
2020-06-01,47,254450.0,3.72,6,"southeast fairbanks, ak",38.0,69.0,0,Jun-2020
2020-07-01,48,249500.0,3.49,7,"southeast fairbanks, ak",41.0,64.0,0,Jul-2020
2020-08-01,49,269999.0,3.65,8,"southeast fairbanks, ak",42.0,54.0,0,Aug-2020
2020-09-01,50,286500.0,3.33,9,"southeast fairbanks, ak",38.0,63.0,0,Sep-2020
2020-10-01,51,277000.0,3.28,10,"southeast fairbanks, ak",30.0,71.0,0,Oct-2020
2020-11-01,52,277000.0,3.21,11,"southeast fairbanks, ak",26.0,80.0,0,Nov-2020
2020-12-01,53,229750.0,3.07,12,"southeast fairbanks, ak",21.0,94.0,0,Dec-2020
2021-01-01,54,259000.0,2.99,1,"southeast fairbanks, ak",15.0,102.0,0,Jan-2021
2021-02-01,55,282250.0,2.93,2,"southeast fairbanks, ak",22.0,22.0,0,Feb-2021
2021-03-01,56,286500.0,2.88,3,"southeast fairbanks, ak",29.0,29.0,0,Mar-2021
2021-04-01,57,286625.0,2.84,4,"southeast fairbanks, ak",32.0,51.0,0,Apr-2021
2021-05-01,58,289000.0,2.71,5,"southeast fairbanks, ak",28.0,66.0,0,May-2021
2021-06-01,59,289000.0,2.79,6,"southeast fairbanks, ak",26.0,74.0,0,Jun-2021
2021-07-01,60,330000.0,2.97,7,"southeast fairbanks, ak",25.0,59.0,0,Jul-2021
2021-08-01,61,409500.0,3.17,8,"southeast fairbanks, ak",29.0,39.0,0,Aug-2021
2021-09-01,62,420000.0,3.18,9,"southeast fairbanks, ak",30.0,53.0,0,Sep-2021
2021-10-01,63,420000.0,3.0,10,"southeast fairbanks, ak",32.0,71.0,0,Oct-2021
2021-11-01,64,409950.0,3.02,11,"southeast fairbanks, ak",34.0,92.0,0,Nov-2021
2021-12-01,65,375000.0,2.98,12,"southeast fairbanks, ak",37.0,110.0,0,Dec-2021
2022-01-01,66,370000.0,2.87,1,"southeast fairbanks, ak",33.0,116.0,0,Jan-2022
2022-02-01,67,399000.0,3.01,2,"southeast fairbanks, ak",35.0,100.0,0,Feb-2022
2022-03-01,68,399000.0,3.14,3,"southeast fairbanks, ak",27.0,116.0,0,Mar-2022
2022-04-01,69,375000.0,3.1,4,"southeast fairbanks, ak",32.0,123.0,0,Apr-2022
2022-05-01,70,370000.0,3.12,5,"southeast fairbanks, ak",37.0,98.0,0,May-2022
2022-06-01,71,364750.0,3.56,6,"southeast fairbanks, ak",41.0,71.0,0,Jun-2022
2022-07-01,72,365000.0,3.92,7,"southeast fairbanks, ak",47.0,61.0,0,Jul-2022
2022-08-01,73,360000.0,4.67,8,"southeast fairbanks, ak",48.0,63.0,0,Aug-2022
2022-09-01,74,351750.0,5.11,9,"southeast fairbanks, ak",47.0,74.0,311505,Sep-2022
2022-10-01,75,340450.0,5.3,10,"southeast fairbanks, ak",45.0,93.0,308491,Oct-2022
2022-11-01,76,347250.0,5.81,11,"southeast fairbanks, ak",43.0,105.0,313663,Nov-2022
2022-12-01,77,399000.0,5.54,12,"southeast fairbanks, ak",38.0,121.0,311181,Dec-2022
2023-01-01,78,394250.0,5.55,1,"southeast fairbanks, ak",36.0,138.0,311010,Jan-2023
2023-02-01,79,352125.0,6.7,2,"southeast fairbanks, ak",33.0,146.0,308634,Feb-2023
2023-03-01,80,335950.0,7.08,3,"southeast fairbanks, ak",33.0,127.0,309926,Mar-2023
2023-04-01,81,321950.0,7.08,4,"southeast fairbanks, ak",39.0,121.0,313617,Apr-2023
2023-05-01,82,349000.0,6.49,5,"southeast fairbanks, ak",36.0,72.0,307751,May-2023
2023-06-01,83,335000.0,6.48,6,"southeast fairbanks, ak",37.0,64.0,311736,Jun-2023
2023-07-01,84,314000.0,6.5,7,"southeast fairbanks, ak",41.0,59.0,307822,Jul-2023
