date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,139000.0,3.72,7,"st. landry, la",244.0,85.0,0,Jul-2016
2016-08-01,1,135000.0,3.73,8,"st. landry, la",255.0,71.0,0,Aug-2016
2016-09-01,2,136988.0,3.66,9,"st. landry, la",252.0,75.0,0,Sep-2016
2016-10-01,3,135750.0,3.64,10,"st. landry, la",258.0,89.0,0,Oct-2016
2016-11-01,4,130000.0,3.66,11,"st. landry, la",267.0,88.0,0,Nov-2016
2016-12-01,5,135000.0,3.48,12,"st. landry, la",260.0,100.0,0,Dec-2016
2017-01-01,6,137500.0,3.45,1,"st. landry, la",245.0,110.0,0,Jan-2017
2017-02-01,7,139975.0,3.5,2,"st. landry, la",261.0,108.0,0,Feb-2017
2017-03-01,8,148375.0,3.52,3,"st. landry, la",260.0,113.0,0,Mar-2017
2017-04-01,9,149900.0,4.03,4,"st. landry, la",262.0,85.0,0,Apr-2017
2017-05-01,10,152225.0,4.32,5,"st. landry, la",268.0,95.0,0,May-2017
2017-06-01,11,155000.0,4.2,6,"st. landry, la",262.0,96.0,0,Jun-2017
2017-07-01,12,149900.0,4.19,7,"st. landry, la",257.0,88.0,0,Jul-2017
2017-08-01,13,149225.0,4.3,8,"st. landry, la",267.0,82.0,0,Aug-2017
2017-09-01,14,145000.0,4.1,9,"st. landry, la",274.0,78.0,0,Sep-2017
2017-10-01,15,135000.0,4.05,10,"st. landry, la",273.0,86.0,0,Oct-2017
2017-11-01,16,139850.0,3.94,11,"st. landry, la",281.0,93.0,0,Nov-2017
2017-12-01,17,133750.0,4.03,12,"st. landry, la",283.0,102.0,0,Dec-2017
2018-01-01,18,135000.0,3.93,1,"st. landry, la",274.0,111.0,0,Jan-2018
2018-02-01,19,133750.0,3.83,2,"st. landry, la",280.0,117.0,0,Feb-2018
2018-03-01,20,130000.0,3.94,3,"st. landry, la",293.0,113.0,0,Mar-2018
2018-04-01,21,135000.0,3.95,4,"st. landry, la",286.0,99.0,0,Apr-2018
2018-05-01,22,139375.0,3.99,5,"st. landry, la",280.0,84.0,0,May-2018
2018-06-01,23,140000.0,4.15,6,"st. landry, la",295.0,87.0,0,Jun-2018
2018-07-01,24,139900.0,4.4,7,"st. landry, la",306.0,75.0,0,Jul-2018
2018-08-01,25,140000.0,4.46,8,"st. landry, la",320.0,81.0,0,Aug-2018
2018-09-01,26,141775.0,4.58,9,"st. landry, la",312.0,95.0,0,Sep-2018
2018-10-01,27,141163.0,4.66,10,"st. landry, la",324.0,98.0,0,Oct-2018
2018-11-01,28,143625.0,4.62,11,"st. landry, la",319.0,113.0,0,Nov-2018
2018-12-01,29,147850.0,4.54,12,"st. landry, la",305.0,116.0,0,Dec-2018
2019-01-01,30,147425.0,4.6,1,"st. landry, la",289.0,112.0,0,Jan-2019
2019-02-01,31,148450.0,4.72,2,"st. landry, la",297.0,123.0,0,Feb-2019
2019-03-01,32,147857.0,4.9,3,"st. landry, la",292.0,111.0,0,Mar-2019
2019-04-01,33,145000.0,4.94,4,"st. landry, la",299.0,97.0,0,Apr-2019
2019-05-01,34,145450.0,4.75,5,"st. landry, la",296.0,93.0,0,May-2019
2019-06-01,35,147000.0,4.51,6,"st. landry, la",293.0,93.0,0,Jun-2019
2019-07-01,36,155250.0,4.41,7,"st. landry, la",283.0,90.0,0,Jul-2019
2019-08-01,37,157386.0,4.41,8,"st. landry, la",270.0,95.0,0,Aug-2019
2019-09-01,38,155341.0,4.2,9,"st. landry, la",262.0,99.0,0,Sep-2019
2019-10-01,39,151825.0,4.14,10,"st. landry, la",257.0,102.0,0,Oct-2019
2019-11-01,40,149900.0,3.84,11,"st. landry, la",260.0,103.0,0,Nov-2019
2019-12-01,41,144500.0,3.81,12,"st. landry, la",264.0,100.0,0,Dec-2019
2020-01-01,42,142125.0,3.75,1,"st. landry, la",255.0,105.0,0,Jan-2020
2020-02-01,43,143000.0,3.73,2,"st. landry, la",256.0,104.0,0,Feb-2020
2020-03-01,44,146500.0,3.78,3,"st. landry, la",257.0,100.0,0,Mar-2020
2020-04-01,45,149000.0,3.75,4,"st. landry, la",255.0,98.0,0,Apr-2020
2020-05-01,46,149500.0,3.74,5,"st. landry, la",236.0,107.0,0,May-2020
2020-06-01,47,157000.0,3.72,6,"st. landry, la",224.0,115.0,0,Jun-2020
2020-07-01,48,157250.0,3.49,7,"st. landry, la",203.0,128.0,0,Jul-2020
2020-08-01,49,159000.0,3.65,8,"st. landry, la",186.0,118.0,0,Aug-2020
2020-09-01,50,162200.0,3.33,9,"st. landry, la",178.0,88.0,0,Sep-2020
2020-10-01,51,159900.0,3.28,10,"st. landry, la",163.0,89.0,0,Oct-2020
2020-11-01,52,164750.0,3.21,11,"st. landry, la",158.0,92.0,0,Nov-2020
2020-12-01,53,166000.0,3.07,12,"st. landry, la",140.0,98.0,0,Dec-2020
2021-01-01,54,177000.0,2.99,1,"st. landry, la",135.0,109.0,0,Jan-2021
2021-02-01,55,166725.0,2.93,2,"st. landry, la",120.0,105.0,0,Feb-2021
2021-03-01,56,176725.0,2.88,3,"st. landry, la",102.0,76.0,0,Mar-2021
2021-04-01,57,169200.0,2.84,4,"st. landry, la",98.0,59.0,0,Apr-2021
2021-05-01,58,185000.0,2.71,5,"st. landry, la",92.0,58.0,0,May-2021
2021-06-01,59,177475.0,2.79,6,"st. landry, la",89.0,56.0,0,Jun-2021
2021-07-01,60,169000.0,2.97,7,"st. landry, la",90.0,51.0,0,Jul-2021
2021-08-01,61,177450.0,3.17,8,"st. landry, la",88.0,56.0,0,Aug-2021
2021-09-01,62,179950.0,3.18,9,"st. landry, la",90.0,67.0,0,Sep-2021
2021-10-01,63,179900.0,3.0,10,"st. landry, la",91.0,59.0,0,Oct-2021
2021-11-01,64,187500.0,3.02,11,"st. landry, la",98.0,55.0,0,Nov-2021
2021-12-01,65,183500.0,2.98,12,"st. landry, la",92.0,64.0,0,Dec-2021
2022-01-01,66,185000.0,2.87,1,"st. landry, la",98.0,73.0,0,Jan-2022
2022-02-01,67,183500.0,3.01,2,"st. landry, la",97.0,73.0,0,Feb-2022
2022-03-01,68,187250.0,3.14,3,"st. landry, la",107.0,53.0,0,Mar-2022
2022-04-01,69,190000.0,3.1,4,"st. landry, la",112.0,52.0,0,Apr-2022
2022-05-01,70,182475.0,3.12,5,"st. landry, la",118.0,53.0,0,May-2022
2022-06-01,71,195000.0,3.56,6,"st. landry, la",115.0,64.0,0,Jun-2022
2022-07-01,72,209950.0,3.92,7,"st. landry, la",123.0,67.0,0,Jul-2022
2022-08-01,73,222875.0,4.67,8,"st. landry, la",135.0,60.0,0,Aug-2022
2022-09-01,74,214250.0,5.11,9,"st. landry, la",144.0,66.0,206893,Sep-2022
2022-10-01,75,201750.0,5.3,10,"st. landry, la",160.0,65.0,207333,Oct-2022
2022-11-01,76,215000.0,5.81,11,"st. landry, la",162.0,72.0,206497,Nov-2022
2022-12-01,77,225000.0,5.54,12,"st. landry, la",151.0,90.0,207294,Dec-2022
2023-01-01,78,228500.0,5.55,1,"st. landry, la",152.0,97.0,206234,Jan-2023
2023-02-01,79,224975.0,6.7,2,"st. landry, la",161.0,90.0,211621,Feb-2023
2023-03-01,80,222500.0,7.08,3,"st. landry, la",159.0,67.0,211642,Mar-2023
2023-04-01,81,224250.0,7.08,4,"st. landry, la",146.0,85.0,211814,Apr-2023
2023-05-01,82,199450.0,6.49,5,"st. landry, la",150.0,88.0,211486,May-2023
2023-06-01,83,200500.0,6.48,6,"st. landry, la",158.0,82.0,212059,Jun-2023
2023-07-01,84,214500.0,6.5,7,"st. landry, la",165.0,71.0,211792,Jul-2023
