date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,319900.0,3.72,7,"stanislaus, ca",1008.0,39.0,0,Jul-2016
2016-08-01,1,314900.0,3.73,8,"stanislaus, ca",1109.0,39.0,0,Aug-2016
2016-09-01,2,312250.0,3.66,9,"stanislaus, ca",1128.0,41.0,0,Sep-2016
2016-10-01,3,309825.0,3.64,10,"stanislaus, ca",1131.0,46.0,0,Oct-2016
2016-11-01,4,302500.0,3.66,11,"stanislaus, ca",1117.0,51.0,0,Nov-2016
2016-12-01,5,299999.0,3.48,12,"stanislaus, ca",936.0,62.0,0,Dec-2016
2017-01-01,6,302487.0,3.45,1,"stanislaus, ca",839.0,64.0,0,Jan-2017
2017-02-01,7,309998.0,3.5,2,"stanislaus, ca",794.0,48.0,0,Feb-2017
2017-03-01,8,318750.0,3.52,3,"stanislaus, ca",766.0,39.0,0,Mar-2017
2017-04-01,9,325000.0,4.03,4,"stanislaus, ca",797.0,36.0,0,Apr-2017
2017-05-01,10,329250.0,4.32,5,"stanislaus, ca",839.0,38.0,0,May-2017
2017-06-01,11,334722.0,4.2,6,"stanislaus, ca",833.0,39.0,0,Jun-2017
2017-07-01,12,329900.0,4.19,7,"stanislaus, ca",913.0,38.0,0,Jul-2017
2017-08-01,13,327000.0,4.3,8,"stanislaus, ca",938.0,38.0,0,Aug-2017
2017-09-01,14,329990.0,4.1,9,"stanislaus, ca",908.0,42.0,0,Sep-2017
2017-10-01,15,330000.0,4.05,10,"stanislaus, ca",930.0,43.0,0,Oct-2017
2017-11-01,16,336720.0,3.94,11,"stanislaus, ca",876.0,45.0,0,Nov-2017
2017-12-01,17,340000.0,4.03,12,"stanislaus, ca",746.0,52.0,0,Dec-2017
2018-01-01,18,346500.0,3.93,1,"stanislaus, ca",643.0,57.0,0,Jan-2018
2018-02-01,19,346875.0,3.83,2,"stanislaus, ca",681.0,37.0,0,Feb-2018
2018-03-01,20,353000.0,3.94,3,"stanislaus, ca",722.0,35.0,0,Mar-2018
2018-04-01,21,359500.0,3.95,4,"stanislaus, ca",753.0,35.0,0,Apr-2018
2018-05-01,22,364950.0,3.99,5,"stanislaus, ca",842.0,33.0,0,May-2018
2018-06-01,23,355000.0,4.15,6,"stanislaus, ca",957.0,34.0,0,Jun-2018
2018-07-01,24,354900.0,4.4,7,"stanislaus, ca",1005.0,37.0,0,Jul-2018
2018-08-01,25,350000.0,4.46,8,"stanislaus, ca",1106.0,37.0,0,Aug-2018
2018-09-01,26,349000.0,4.58,9,"stanislaus, ca",1086.0,38.0,0,Sep-2018
2018-10-01,27,339925.0,4.66,10,"stanislaus, ca",1102.0,42.0,0,Oct-2018
2018-11-01,28,339900.0,4.62,11,"stanislaus, ca",1078.0,45.0,0,Nov-2018
2018-12-01,29,340000.0,4.54,12,"stanislaus, ca",1026.0,54.0,0,Dec-2018
2019-01-01,30,339985.0,4.6,1,"stanislaus, ca",925.0,57.0,0,Jan-2019
2019-02-01,31,344611.0,4.72,2,"stanislaus, ca",887.0,47.0,0,Feb-2019
2019-03-01,32,356371.0,4.9,3,"stanislaus, ca",836.0,42.0,0,Mar-2019
2019-04-01,33,365000.0,4.94,4,"stanislaus, ca",806.0,39.0,0,Apr-2019
2019-05-01,34,365000.0,4.75,5,"stanislaus, ca",865.0,39.0,0,May-2019
2019-06-01,35,369950.0,4.51,6,"stanislaus, ca",879.0,39.0,0,Jun-2019
2019-07-01,36,374400.0,4.41,7,"stanislaus, ca",851.0,43.0,0,Jul-2019
2019-08-01,37,375836.0,4.41,8,"stanislaus, ca",870.0,44.0,0,Aug-2019
2019-09-01,38,369741.0,4.2,9,"stanislaus, ca",897.0,43.0,0,Sep-2019
2019-10-01,39,367677.0,4.14,10,"stanislaus, ca",886.0,45.0,0,Oct-2019
2019-11-01,40,369000.0,3.84,11,"stanislaus, ca",794.0,52.0,0,Nov-2019
2019-12-01,41,368950.0,3.81,12,"stanislaus, ca",640.0,65.0,0,Dec-2019
2020-01-01,42,372000.0,3.75,1,"stanislaus, ca",575.0,67.0,0,Jan-2020
2020-02-01,43,375120.0,3.73,2,"stanislaus, ca",538.0,45.0,0,Feb-2020
2020-03-01,44,389225.0,3.78,3,"stanislaus, ca",610.0,35.0,0,Mar-2020
2020-04-01,45,377250.0,3.75,4,"stanislaus, ca",667.0,43.0,0,Apr-2020
2020-05-01,46,377000.0,3.74,5,"stanislaus, ca",661.0,57.0,0,May-2020
2020-06-01,47,392450.0,3.72,6,"stanislaus, ca",486.0,63.0,0,Jun-2020
2020-07-01,48,402225.0,3.49,7,"stanislaus, ca",411.0,53.0,0,Jul-2020
2020-08-01,49,419000.0,3.65,8,"stanislaus, ca",356.0,35.0,0,Aug-2020
2020-09-01,50,417225.0,3.33,9,"stanislaus, ca",374.0,32.0,0,Sep-2020
2020-10-01,51,418888.0,3.28,10,"stanislaus, ca",399.0,32.0,0,Oct-2020
2020-11-01,52,422500.0,3.21,11,"stanislaus, ca",410.0,37.0,0,Nov-2020
2020-12-01,53,431235.0,3.07,12,"stanislaus, ca",354.0,42.0,0,Dec-2020
2021-01-01,54,439000.0,2.99,1,"stanislaus, ca",299.0,46.0,0,Jan-2021
2021-02-01,55,429950.0,2.93,2,"stanislaus, ca",265.0,34.0,0,Feb-2021
2021-03-01,56,443500.0,2.88,3,"stanislaus, ca",267.0,32.0,0,Mar-2021
2021-04-01,57,445600.0,2.84,4,"stanislaus, ca",299.0,30.0,0,Apr-2021
2021-05-01,58,449800.0,2.71,5,"stanislaus, ca",320.0,26.0,0,May-2021
2021-06-01,59,448425.0,2.79,6,"stanislaus, ca",379.0,25.0,0,Jun-2021
2021-07-01,60,449900.0,2.97,7,"stanislaus, ca",451.0,26.0,0,Jul-2021
2021-08-01,61,460000.0,3.17,8,"stanislaus, ca",495.0,26.0,0,Aug-2021
2021-09-01,62,464500.0,3.18,9,"stanislaus, ca",481.0,30.0,0,Sep-2021
2021-10-01,63,472450.0,3.0,10,"stanislaus, ca",526.0,30.0,0,Oct-2021
2021-11-01,64,482450.0,3.02,11,"stanislaus, ca",467.0,37.0,0,Nov-2021
2021-12-01,65,481315.0,2.98,12,"stanislaus, ca",352.0,42.0,0,Dec-2021
2022-01-01,66,479925.0,2.87,1,"stanislaus, ca",290.0,40.0,0,Jan-2022
2022-02-01,67,489500.0,3.01,2,"stanislaus, ca",279.0,29.0,0,Feb-2022
2022-03-01,68,494225.0,3.14,3,"stanislaus, ca",291.0,26.0,0,Mar-2022
2022-04-01,69,499000.0,3.1,4,"stanislaus, ca",337.0,25.0,0,Apr-2022
2022-05-01,70,499950.0,3.12,5,"stanislaus, ca",475.0,23.0,0,May-2022
2022-06-01,71,494475.0,3.56,6,"stanislaus, ca",607.0,25.0,0,Jun-2022
2022-07-01,72,480000.0,3.92,7,"stanislaus, ca",762.0,30.0,0,Jul-2022
2022-08-01,73,475000.0,4.67,8,"stanislaus, ca",824.0,37.0,0,Aug-2022
2022-09-01,74,472500.0,5.11,9,"stanislaus, ca",789.0,44.0,524991,Sep-2022
2022-10-01,75,470000.0,5.3,10,"stanislaus, ca",743.0,46.0,526521,Oct-2022
2022-11-01,76,472500.0,5.81,11,"stanislaus, ca",653.0,54.0,528530,Nov-2022
2022-12-01,77,480000.0,5.54,12,"stanislaus, ca",542.0,64.0,522603,Dec-2022
2023-01-01,78,488871.0,5.55,1,"stanislaus, ca",456.0,60.0,523943,Jan-2023
2023-02-01,79,489499.0,6.7,2,"stanislaus, ca",417.0,51.0,530138,Feb-2023
2023-03-01,80,499993.0,7.08,3,"stanislaus, ca",363.0,40.0,533237,Mar-2023
2023-04-01,81,520000.0,7.08,4,"stanislaus, ca",319.0,36.0,534019,Apr-2023
2023-05-01,82,530000.0,6.49,5,"stanislaus, ca",322.0,35.0,531934,May-2023
2023-06-01,83,532438.0,6.48,6,"stanislaus, ca",359.0,32.0,533038,Jun-2023
2023-07-01,84,522450.0,6.5,7,"stanislaus, ca",414.0,33.0,532585,Jul-2023
