date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,132500.0,3.72,7,"steele, nd",6.0,110.0,0,Jul-2016
2016-08-01,1,111250.0,3.73,8,"steele, nd",4.0,117.0,0,Aug-2016
2016-09-01,2,90000.0,3.66,9,"steele, nd",5.0,82.0,0,Sep-2016
2016-10-01,3,84500.0,3.64,10,"steele, nd",4.0,80.0,0,Oct-2016
2016-11-01,4,67000.0,3.66,11,"steele, nd",6.0,57.0,0,Nov-2016
2016-12-01,5,89950.0,3.48,12,"steele, nd",4.0,86.0,0,Dec-2016
2017-01-01,6,55000.0,3.45,1,"steele, nd",3.0,86.0,0,Jan-2017
2017-02-01,7,87000.0,3.5,2,"steele, nd",4.0,105.0,0,Feb-2017
2017-03-01,8,119000.0,3.52,3,"steele, nd",5.0,116.0,0,Mar-2017
2017-04-01,9,169450.0,4.03,4,"steele, nd",10.0,48.0,0,Apr-2017
2017-05-01,10,71250.0,4.32,5,"steele, nd",9.0,54.0,0,May-2017
2017-06-01,11,67500.0,4.2,6,"steele, nd",10.0,62.0,0,Jun-2017
2017-07-01,12,82500.0,4.19,7,"steele, nd",11.0,86.0,0,Jul-2017
2017-08-01,13,99900.0,4.3,8,"steele, nd",9.0,109.0,0,Aug-2017
2017-09-01,14,71000.0,4.1,9,"steele, nd",10.0,94.0,0,Sep-2017
2017-10-01,15,71000.0,4.05,10,"steele, nd",10.0,120.0,0,Oct-2017
2017-11-01,16,71000.0,3.94,11,"steele, nd",10.0,148.0,0,Nov-2017
2017-12-01,17,82500.0,4.03,12,"steele, nd",9.0,172.0,0,Dec-2017
2018-01-01,18,96575.0,3.93,1,"steele, nd",8.0,165.0,0,Jan-2018
2018-02-01,19,103700.0,3.83,2,"steele, nd",8.0,209.0,0,Feb-2018
2018-03-01,20,86500.0,3.94,3,"steele, nd",9.0,214.0,0,Mar-2018
2018-04-01,21,86500.0,3.95,4,"steele, nd",8.0,234.0,0,Apr-2018
2018-05-01,22,100700.0,3.99,5,"steele, nd",10.0,171.0,0,May-2018
2018-06-01,23,100700.0,4.15,6,"steele, nd",10.0,89.0,0,Jun-2018
2018-07-01,24,100700.0,4.4,7,"steele, nd",10.0,85.0,0,Jul-2018
2018-08-01,25,116150.0,4.46,8,"steele, nd",11.0,95.0,0,Aug-2018
2018-09-01,26,114900.0,4.58,9,"steele, nd",9.0,57.0,0,Sep-2018
2018-10-01,27,148425.0,4.66,10,"steele, nd",6.0,89.0,0,Oct-2018
2018-11-01,28,148425.0,4.62,11,"steele, nd",5.0,110.0,0,Nov-2018
2018-12-01,29,212450.0,4.54,12,"steele, nd",4.0,141.0,0,Dec-2018
2019-01-01,30,211175.0,4.6,1,"steele, nd",5.0,173.0,0,Jan-2019
2019-02-01,31,159900.0,4.72,2,"steele, nd",4.0,135.0,0,Feb-2019
2019-03-01,32,177043.0,4.9,3,"steele, nd",4.0,194.0,0,Mar-2019
2019-04-01,33,197043.0,4.94,4,"steele, nd",3.0,222.0,0,Apr-2019
2019-05-01,34,199900.0,4.75,5,"steele, nd",5.0,91.0,0,May-2019
2019-06-01,35,148500.0,4.51,6,"steele, nd",7.0,35.0,0,Jun-2019
2019-07-01,36,159900.0,4.41,7,"steele, nd",6.0,46.0,0,Jul-2019
2019-08-01,37,163082.0,4.41,8,"steele, nd",6.0,62.0,0,Aug-2019
2019-09-01,38,152855.0,4.2,9,"steele, nd",5.0,72.0,0,Sep-2019
2019-10-01,39,95700.0,4.14,10,"steele, nd",6.0,76.0,0,Oct-2019
2019-11-01,40,46500.0,3.84,11,"steele, nd",5.0,97.0,0,Nov-2019
2019-12-01,41,71225.0,3.81,12,"steele, nd",4.0,133.0,0,Dec-2019
2020-01-01,42,92450.0,3.75,1,"steele, nd",4.0,146.0,0,Jan-2020
2020-02-01,43,134900.0,3.73,2,"steele, nd",3.0,150.0,0,Feb-2020
2020-03-01,44,147400.0,3.78,3,"steele, nd",4.0,168.0,0,Mar-2020
2020-04-01,45,151175.0,3.75,4,"steele, nd",4.0,182.0,0,Apr-2020
2020-05-01,46,234700.0,3.74,5,"steele, nd",4.0,32.0,0,May-2020
2020-06-01,47,183675.0,3.72,6,"steele, nd",2.0,163.0,0,Jun-2020
2020-07-01,48,189900.0,3.49,7,"steele, nd",2.0,59.0,0,Jul-2020
