date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,79900.0,3.72,7,"sullivan, mo",20.0,74.0,0,Jul-2016
2016-08-01,1,81150.0,3.73,8,"sullivan, mo",23.0,76.0,0,Aug-2016
2016-09-01,2,74700.0,3.66,9,"sullivan, mo",25.0,91.0,0,Sep-2016
2016-10-01,3,74700.0,3.64,10,"sullivan, mo",25.0,115.0,0,Oct-2016
2016-11-01,4,81175.0,3.66,11,"sullivan, mo",22.0,139.0,0,Nov-2016
2016-12-01,5,74700.0,3.48,12,"sullivan, mo",18.0,137.0,0,Dec-2016
2017-01-01,6,69900.0,3.45,1,"sullivan, mo",18.0,161.0,0,Jan-2017
2017-02-01,7,83725.0,3.5,2,"sullivan, mo",15.0,178.0,0,Feb-2017
2017-03-01,8,83725.0,3.52,3,"sullivan, mo",15.0,207.0,0,Mar-2017
2017-04-01,9,67400.0,4.03,4,"sullivan, mo",15.0,220.0,0,Apr-2017
2017-05-01,10,86225.0,4.32,5,"sullivan, mo",22.0,97.0,0,May-2017
2017-06-01,11,85000.0,4.2,6,"sullivan, mo",25.0,124.0,0,Jun-2017
2017-07-01,12,85000.0,4.19,7,"sullivan, mo",26.0,107.0,0,Jul-2017
2017-08-01,13,73700.0,4.3,8,"sullivan, mo",29.0,69.0,0,Aug-2017
2017-09-01,14,59900.0,4.1,9,"sullivan, mo",35.0,71.0,0,Sep-2017
2017-10-01,15,66250.0,4.05,10,"sullivan, mo",34.0,75.0,0,Oct-2017
2017-11-01,16,71750.0,3.94,11,"sullivan, mo",31.0,99.0,0,Nov-2017
2017-12-01,17,79900.0,4.03,12,"sullivan, mo",27.0,128.0,0,Dec-2017
2018-01-01,18,89725.0,3.93,1,"sullivan, mo",23.0,155.0,0,Jan-2018
2018-02-01,19,87175.0,3.83,2,"sullivan, mo",25.0,166.0,0,Feb-2018
2018-03-01,20,72450.0,3.94,3,"sullivan, mo",22.0,193.0,0,Mar-2018
2018-04-01,21,72450.0,3.95,4,"sullivan, mo",22.0,157.0,0,Apr-2018
2018-05-01,22,81675.0,3.99,5,"sullivan, mo",20.0,95.0,0,May-2018
2018-06-01,23,83450.0,4.15,6,"sullivan, mo",22.0,92.0,0,Jun-2018
2018-07-01,24,85225.0,4.4,7,"sullivan, mo",20.0,84.0,0,Jul-2018
2018-08-01,25,80750.0,4.46,8,"sullivan, mo",20.0,81.0,0,Aug-2018
2018-09-01,26,96750.0,4.58,9,"sullivan, mo",21.0,90.0,0,Sep-2018
2018-10-01,27,97300.0,4.66,10,"sullivan, mo",18.0,106.0,0,Oct-2018
2018-11-01,28,96175.0,4.62,11,"sullivan, mo",18.0,103.0,0,Nov-2018
2018-12-01,29,97350.0,4.54,12,"sullivan, mo",16.0,116.0,0,Dec-2018
2019-01-01,30,96175.0,4.6,1,"sullivan, mo",17.0,145.0,0,Jan-2019
2019-02-01,31,95000.0,4.72,2,"sullivan, mo",17.0,118.0,0,Feb-2019
2019-03-01,32,96221.0,4.9,3,"sullivan, mo",18.0,105.0,0,Mar-2019
2019-04-01,33,96221.0,4.94,4,"sullivan, mo",20.0,95.0,0,Apr-2019
2019-05-01,34,91925.0,4.75,5,"sullivan, mo",20.0,86.0,0,May-2019
2019-06-01,35,91350.0,4.51,6,"sullivan, mo",17.0,112.0,0,Jun-2019
2019-07-01,36,116450.0,4.41,7,"sullivan, mo",18.0,135.0,0,Jul-2019
2019-08-01,37,128745.0,4.41,8,"sullivan, mo",20.0,115.0,0,Aug-2019
2019-09-01,38,112014.0,4.2,9,"sullivan, mo",22.0,85.0,0,Sep-2019
2019-10-01,39,98750.0,4.14,10,"sullivan, mo",25.0,55.0,0,Oct-2019
2019-11-01,40,99000.0,3.84,11,"sullivan, mo",24.0,59.0,0,Nov-2019
2019-12-01,41,129500.0,3.81,12,"sullivan, mo",22.0,78.0,0,Dec-2019
2020-01-01,42,115825.0,3.75,1,"sullivan, mo",22.0,96.0,0,Jan-2020
2020-02-01,43,85000.0,3.73,2,"sullivan, mo",21.0,115.0,0,Feb-2020
2020-03-01,44,78300.0,3.78,3,"sullivan, mo",19.0,138.0,0,Mar-2020
2020-04-01,45,80700.0,3.75,4,"sullivan, mo",20.0,147.0,0,Apr-2020
2020-05-01,46,80700.0,3.74,5,"sullivan, mo",15.0,162.0,0,May-2020
2020-06-01,47,95249.0,3.72,6,"sullivan, mo",13.0,128.0,0,Jun-2020
2020-07-01,48,82998.0,3.49,7,"sullivan, mo",14.0,122.0,0,Jul-2020
2020-08-01,49,92000.0,3.65,8,"sullivan, mo",11.0,156.0,0,Aug-2020
2020-09-01,50,132400.0,3.33,9,"sullivan, mo",12.0,188.0,0,Sep-2020
2020-10-01,51,99000.0,3.28,10,"sullivan, mo",14.0,142.0,0,Oct-2020
2020-11-01,52,99200.0,3.21,11,"sullivan, mo",15.0,87.0,0,Nov-2020
2020-12-01,53,99000.0,3.07,12,"sullivan, mo",15.0,105.0,0,Dec-2020
2021-01-01,54,91500.0,2.99,1,"sullivan, mo",12.0,107.0,0,Jan-2021
2021-02-01,55,88700.0,2.93,2,"sullivan, mo",9.0,128.0,0,Feb-2021
2021-03-01,56,111325.0,2.88,3,"sullivan, mo",9.0,136.0,0,Mar-2021
2021-04-01,57,79025.0,2.84,4,"sullivan, mo",10.0,89.0,0,Apr-2021
2021-05-01,58,79650.0,2.71,5,"sullivan, mo",8.0,62.0,0,May-2021
2021-06-01,59,80425.0,2.79,6,"sullivan, mo",8.0,86.0,0,Jun-2021
2021-07-01,60,78900.0,2.97,7,"sullivan, mo",8.0,81.0,0,Jul-2021
2021-08-01,61,121000.0,3.17,8,"sullivan, mo",8.0,31.0,0,Aug-2021
2021-09-01,62,120750.0,3.18,9,"sullivan, mo",9.0,37.0,0,Sep-2021
2021-10-01,63,101450.0,3.0,10,"sullivan, mo",8.0,72.0,0,Oct-2021
2021-11-01,64,74900.0,3.02,11,"sullivan, mo",7.0,65.0,0,Nov-2021
