date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,138500.0,3.72,7,"tazewell, va",304.0,95.0,0,Jul-2016
2016-08-01,1,139000.0,3.73,8,"tazewell, va",323.0,100.0,0,Aug-2016
2016-09-01,2,137250.0,3.66,9,"tazewell, va",313.0,108.0,0,Sep-2016
2016-10-01,3,137500.0,3.64,10,"tazewell, va",287.0,111.0,0,Oct-2016
2016-11-01,4,135000.0,3.66,11,"tazewell, va",272.0,128.0,0,Nov-2016
2016-12-01,5,133900.0,3.48,12,"tazewell, va",267.0,158.0,0,Dec-2016
2017-01-01,6,134900.0,3.45,1,"tazewell, va",253.0,158.0,0,Jan-2017
2017-02-01,7,135950.0,3.5,2,"tazewell, va",244.0,162.0,0,Feb-2017
2017-03-01,8,136500.0,3.52,3,"tazewell, va",246.0,151.0,0,Mar-2017
2017-04-01,9,135750.0,4.03,4,"tazewell, va",233.0,114.0,0,Apr-2017
2017-05-01,10,131250.0,4.32,5,"tazewell, va",248.0,104.0,0,May-2017
2017-06-01,11,131875.0,4.2,6,"tazewell, va",250.0,87.0,0,Jun-2017
2017-07-01,12,129975.0,4.19,7,"tazewell, va",242.0,82.0,0,Jul-2017
2017-08-01,13,129900.0,4.3,8,"tazewell, va",253.0,88.0,0,Aug-2017
2017-09-01,14,129000.0,4.1,9,"tazewell, va",243.0,95.0,0,Sep-2017
2017-10-01,15,129000.0,4.05,10,"tazewell, va",234.0,101.0,0,Oct-2017
2017-11-01,16,126475.0,3.94,11,"tazewell, va",239.0,116.0,0,Nov-2017
2017-12-01,17,128000.0,4.03,12,"tazewell, va",233.0,130.0,0,Dec-2017
2018-01-01,18,126500.0,3.93,1,"tazewell, va",221.0,126.0,0,Jan-2018
2018-02-01,19,126000.0,3.83,2,"tazewell, va",217.0,131.0,0,Feb-2018
2018-03-01,20,119900.0,3.94,3,"tazewell, va",219.0,117.0,0,Mar-2018
2018-04-01,21,120175.0,3.95,4,"tazewell, va",211.0,102.0,0,Apr-2018
2018-05-01,22,125000.0,3.99,5,"tazewell, va",223.0,82.0,0,May-2018
2018-06-01,23,123950.0,4.15,6,"tazewell, va",237.0,85.0,0,Jun-2018
2018-07-01,24,120975.0,4.4,7,"tazewell, va",240.0,87.0,0,Jul-2018
2018-08-01,25,129300.0,4.46,8,"tazewell, va",243.0,97.0,0,Aug-2018
2018-09-01,26,132900.0,4.58,9,"tazewell, va",239.0,117.0,0,Sep-2018
2018-10-01,27,126750.0,4.66,10,"tazewell, va",245.0,120.0,0,Oct-2018
2018-11-01,28,126238.0,4.62,11,"tazewell, va",231.0,121.0,0,Nov-2018
2018-12-01,29,125000.0,4.54,12,"tazewell, va",228.0,135.0,0,Dec-2018
2019-01-01,30,123500.0,4.6,1,"tazewell, va",207.0,144.0,0,Jan-2019
2019-02-01,31,119500.0,4.72,2,"tazewell, va",206.0,151.0,0,Feb-2019
2019-03-01,32,123686.0,4.9,3,"tazewell, va",209.0,139.0,0,Mar-2019
2019-04-01,33,126711.0,4.94,4,"tazewell, va",214.0,111.0,0,Apr-2019
2019-05-01,34,125000.0,4.75,5,"tazewell, va",227.0,79.0,0,May-2019
2019-06-01,35,124950.0,4.51,6,"tazewell, va",239.0,78.0,0,Jun-2019
2019-07-01,36,125000.0,4.41,7,"tazewell, va",265.0,85.0,0,Jul-2019
2019-08-01,37,130427.0,4.41,8,"tazewell, va",257.0,96.0,0,Aug-2019
2019-09-01,38,138568.0,4.2,9,"tazewell, va",239.0,107.0,0,Sep-2019
2019-10-01,39,144175.0,4.14,10,"tazewell, va",226.0,119.0,0,Oct-2019
2019-11-01,40,149500.0,3.84,11,"tazewell, va",214.0,129.0,0,Nov-2019
2019-12-01,41,144750.0,3.81,12,"tazewell, va",192.0,150.0,0,Dec-2019
2020-01-01,42,138250.0,3.75,1,"tazewell, va",189.0,156.0,0,Jan-2020
2020-02-01,43,135900.0,3.73,2,"tazewell, va",188.0,145.0,0,Feb-2020
2020-03-01,44,132700.0,3.78,3,"tazewell, va",185.0,139.0,0,Mar-2020
2020-04-01,45,139350.0,3.75,4,"tazewell, va",178.0,121.0,0,Apr-2020
2020-05-01,46,145750.0,3.74,5,"tazewell, va",167.0,105.0,0,May-2020
