date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,249000.0,3.72,7,"tehama, ca",283.0,73.0,0,Jul-2016
2016-08-01,1,252000.0,3.73,8,"tehama, ca",281.0,73.0,0,Aug-2016
2016-09-01,2,246700.0,3.66,9,"tehama, ca",307.0,66.0,0,Sep-2016
2016-10-01,3,247200.0,3.64,10,"tehama, ca",287.0,80.0,0,Oct-2016
2016-11-01,4,249675.0,3.66,11,"tehama, ca",288.0,81.0,0,Nov-2016
2016-12-01,5,249000.0,3.48,12,"tehama, ca",249.0,96.0,0,Dec-2016
2017-01-01,6,253500.0,3.45,1,"tehama, ca",228.0,97.0,0,Jan-2017
2017-02-01,7,261700.0,3.5,2,"tehama, ca",221.0,93.0,0,Feb-2017
2017-03-01,8,269975.0,3.52,3,"tehama, ca",218.0,76.0,0,Mar-2017
2017-04-01,9,266000.0,4.03,4,"tehama, ca",222.0,60.0,0,Apr-2017
2017-05-01,10,269000.0,4.32,5,"tehama, ca",261.0,45.0,0,May-2017
2017-06-01,11,264500.0,4.2,6,"tehama, ca",282.0,49.0,0,Jun-2017
2017-07-01,12,259900.0,4.19,7,"tehama, ca",283.0,58.0,0,Jul-2017
2017-08-01,13,257450.0,4.3,8,"tehama, ca",294.0,64.0,0,Aug-2017
2017-09-01,14,254900.0,4.1,9,"tehama, ca",304.0,62.0,0,Sep-2017
2017-10-01,15,275000.0,4.05,10,"tehama, ca",291.0,64.0,0,Oct-2017
2017-11-01,16,280000.0,3.94,11,"tehama, ca",272.0,75.0,0,Nov-2017
2017-12-01,17,279900.0,4.03,12,"tehama, ca",237.0,87.0,0,Dec-2017
2018-01-01,18,267500.0,3.93,1,"tehama, ca",217.0,91.0,0,Jan-2018
2018-02-01,19,281200.0,3.83,2,"tehama, ca",218.0,93.0,0,Feb-2018
2018-03-01,20,292000.0,3.94,3,"tehama, ca",235.0,66.0,0,Mar-2018
2018-04-01,21,289000.0,3.95,4,"tehama, ca",274.0,52.0,0,Apr-2018
2018-05-01,22,290000.0,3.99,5,"tehama, ca",270.0,59.0,0,May-2018
2018-06-01,23,299000.0,4.15,6,"tehama, ca",270.0,65.0,0,Jun-2018
2018-07-01,24,294250.0,4.4,7,"tehama, ca",304.0,59.0,0,Jul-2018
2018-08-01,25,289375.0,4.46,8,"tehama, ca",330.0,62.0,0,Aug-2018
2018-09-01,26,289500.0,4.58,9,"tehama, ca",324.0,67.0,0,Sep-2018
2018-10-01,27,289125.0,4.66,10,"tehama, ca",329.0,75.0,0,Oct-2018
2018-11-01,28,289000.0,4.62,11,"tehama, ca",307.0,77.0,0,Nov-2018
2018-12-01,29,299000.0,4.54,12,"tehama, ca",252.0,72.0,0,Dec-2018
2019-01-01,30,319375.0,4.6,1,"tehama, ca",226.0,66.0,0,Jan-2019
2019-02-01,31,318000.0,4.72,2,"tehama, ca",223.0,68.0,0,Feb-2019
2019-03-01,32,318143.0,4.9,3,"tehama, ca",213.0,64.0,0,Mar-2019
