date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,198750.0,3.72,7,"teton, mt",50.0,92.0,0,Jul-2016
2016-08-01,1,198500.0,3.73,8,"teton, mt",51.0,119.0,0,Aug-2016
2016-09-01,2,197375.0,3.66,9,"teton, mt",48.0,137.0,0,Sep-2016
2016-10-01,3,189900.0,3.64,10,"teton, mt",46.0,152.0,0,Oct-2016
2016-11-01,4,189900.0,3.66,11,"teton, mt",40.0,149.0,0,Nov-2016
2016-12-01,5,189900.0,3.48,12,"teton, mt",40.0,156.0,0,Dec-2016
2017-01-01,6,187450.0,3.45,1,"teton, mt",36.0,146.0,0,Jan-2017
2017-02-01,7,186225.0,3.5,2,"teton, mt",37.0,146.0,0,Feb-2017
2017-03-01,8,189900.0,3.52,3,"teton, mt",37.0,155.0,0,Mar-2017
2017-04-01,9,190000.0,4.03,4,"teton, mt",37.0,142.0,0,Apr-2017
2017-05-01,10,176975.0,4.32,5,"teton, mt",39.0,77.0,0,May-2017
2017-06-01,11,168450.0,4.2,6,"teton, mt",38.0,84.0,0,Jun-2017
2017-07-01,12,176950.0,4.19,7,"teton, mt",39.0,89.0,0,Jul-2017
2017-08-01,13,180500.0,4.3,8,"teton, mt",39.0,101.0,0,Aug-2017
2017-09-01,14,189000.0,4.1,9,"teton, mt",40.0,88.0,0,Sep-2017
2017-10-01,15,171950.0,4.05,10,"teton, mt",36.0,94.0,0,Oct-2017
2017-11-01,16,182975.0,3.94,11,"teton, mt",34.0,114.0,0,Nov-2017
2017-12-01,17,176950.0,4.03,12,"teton, mt",32.0,126.0,0,Dec-2017
2018-01-01,18,164975.0,3.93,1,"teton, mt",28.0,132.0,0,Jan-2018
2018-02-01,19,164950.0,3.83,2,"teton, mt",28.0,143.0,0,Feb-2018
2018-03-01,20,177000.0,3.94,3,"teton, mt",31.0,149.0,0,Mar-2018
2018-04-01,21,183000.0,3.95,4,"teton, mt",36.0,134.0,0,Apr-2018
2018-05-01,22,189000.0,3.99,5,"teton, mt",38.0,82.0,0,May-2018
2018-06-01,23,189900.0,4.15,6,"teton, mt",42.0,95.0,0,Jun-2018
2018-07-01,24,188850.0,4.4,7,"teton, mt",45.0,88.0,0,Jul-2018
2018-08-01,25,185975.0,4.46,8,"teton, mt",43.0,93.0,0,Aug-2018
2018-09-01,26,188400.0,4.58,9,"teton, mt",39.0,95.0,0,Sep-2018
2018-10-01,27,190500.0,4.66,10,"teton, mt",39.0,107.0,0,Oct-2018
2018-11-01,28,184150.0,4.62,11,"teton, mt",38.0,116.0,0,Nov-2018
2018-12-01,29,181450.0,4.54,12,"teton, mt",32.0,141.0,0,Dec-2018
2019-01-01,30,182725.0,4.6,1,"teton, mt",31.0,153.0,0,Jan-2019
2019-02-01,31,181450.0,4.72,2,"teton, mt",29.0,145.0,0,Feb-2019
2019-03-01,32,182114.0,4.9,3,"teton, mt",26.0,141.0,0,Mar-2019
2019-04-01,33,182889.0,4.94,4,"teton, mt",25.0,132.0,0,Apr-2019
2019-05-01,34,185250.0,4.75,5,"teton, mt",34.0,48.0,0,May-2019
2019-06-01,35,189000.0,4.51,6,"teton, mt",35.0,57.0,0,Jun-2019
2019-07-01,36,212750.0,4.41,7,"teton, mt",31.0,79.0,0,Jul-2019
2019-08-01,37,223577.0,4.41,8,"teton, mt",29.0,93.0,0,Aug-2019
2019-09-01,38,234193.0,4.2,9,"teton, mt",26.0,113.0,0,Sep-2019
2019-10-01,39,248725.0,4.14,10,"teton, mt",22.0,126.0,0,Oct-2019
2019-11-01,40,224900.0,3.84,11,"teton, mt",19.0,118.0,0,Nov-2019
2019-12-01,41,232425.0,3.81,12,"teton, mt",18.0,142.0,0,Dec-2019
2020-01-01,42,237425.0,3.75,1,"teton, mt",18.0,164.0,0,Jan-2020
2020-02-01,43,285000.0,3.73,2,"teton, mt",23.0,128.0,0,Feb-2020
2020-03-01,44,248725.0,3.78,3,"teton, mt",27.0,84.0,0,Mar-2020
2020-04-01,45,231248.0,3.75,4,"teton, mt",28.0,66.0,0,Apr-2020
2020-05-01,46,227450.0,3.74,5,"teton, mt",28.0,65.0,0,May-2020
2020-06-01,47,182700.0,3.72,6,"teton, mt",29.0,67.0,0,Jun-2020
2020-07-01,48,207475.0,3.49,7,"teton, mt",31.0,85.0,0,Jul-2020
2020-08-01,49,263000.0,3.65,8,"teton, mt",29.0,79.0,0,Aug-2020
2020-09-01,50,308675.0,3.33,9,"teton, mt",27.0,59.0,0,Sep-2020
2020-10-01,51,254500.0,3.28,10,"teton, mt",30.0,86.0,0,Oct-2020
2020-11-01,52,234000.0,3.21,11,"teton, mt",31.0,110.0,0,Nov-2020
2020-12-01,53,232000.0,3.07,12,"teton, mt",24.0,138.0,0,Dec-2020
2021-01-01,54,229450.0,2.99,1,"teton, mt",19.0,158.0,0,Jan-2021
2021-02-01,55,287175.0,2.93,2,"teton, mt",13.0,159.0,0,Feb-2021
2021-03-01,56,306175.0,2.88,3,"teton, mt",10.0,169.0,0,Mar-2021
2021-04-01,57,359975.0,2.84,4,"teton, mt",10.0,175.0,0,Apr-2021
2021-05-01,58,249000.0,2.71,5,"teton, mt",10.0,56.0,0,May-2021
2021-06-01,59,327475.0,2.79,6,"teton, mt",11.0,54.0,0,Jun-2021
2021-07-01,60,264000.0,2.97,7,"teton, mt",15.0,52.0,0,Jul-2021
2021-08-01,61,467500.0,3.17,8,"teton, mt",15.0,58.0,0,Aug-2021
2021-09-01,62,575000.0,3.18,9,"teton, mt",16.0,122.0,0,Sep-2021
2021-10-01,63,506500.0,3.0,10,"teton, mt",16.0,106.0,0,Oct-2021
2021-11-01,64,471200.0,3.02,11,"teton, mt",19.0,115.0,0,Nov-2021
2021-12-01,65,448750.0,2.98,12,"teton, mt",15.0,112.0,0,Dec-2021
2022-01-01,66,420000.0,2.87,1,"teton, mt",11.0,83.0,0,Jan-2022
2022-02-01,67,545725.0,3.01,2,"teton, mt",8.0,129.0,0,Feb-2022
2022-03-01,68,743225.0,3.14,3,"teton, mt",8.0,34.0,0,Mar-2022
2022-04-01,69,382500.0,3.1,4,"teton, mt",10.0,29.0,0,Apr-2022
2022-05-01,70,325500.0,3.12,5,"teton, mt",14.0,42.0,0,May-2022
2022-06-01,71,309725.0,3.56,6,"teton, mt",15.0,50.0,0,Jun-2022
2022-07-01,72,297250.0,3.92,7,"teton, mt",17.0,68.0,0,Jul-2022
2022-08-01,73,576000.0,4.67,8,"teton, mt",21.0,65.0,0,Aug-2022
2022-09-01,74,559500.0,5.11,9,"teton, mt",18.0,87.0,308782,Sep-2022
2022-10-01,75,510000.0,5.3,10,"teton, mt",17.0,83.0,430161,Oct-2022
2022-11-01,76,447500.0,5.81,11,"teton, mt",16.0,93.0,403432,Nov-2022
2022-12-01,77,510000.0,5.54,12,"teton, mt",15.0,101.0,468399,Dec-2022
2023-01-01,78,617500.0,5.55,1,"teton, mt",17.0,120.0,370584,Jan-2023
2023-02-01,79,571225.0,6.7,2,"teton, mt",13.0,101.0,456499,Feb-2023
2023-03-01,80,526250.0,7.08,3,"teton, mt",12.0,80.0,440644,Mar-2023
2023-04-01,81,525000.0,7.08,4,"teton, mt",11.0,78.0,379148,Apr-2023
2023-05-01,82,419450.0,6.49,5,"teton, mt",16.0,62.0,523812,May-2023
2023-06-01,83,394950.0,6.48,6,"teton, mt",17.0,65.0,435599,Jun-2023
2023-07-01,84,449000.0,6.5,7,"teton, mt",11.0,86.0,334117,Jul-2023
