date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2017-05-01,0,54900.0,4.32,5,"thomas, ne",1.0,13.0,0,May-2017
2017-06-01,1,54900.0,4.2,6,"thomas, ne",1.0,30.0,0,Jun-2017
2017-08-01,3,60000.0,4.3,8,"thomas, ne",1.0,2.0,0,Aug-2017
2017-09-01,4,60000.0,4.1,9,"thomas, ne",1.0,23.0,0,Sep-2017
2017-10-01,5,54375.0,4.05,10,"thomas, ne",2.0,41.0,0,Oct-2017
2017-11-01,6,37500.0,3.94,11,"thomas, ne",1.0,23.0,0,Nov-2017
2018-03-01,10,95000.0,3.94,3,"thomas, ne",1.0,63.0,0,Mar-2018
2018-04-01,11,122500.0,3.95,4,"thomas, ne",2.0,63.0,0,Apr-2018
2018-05-01,12,110000.0,3.99,5,"thomas, ne",2.0,91.0,0,May-2018
2018-06-01,13,110000.0,4.15,6,"thomas, ne",2.0,123.0,0,Jun-2018
2018-07-01,14,110000.0,4.4,7,"thomas, ne",2.0,154.0,0,Jul-2018
2018-08-01,15,110000.0,4.46,8,"thomas, ne",2.0,182.0,0,Aug-2018
2018-09-01,16,110000.0,4.58,9,"thomas, ne",2.0,214.0,0,Sep-2018
2018-10-01,17,110000.0,4.66,10,"thomas, ne",2.0,238.0,0,Oct-2018
2018-11-01,18,95000.0,4.62,11,"thomas, ne",1.0,308.0,0,Nov-2018
2018-12-01,19,95000.0,4.54,12,"thomas, ne",1.0,339.0,0,Dec-2018
2019-01-01,20,95000.0,4.6,1,"thomas, ne",1.0,357.0,0,Jan-2019
2019-04-01,23,12900.0,4.94,4,"thomas, ne",1.0,18.0,0,Apr-2019
2019-05-01,24,12900.0,4.75,5,"thomas, ne",1.0,43.0,0,May-2019
2019-06-01,25,11900.0,4.51,6,"thomas, ne",1.0,74.0,0,Jun-2019
2019-07-01,26,20175.0,4.41,7,"thomas, ne",2.0,80.0,0,Jul-2019
2019-08-01,27,32964.0,4.41,8,"thomas, ne",2.0,73.0,0,Aug-2019
2019-09-01,28,39734.0,4.2,9,"thomas, ne",1.0,84.0,0,Sep-2019
2019-10-01,29,45000.0,4.14,10,"thomas, ne",1.0,96.0,0,Oct-2019
2019-11-01,30,9900.0,3.84,11,"thomas, ne",1.0,17.0,0,Nov-2019
2019-12-01,31,9900.0,3.81,12,"thomas, ne",1.0,26.0,0,Dec-2019
2021-09-01,52,187500.0,3.18,9,"thomas, ne",1.0,3.0,0,Sep-2021
2021-10-01,53,187500.0,3.0,10,"thomas, ne",1.0,24.0,0,Oct-2021
2021-11-01,54,187500.0,3.02,11,"thomas, ne",1.0,56.0,0,Nov-2021
2021-12-01,55,187500.0,2.98,12,"thomas, ne",1.0,84.0,0,Dec-2021
2022-01-01,56,187500.0,2.87,1,"thomas, ne",1.0,115.0,0,Jan-2022
2022-02-01,57,187500.0,3.01,2,"thomas, ne",1.0,147.0,0,Feb-2022
2022-03-01,58,413500.0,3.14,3,"thomas, ne",2.0,95.0,0,Mar-2022
2022-04-01,59,413500.0,3.1,4,"thomas, ne",2.0,119.0,0,Apr-2022
2022-05-01,60,639500.0,3.12,5,"thomas, ne",1.0,78.0,0,May-2022
2022-06-01,61,639500.0,3.56,6,"thomas, ne",1.0,106.0,0,Jun-2022
2022-07-01,62,639500.0,3.92,7,"thomas, ne",1.0,137.0,572114,Jul-2022
2022-08-01,63,639500.0,4.67,8,"thomas, ne",1.0,169.0,560019,Aug-2022
2022-09-01,64,639500.0,5.11,9,"thomas, ne",1.0,197.0,550474,Sep-2022
2022-10-01,65,639500.0,5.3,10,"thomas, ne",1.0,228.0,548417,Oct-2022
2022-11-01,66,639500.0,5.81,11,"thomas, ne",1.0,260.0,548660,Nov-2022
2022-12-01,67,639500.0,5.54,12,"thomas, ne",0.0,272.0,548894,Dec-2022
2023-03-01,70,93500.0,7.08,3,"thomas, ne",2.0,9.0,570534,Mar-2023
2023-04-01,71,93500.0,7.08,4,"thomas, ne",2.0,33.0,580536,Apr-2023
2023-05-01,72,92750.0,6.49,5,"thomas, ne",2.0,65.0,584021,May-2023
2023-06-01,73,92000.0,6.48,6,"thomas, ne",1.0,93.0,580574,Jun-2023
2023-07-01,74,92000.0,6.5,7,"thomas, ne",1.0,117.0,582787,Jul-2023
