date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,49950.0,3.72,7,"treasure, mt",3.0,16.0,0,Jul-2016
2016-08-01,1,41400.0,3.73,8,"treasure, mt",2.0,34.0,0,Aug-2016
2016-10-01,3,310000.0,3.64,10,"treasure, mt",1.0,5.0,0,Oct-2016
2016-11-01,4,310000.0,3.66,11,"treasure, mt",1.0,16.0,0,Nov-2016
2017-02-01,7,70000.0,3.5,2,"treasure, mt",1.0,30.0,0,Feb-2017
2017-03-01,8,65000.0,3.52,3,"treasure, mt",2.0,40.0,0,Mar-2017
2017-04-01,9,65000.0,4.03,4,"treasure, mt",2.0,64.0,0,Apr-2017
2017-05-01,10,65000.0,4.32,5,"treasure, mt",2.0,96.0,0,May-2017
2017-06-01,11,66250.0,4.2,6,"treasure, mt",2.0,136.0,0,Jun-2017
2017-07-01,12,119900.0,4.19,7,"treasure, mt",2.0,52.0,0,Jul-2017
2017-08-01,13,122450.0,4.3,8,"treasure, mt",2.0,60.0,0,Aug-2017
2017-09-01,14,122450.0,4.1,9,"treasure, mt",2.0,92.0,0,Sep-2017
2017-10-01,15,123725.0,4.05,10,"treasure, mt",1.0,131.0,0,Oct-2017
2017-11-01,16,125000.0,3.94,11,"treasure, mt",1.0,175.0,0,Nov-2017
2017-12-01,17,125000.0,4.03,12,"treasure, mt",1.0,206.0,0,Dec-2017
2018-01-01,18,125000.0,3.93,1,"treasure, mt",1.0,238.0,0,Jan-2018
2018-02-01,19,125000.0,3.83,2,"treasure, mt",1.0,266.0,0,Feb-2018
2018-03-01,20,112250.0,3.94,3,"treasure, mt",2.0,167.0,0,Mar-2018
2018-04-01,21,112250.0,3.95,4,"treasure, mt",2.0,184.0,0,Apr-2018
2018-05-01,22,125000.0,3.99,5,"treasure, mt",3.0,68.0,0,May-2018
2018-06-01,23,192250.0,4.15,6,"treasure, mt",2.0,63.0,0,Jun-2018
2018-07-01,24,249450.0,4.4,7,"treasure, mt",2.0,47.0,0,Jul-2018
2018-08-01,25,239950.0,4.46,8,"treasure, mt",2.0,75.0,0,Aug-2018
2018-09-01,26,239950.0,4.58,9,"treasure, mt",2.0,92.0,0,Sep-2018
2018-10-01,27,239950.0,4.66,10,"treasure, mt",2.0,138.0,0,Oct-2018
