date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,98000.0,3.72,7,"vernon, mo",123.0,103.0,0,Jul-2016
2016-08-01,1,99125.0,3.73,8,"vernon, mo",133.0,94.0,0,Aug-2016
2016-09-01,2,94000.0,3.66,9,"vernon, mo",130.0,73.0,0,Sep-2016
2016-10-01,3,89950.0,3.64,10,"vernon, mo",134.0,75.0,0,Oct-2016
2016-11-01,4,97450.0,3.66,11,"vernon, mo",130.0,83.0,0,Nov-2016
2016-12-01,5,95000.0,3.48,12,"vernon, mo",120.0,94.0,0,Dec-2016
2017-01-01,6,93725.0,3.45,1,"vernon, mo",116.0,93.0,0,Jan-2017
2017-02-01,7,87900.0,3.5,2,"vernon, mo",115.0,89.0,0,Feb-2017
2017-03-01,8,99600.0,3.52,3,"vernon, mo",107.0,88.0,0,Mar-2017
2017-04-01,9,108750.0,4.03,4,"vernon, mo",87.0,86.0,0,Apr-2017
2017-05-01,10,113375.0,4.32,5,"vernon, mo",83.0,88.0,0,May-2017
2017-06-01,11,113750.0,4.2,6,"vernon, mo",90.0,81.0,0,Jun-2017
2017-07-01,12,119900.0,4.19,7,"vernon, mo",87.0,74.0,0,Jul-2017
2017-08-01,13,124600.0,4.3,8,"vernon, mo",90.0,80.0,0,Aug-2017
2017-09-01,14,119000.0,4.1,9,"vernon, mo",96.0,83.0,0,Sep-2017
2017-10-01,15,115000.0,4.05,10,"vernon, mo",100.0,79.0,0,Oct-2017
2017-11-01,16,116000.0,3.94,11,"vernon, mo",92.0,81.0,0,Nov-2017
2017-12-01,17,119450.0,4.03,12,"vernon, mo",84.0,95.0,0,Dec-2017
2018-01-01,18,119700.0,3.93,1,"vernon, mo",79.0,94.0,0,Jan-2018
2018-02-01,19,121000.0,3.83,2,"vernon, mo",75.0,98.0,0,Feb-2018
2018-03-01,20,119950.0,3.94,3,"vernon, mo",70.0,69.0,0,Mar-2018
2018-04-01,21,122900.0,3.95,4,"vernon, mo",67.0,53.0,0,Apr-2018
2018-05-01,22,134175.0,3.99,5,"vernon, mo",80.0,56.0,0,May-2018
2018-06-01,23,136900.0,4.15,6,"vernon, mo",80.0,72.0,0,Jun-2018
2018-07-01,24,129900.0,4.4,7,"vernon, mo",77.0,88.0,0,Jul-2018
2018-08-01,25,129150.0,4.46,8,"vernon, mo",74.0,105.0,0,Aug-2018
2018-09-01,26,126900.0,4.58,9,"vernon, mo",75.0,84.0,0,Sep-2018
2018-10-01,27,127900.0,4.66,10,"vernon, mo",75.0,80.0,0,Oct-2018
2018-11-01,28,120875.0,4.62,11,"vernon, mo",77.0,75.0,0,Nov-2018
2018-12-01,29,119950.0,4.54,12,"vernon, mo",74.0,85.0,0,Dec-2018
2019-01-01,30,126100.0,4.6,1,"vernon, mo",69.0,85.0,0,Jan-2019
2019-02-01,31,124950.0,4.72,2,"vernon, mo",63.0,95.0,0,Feb-2019
2019-03-01,32,119679.0,4.9,3,"vernon, mo",61.0,74.0,0,Mar-2019
2019-04-01,33,119304.0,4.94,4,"vernon, mo",59.0,40.0,0,Apr-2019
2019-05-01,34,119950.0,4.75,5,"vernon, mo",59.0,54.0,0,May-2019
2019-06-01,35,121950.0,4.51,6,"vernon, mo",68.0,66.0,0,Jun-2019
2019-07-01,36,126163.0,4.41,7,"vernon, mo",72.0,67.0,0,Jul-2019
2019-08-01,37,126245.0,4.41,8,"vernon, mo",68.0,67.0,0,Aug-2019
2019-09-01,38,128301.0,4.2,9,"vernon, mo",69.0,68.0,0,Sep-2019
2019-10-01,39,126972.0,4.14,10,"vernon, mo",70.0,70.0,0,Oct-2019
2019-11-01,40,129900.0,3.84,11,"vernon, mo",67.0,86.0,0,Nov-2019
2019-12-01,41,137625.0,3.81,12,"vernon, mo",65.0,88.0,0,Dec-2019
2020-01-01,42,119900.0,3.75,1,"vernon, mo",57.0,87.0,0,Jan-2020
2020-02-01,43,113750.0,3.73,2,"vernon, mo",68.0,100.0,0,Feb-2020
2020-03-01,44,106875.0,3.78,3,"vernon, mo",71.0,98.0,0,Mar-2020
2020-04-01,45,118400.0,3.75,4,"vernon, mo",63.0,98.0,0,Apr-2020
2020-05-01,46,119950.0,3.74,5,"vernon, mo",57.0,94.0,0,May-2020
2020-06-01,47,133650.0,3.72,6,"vernon, mo",47.0,76.0,0,Jun-2020
2020-07-01,48,131800.0,3.49,7,"vernon, mo",48.0,56.0,0,Jul-2020
2020-08-01,49,133700.0,3.65,8,"vernon, mo",55.0,61.0,0,Aug-2020
2020-09-01,50,129050.0,3.33,9,"vernon, mo",46.0,60.0,0,Sep-2020
2020-10-01,51,99900.0,3.28,10,"vernon, mo",41.0,64.0,0,Oct-2020
2020-11-01,52,97350.0,3.21,11,"vernon, mo",45.0,47.0,0,Nov-2020
2020-12-01,53,104900.0,3.07,12,"vernon, mo",42.0,51.0,0,Dec-2020
2021-01-01,54,135000.0,2.99,1,"vernon, mo",36.0,72.0,0,Jan-2021
2021-02-01,55,151175.0,2.93,2,"vernon, mo",30.0,84.0,0,Feb-2021
2021-03-01,56,178650.0,2.88,3,"vernon, mo",26.0,26.0,0,Mar-2021
2021-04-01,57,121975.0,2.84,4,"vernon, mo",32.0,25.0,0,Apr-2021
2021-05-01,58,82250.0,2.71,5,"vernon, mo",27.0,32.0,0,May-2021
2021-06-01,59,106600.0,2.79,6,"vernon, mo",25.0,48.0,0,Jun-2021
2021-07-01,60,110000.0,2.97,7,"vernon, mo",28.0,46.0,0,Jul-2021
2021-08-01,61,122950.0,3.17,8,"vernon, mo",32.0,36.0,0,Aug-2021
2021-09-01,62,116225.0,3.18,9,"vernon, mo",33.0,30.0,0,Sep-2021
2021-10-01,63,125900.0,3.0,10,"vernon, mo",30.0,37.0,0,Oct-2021
2021-11-01,64,124425.0,3.02,11,"vernon, mo",26.0,46.0,0,Nov-2021
2021-12-01,65,103200.0,2.98,12,"vernon, mo",28.0,56.0,0,Dec-2021
2022-01-01,66,99700.0,2.87,1,"vernon, mo",22.0,29.0,0,Jan-2022
2022-02-01,67,144900.0,3.01,2,"vernon, mo",15.0,45.0,0,Feb-2022
2022-03-01,68,145925.0,3.14,3,"vernon, mo",15.0,56.0,0,Mar-2022
2022-04-01,69,182400.0,3.1,4,"vernon, mo",24.0,32.0,0,Apr-2022
2022-05-01,70,176750.0,3.12,5,"vernon, mo",32.0,42.0,0,May-2022
2022-06-01,71,181075.0,3.56,6,"vernon, mo",31.0,58.0,0,Jun-2022
2022-07-01,72,149900.0,3.92,7,"vernon, mo",37.0,33.0,0,Jul-2022
2022-08-01,73,199975.0,4.67,8,"vernon, mo",38.0,42.0,0,Aug-2022
2022-09-01,74,197475.0,5.11,9,"vernon, mo",41.0,49.0,164501,Sep-2022
2022-10-01,75,195000.0,5.3,10,"vernon, mo",41.0,47.0,150119,Oct-2022
