date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,220000.0,3.72,7,"victoria, tx",365.0,67.0,0,Jul-2016
2016-08-01,1,219900.0,3.73,8,"victoria, tx",387.0,68.0,0,Aug-2016
2016-09-01,2,212400.0,3.66,9,"victoria, tx",380.0,75.0,0,Sep-2016
2016-10-01,3,209900.0,3.64,10,"victoria, tx",394.0,76.0,0,Oct-2016
2016-11-01,4,205950.0,3.66,11,"victoria, tx",398.0,78.0,0,Nov-2016
2016-12-01,5,202900.0,3.48,12,"victoria, tx",386.0,82.0,0,Dec-2016
2017-01-01,6,199450.0,3.45,1,"victoria, tx",355.0,81.0,0,Jan-2017
2017-02-01,7,197675.0,3.5,2,"victoria, tx",344.0,78.0,0,Feb-2017
2017-03-01,8,199058.0,3.52,3,"victoria, tx",332.0,74.0,0,Mar-2017
2017-04-01,9,205000.0,4.03,4,"victoria, tx",335.0,68.0,0,Apr-2017
2017-05-01,10,212200.0,4.32,5,"victoria, tx",361.0,56.0,0,May-2017
2017-06-01,11,215213.0,4.2,6,"victoria, tx",352.0,60.0,0,Jun-2017
2017-07-01,12,208893.0,4.19,7,"victoria, tx",375.0,68.0,0,Jul-2017
2017-08-01,13,204675.0,4.3,8,"victoria, tx",376.0,64.0,0,Aug-2017
2017-09-01,14,204885.0,4.1,9,"victoria, tx",352.0,75.0,0,Sep-2017
2017-10-01,15,204900.0,4.05,10,"victoria, tx",313.0,92.0,0,Oct-2017
2017-11-01,16,228625.0,3.94,11,"victoria, tx",264.0,103.0,0,Nov-2017
2017-12-01,17,224889.0,4.03,12,"victoria, tx",245.0,105.0,0,Dec-2017
2018-01-01,18,228672.0,3.93,1,"victoria, tx",236.0,95.0,0,Jan-2018
2018-02-01,19,218972.0,3.83,2,"victoria, tx",227.0,87.0,0,Feb-2018
2018-03-01,20,221200.0,3.94,3,"victoria, tx",231.0,80.0,0,Mar-2018
2018-04-01,21,226700.0,3.95,4,"victoria, tx",233.0,53.0,0,Apr-2018
2018-05-01,22,219950.0,3.99,5,"victoria, tx",244.0,50.0,0,May-2018
2018-06-01,23,214900.0,4.15,6,"victoria, tx",248.0,64.0,0,Jun-2018
2018-07-01,24,222193.0,4.4,7,"victoria, tx",251.0,72.0,0,Jul-2018
2018-08-01,25,217346.0,4.46,8,"victoria, tx",266.0,60.0,0,Aug-2018
2018-09-01,26,219885.0,4.58,9,"victoria, tx",259.0,61.0,0,Sep-2018
2018-10-01,27,223196.0,4.66,10,"victoria, tx",245.0,69.0,0,Oct-2018
2018-11-01,28,229950.0,4.62,11,"victoria, tx",251.0,71.0,0,Nov-2018
2018-12-01,29,234900.0,4.54,12,"victoria, tx",235.0,79.0,0,Dec-2018
2019-01-01,30,235400.0,4.6,1,"victoria, tx",221.0,77.0,0,Jan-2019
2019-02-01,31,230700.0,4.72,2,"victoria, tx",216.0,76.0,0,Feb-2019
2019-03-01,32,238494.0,4.9,3,"victoria, tx",210.0,69.0,0,Mar-2019
2019-04-01,33,243211.0,4.94,4,"victoria, tx",209.0,68.0,0,Apr-2019
2019-05-01,34,240393.0,4.75,5,"victoria, tx",226.0,62.0,0,May-2019
2019-06-01,35,240000.0,4.51,6,"victoria, tx",255.0,59.0,0,Jun-2019
2019-07-01,36,246000.0,4.41,7,"victoria, tx",262.0,61.0,0,Jul-2019
2019-08-01,37,241986.0,4.41,8,"victoria, tx",275.0,62.0,0,Aug-2019
2019-09-01,38,232966.0,4.2,9,"victoria, tx",289.0,65.0,0,Sep-2019
2019-10-01,39,225475.0,4.14,10,"victoria, tx",300.0,71.0,0,Oct-2019
2019-11-01,40,224900.0,3.84,11,"victoria, tx",279.0,79.0,0,Nov-2019
2019-12-01,41,217408.0,3.81,12,"victoria, tx",275.0,84.0,0,Dec-2019
2020-01-01,42,217400.0,3.75,1,"victoria, tx",269.0,81.0,0,Jan-2020
2020-02-01,43,219900.0,3.73,2,"victoria, tx",257.0,79.0,0,Feb-2020
2020-03-01,44,222450.0,3.78,3,"victoria, tx",240.0,71.0,0,Mar-2020
2020-04-01,45,227425.0,3.75,4,"victoria, tx",238.0,76.0,0,Apr-2020
2020-05-01,46,242900.0,3.74,5,"victoria, tx",217.0,74.0,0,May-2020
2020-06-01,47,252400.0,3.72,6,"victoria, tx",209.0,73.0,0,Jun-2020
2020-07-01,48,265000.0,3.49,7,"victoria, tx",218.0,64.0,0,Jul-2020
2020-08-01,49,271400.0,3.65,8,"victoria, tx",206.0,69.0,0,Aug-2020
2020-09-01,50,272200.0,3.33,9,"victoria, tx",200.0,78.0,0,Sep-2020
2020-10-01,51,264950.0,3.28,10,"victoria, tx",207.0,82.0,0,Oct-2020
2020-11-01,52,266400.0,3.21,11,"victoria, tx",205.0,87.0,0,Nov-2020
2020-12-01,53,262450.0,3.07,12,"victoria, tx",200.0,76.0,0,Dec-2020
2021-01-01,54,273700.0,2.99,1,"victoria, tx",175.0,81.0,0,Jan-2021
2021-02-01,55,273925.0,2.93,2,"victoria, tx",145.0,82.0,0,Feb-2021
2021-03-01,56,276800.0,2.88,3,"victoria, tx",129.0,63.0,0,Mar-2021
2021-04-01,57,281950.0,2.84,4,"victoria, tx",121.0,60.0,0,Apr-2021
2021-05-01,58,284900.0,2.71,5,"victoria, tx",110.0,60.0,0,May-2021
2021-06-01,59,286125.0,2.79,6,"victoria, tx",116.0,48.0,0,Jun-2021
2021-07-01,60,255000.0,2.97,7,"victoria, tx",121.0,57.0,0,Jul-2021
2021-08-01,61,259925.0,3.17,8,"victoria, tx",150.0,41.0,0,Aug-2021
2021-09-01,62,261675.0,3.18,9,"victoria, tx",159.0,48.0,0,Sep-2021
2021-10-01,63,264700.0,3.0,10,"victoria, tx",168.0,53.0,0,Oct-2021
2021-11-01,64,280950.0,3.02,11,"victoria, tx",163.0,61.0,0,Nov-2021
2021-12-01,65,259900.0,2.98,12,"victoria, tx",147.0,72.0,0,Dec-2021
2022-01-01,66,259900.0,2.87,1,"victoria, tx",141.0,67.0,0,Jan-2022
2022-02-01,67,268650.0,3.01,2,"victoria, tx",140.0,61.0,0,Feb-2022
2022-03-01,68,302425.0,3.14,3,"victoria, tx",134.0,56.0,0,Mar-2022
2022-04-01,69,295900.0,3.1,4,"victoria, tx",115.0,58.0,0,Apr-2022
2022-05-01,70,292425.0,3.12,5,"victoria, tx",118.0,38.0,0,May-2022
2022-06-01,71,298450.0,3.56,6,"victoria, tx",128.0,39.0,0,Jun-2022
2022-07-01,72,295000.0,3.92,7,"victoria, tx",158.0,39.0,0,Jul-2022
2022-08-01,73,284500.0,4.67,8,"victoria, tx",176.0,52.0,0,Aug-2022
