date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,87000.0,3.72,7,"wapello, ia",182.0,68.0,0,Jul-2016
2016-08-01,1,84625.0,3.73,8,"wapello, ia",183.0,78.0,0,Aug-2016
2016-09-01,2,86975.0,3.66,9,"wapello, ia",181.0,82.0,0,Sep-2016
2016-10-01,3,92500.0,3.64,10,"wapello, ia",169.0,87.0,0,Oct-2016
2016-11-01,4,99925.0,3.66,11,"wapello, ia",160.0,85.0,0,Nov-2016
2016-12-01,5,104900.0,3.48,12,"wapello, ia",149.0,92.0,0,Dec-2016
2017-01-01,6,102425.0,3.45,1,"wapello, ia",141.0,68.0,0,Jan-2017
2017-02-01,7,103600.0,3.5,2,"wapello, ia",140.0,56.0,0,Feb-2017
2017-03-01,8,113875.0,3.52,3,"wapello, ia",135.0,77.0,0,Mar-2017
2017-04-01,9,115000.0,4.03,4,"wapello, ia",148.0,61.0,0,Apr-2017
2017-05-01,10,104450.0,4.32,5,"wapello, ia",153.0,52.0,0,May-2017
2017-06-01,11,109250.0,4.2,6,"wapello, ia",157.0,67.0,0,Jun-2017
2017-07-01,12,103000.0,4.19,7,"wapello, ia",154.0,82.0,0,Jul-2017
2017-08-01,13,99450.0,4.3,8,"wapello, ia",162.0,85.0,0,Aug-2017
2017-09-01,14,99900.0,4.1,9,"wapello, ia",179.0,73.0,0,Sep-2017
2017-10-01,15,94850.0,4.05,10,"wapello, ia",178.0,77.0,0,Oct-2017
2017-11-01,16,96994.0,3.94,11,"wapello, ia",149.0,86.0,0,Nov-2017
2017-12-01,17,89500.0,4.03,12,"wapello, ia",133.0,95.0,0,Dec-2017
2018-01-01,18,84950.0,3.93,1,"wapello, ia",114.0,105.0,0,Jan-2018
2018-02-01,19,81250.0,3.83,2,"wapello, ia",120.0,90.0,0,Feb-2018
2018-03-01,20,82750.0,3.94,3,"wapello, ia",120.0,60.0,0,Mar-2018
2018-04-01,21,88850.0,3.95,4,"wapello, ia",125.0,64.0,0,Apr-2018
2018-05-01,22,94900.0,3.99,5,"wapello, ia",127.0,69.0,0,May-2018
2018-06-01,23,93950.0,4.15,6,"wapello, ia",136.0,66.0,0,Jun-2018
2018-07-01,24,89000.0,4.4,7,"wapello, ia",151.0,70.0,0,Jul-2018
2018-08-01,25,89000.0,4.46,8,"wapello, ia",156.0,75.0,0,Aug-2018
2018-09-01,26,89450.0,4.58,9,"wapello, ia",155.0,84.0,0,Sep-2018
2018-10-01,27,98375.0,4.66,10,"wapello, ia",147.0,84.0,0,Oct-2018
2018-11-01,28,105500.0,4.62,11,"wapello, ia",143.0,68.0,0,Nov-2018
2018-12-01,29,105500.0,4.54,12,"wapello, ia",140.0,71.0,0,Dec-2018
2019-01-01,30,109500.0,4.6,1,"wapello, ia",130.0,86.0,0,Jan-2019
2019-02-01,31,105000.0,4.72,2,"wapello, ia",126.0,104.0,0,Feb-2019
2019-03-01,32,105471.0,4.9,3,"wapello, ia",119.0,106.0,0,Mar-2019
2019-04-01,33,110021.0,4.94,4,"wapello, ia",115.0,93.0,0,Apr-2019
2019-05-01,34,103475.0,4.75,5,"wapello, ia",129.0,58.0,0,May-2019
2019-06-01,35,99950.0,4.51,6,"wapello, ia",128.0,58.0,0,Jun-2019
2019-07-01,36,109450.0,4.41,7,"wapello, ia",134.0,57.0,0,Jul-2019
2019-08-01,37,107718.0,4.41,8,"wapello, ia",132.0,61.0,0,Aug-2019
2019-09-01,38,115695.0,4.2,9,"wapello, ia",132.0,74.0,0,Sep-2019
2019-10-01,39,121014.0,4.14,10,"wapello, ia",133.0,82.0,0,Oct-2019
2019-11-01,40,125000.0,3.84,11,"wapello, ia",126.0,76.0,0,Nov-2019
2019-12-01,41,122200.0,3.81,12,"wapello, ia",114.0,86.0,0,Dec-2019
2020-01-01,42,128000.0,3.75,1,"wapello, ia",111.0,100.0,0,Jan-2020
2020-02-01,43,128750.0,3.73,2,"wapello, ia",105.0,110.0,0,Feb-2020
2020-03-01,44,141750.0,3.78,3,"wapello, ia",106.0,91.0,0,Mar-2020
2020-04-01,45,146350.0,3.75,4,"wapello, ia",106.0,78.0,0,Apr-2020
2020-05-01,46,150750.0,3.74,5,"wapello, ia",101.0,79.0,0,May-2020
2020-06-01,47,155000.0,3.72,6,"wapello, ia",84.0,99.0,0,Jun-2020
2020-07-01,48,147000.0,3.49,7,"wapello, ia",71.0,108.0,0,Jul-2020
2020-08-01,49,157500.0,3.65,8,"wapello, ia",70.0,60.0,0,Aug-2020
2020-09-01,50,142875.0,3.33,9,"wapello, ia",68.0,59.0,0,Sep-2020
2020-10-01,51,115000.0,3.28,10,"wapello, ia",63.0,54.0,0,Oct-2020
2020-11-01,52,125000.0,3.21,11,"wapello, ia",72.0,45.0,0,Nov-2020
2020-12-01,53,122500.0,3.07,12,"wapello, ia",59.0,49.0,0,Dec-2020
2021-01-01,54,98000.0,2.99,1,"wapello, ia",52.0,71.0,0,Jan-2021
2021-02-01,55,104250.0,2.93,2,"wapello, ia",53.0,70.0,0,Feb-2021
2021-03-01,56,103750.0,2.88,3,"wapello, ia",52.0,54.0,0,Mar-2021
2021-04-01,57,108250.0,2.84,4,"wapello, ia",44.0,39.0,0,Apr-2021
2021-05-01,58,129450.0,2.71,5,"wapello, ia",45.0,33.0,0,May-2021
2021-06-01,59,122750.0,2.79,6,"wapello, ia",44.0,31.0,0,Jun-2021
2021-07-01,60,108000.0,2.97,7,"wapello, ia",46.0,32.0,0,Jul-2021
2021-08-01,61,101875.0,3.17,8,"wapello, ia",59.0,37.0,0,Aug-2021
2021-09-01,62,102125.0,3.18,9,"wapello, ia",54.0,46.0,0,Sep-2021
2021-10-01,63,105000.0,3.0,10,"wapello, ia",62.0,38.0,0,Oct-2021
2021-11-01,64,101600.0,3.02,11,"wapello, ia",54.0,56.0,0,Nov-2021
2021-12-01,65,97500.0,2.98,12,"wapello, ia",50.0,48.0,0,Dec-2021
2022-01-01,66,89000.0,2.87,1,"wapello, ia",46.0,54.0,0,Jan-2022
2022-02-01,67,99675.0,3.01,2,"wapello, ia",45.0,66.0,0,Feb-2022
2022-03-01,68,115000.0,3.14,3,"wapello, ia",46.0,55.0,0,Mar-2022
2022-04-01,69,124950.0,3.1,4,"wapello, ia",43.0,39.0,0,Apr-2022
2022-05-01,70,142375.0,3.12,5,"wapello, ia",56.0,37.0,0,May-2022
2022-06-01,71,121850.0,3.56,6,"wapello, ia",66.0,27.0,0,Jun-2022
2022-07-01,72,133950.0,3.92,7,"wapello, ia",75.0,40.0,0,Jul-2022
2022-08-01,73,123700.0,4.67,8,"wapello, ia",58.0,49.0,0,Aug-2022
2022-09-01,74,122000.0,5.11,9,"wapello, ia",61.0,43.0,125465,Sep-2022
2022-10-01,75,131250.0,5.3,10,"wapello, ia",66.0,52.0,125827,Oct-2022
2022-11-01,76,133125.0,5.81,11,"wapello, ia",65.0,54.0,133299,Nov-2022
2022-12-01,77,133750.0,5.54,12,"wapello, ia",70.0,62.0,133674,Dec-2022
2023-01-01,78,138450.0,5.55,1,"wapello, ia",64.0,69.0,135734,Jan-2023
2023-02-01,79,133750.0,6.7,2,"wapello, ia",54.0,73.0,139705,Feb-2023
2023-03-01,80,130000.0,7.08,3,"wapello, ia",47.0,84.0,140729,Mar-2023
2023-04-01,81,139950.0,7.08,4,"wapello, ia",38.0,65.0,139063,Apr-2023
2023-05-01,82,177350.0,6.49,5,"wapello, ia",52.0,32.0,139405,May-2023
2023-06-01,83,166100.0,6.48,6,"wapello, ia",56.0,46.0,137609,Jun-2023
2023-07-01,84,174000.0,6.5,7,"wapello, ia",58.0,44.0,138191,Jul-2023
