date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,92200.0,3.72,7,"ware, ga",185.0,89.0,0,Jul-2016
2016-08-01,1,96125.0,3.73,8,"ware, ga",180.0,98.0,0,Aug-2016
2016-09-01,2,96125.0,3.66,9,"ware, ga",183.0,100.0,0,Sep-2016
2016-10-01,3,96500.0,3.64,10,"ware, ga",182.0,102.0,0,Oct-2016
2016-11-01,4,97500.0,3.66,11,"ware, ga",171.0,93.0,0,Nov-2016
2016-12-01,5,102500.0,3.48,12,"ware, ga",160.0,109.0,0,Dec-2016
2017-01-01,6,104750.0,3.45,1,"ware, ga",160.0,112.0,0,Jan-2017
2017-02-01,7,101625.0,3.5,2,"ware, ga",166.0,104.0,0,Feb-2017
2017-03-01,8,99375.0,3.52,3,"ware, ga",169.0,76.0,0,Mar-2017
2017-04-01,9,106000.0,4.03,4,"ware, ga",176.0,79.0,0,Apr-2017
2017-05-01,10,107375.0,4.32,5,"ware, ga",174.0,84.0,0,May-2017
2017-06-01,11,105625.0,4.2,6,"ware, ga",166.0,88.0,0,Jun-2017
2017-07-01,12,109000.0,4.19,7,"ware, ga",162.0,87.0,0,Jul-2017
2017-08-01,13,118750.0,4.3,8,"ware, ga",149.0,87.0,0,Aug-2017
2017-09-01,14,119000.0,4.1,9,"ware, ga",148.0,91.0,0,Sep-2017
2017-10-01,15,118000.0,4.05,10,"ware, ga",153.0,101.0,0,Oct-2017
2017-11-01,16,110900.0,3.94,11,"ware, ga",152.0,97.0,0,Nov-2017
2017-12-01,17,109950.0,4.03,12,"ware, ga",150.0,99.0,0,Dec-2017
2018-01-01,18,101856.0,3.93,1,"ware, ga",147.0,117.0,0,Jan-2018
2018-02-01,19,104900.0,3.83,2,"ware, ga",140.0,114.0,0,Feb-2018
2018-03-01,20,107400.0,3.94,3,"ware, ga",141.0,117.0,0,Mar-2018
2018-04-01,21,104950.0,3.95,4,"ware, ga",133.0,101.0,0,Apr-2018
2018-05-01,22,109000.0,3.99,5,"ware, ga",132.0,83.0,0,May-2018
2018-06-01,23,125400.0,4.15,6,"ware, ga",130.0,77.0,0,Jun-2018
2018-07-01,24,124825.0,4.4,7,"ware, ga",127.0,82.0,0,Jul-2018
2018-08-01,25,125400.0,4.46,8,"ware, ga",124.0,91.0,0,Aug-2018
2018-09-01,26,121900.0,4.58,9,"ware, ga",117.0,93.0,0,Sep-2018
2018-10-01,27,128500.0,4.66,10,"ware, ga",111.0,94.0,0,Oct-2018
2018-11-01,28,129925.0,4.62,11,"ware, ga",111.0,92.0,0,Nov-2018
2018-12-01,29,119900.0,4.54,12,"ware, ga",114.0,100.0,0,Dec-2018
2019-01-01,30,119500.0,4.6,1,"ware, ga",112.0,111.0,0,Jan-2019
2019-02-01,31,123650.0,4.72,2,"ware, ga",109.0,96.0,0,Feb-2019
2019-03-01,32,126729.0,4.9,3,"ware, ga",108.0,81.0,0,Mar-2019
2019-04-01,33,131779.0,4.94,4,"ware, ga",109.0,75.0,0,Apr-2019
2019-05-01,34,130625.0,4.75,5,"ware, ga",102.0,79.0,0,May-2019
2019-06-01,35,129000.0,4.51,6,"ware, ga",99.0,71.0,0,Jun-2019
2019-07-01,36,116225.0,4.41,7,"ware, ga",113.0,69.0,0,Jul-2019
2019-08-01,37,126782.0,4.41,8,"ware, ga",126.0,69.0,0,Aug-2019
2019-09-01,38,137030.0,4.2,9,"ware, ga",124.0,76.0,0,Sep-2019
2019-10-01,39,143861.0,4.14,10,"ware, ga",122.0,86.0,0,Oct-2019
2019-11-01,40,145400.0,3.84,11,"ware, ga",118.0,98.0,0,Nov-2019
2019-12-01,41,143175.0,3.81,12,"ware, ga",115.0,102.0,0,Dec-2019
2020-01-01,42,149900.0,3.75,1,"ware, ga",109.0,111.0,0,Jan-2020
2020-02-01,43,155000.0,3.73,2,"ware, ga",107.0,85.0,0,Feb-2020
2020-03-01,44,155925.0,3.78,3,"ware, ga",105.0,68.0,0,Mar-2020
2020-04-01,45,155000.0,3.75,4,"ware, ga",106.0,82.0,0,Apr-2020
2020-05-01,46,139900.0,3.74,5,"ware, ga",109.0,85.0,0,May-2020
2020-06-01,47,135250.0,3.72,6,"ware, ga",100.0,84.0,0,Jun-2020
2020-07-01,48,134250.0,3.49,7,"ware, ga",100.0,81.0,0,Jul-2020
2020-08-01,49,124200.0,3.65,8,"ware, ga",87.0,67.0,0,Aug-2020
2020-09-01,50,134725.0,3.33,9,"ware, ga",87.0,73.0,0,Sep-2020
2020-10-01,51,134950.0,3.28,10,"ware, ga",82.0,88.0,0,Oct-2020
2020-11-01,52,143000.0,3.21,11,"ware, ga",69.0,95.0,0,Nov-2020
2020-12-01,53,149900.0,3.07,12,"ware, ga",58.0,101.0,0,Dec-2020
2021-01-01,54,159000.0,2.99,1,"ware, ga",56.0,96.0,0,Jan-2021
2021-02-01,55,159675.0,2.93,2,"ware, ga",49.0,39.0,0,Feb-2021
2021-03-01,56,152500.0,2.88,3,"ware, ga",52.0,47.0,0,Mar-2021
2021-04-01,57,161150.0,2.84,4,"ware, ga",48.0,61.0,0,Apr-2021
2021-05-01,58,150000.0,2.71,5,"ware, ga",48.0,47.0,0,May-2021
2021-06-01,59,131200.0,2.79,6,"ware, ga",50.0,36.0,0,Jun-2021
2021-07-01,60,129250.0,2.97,7,"ware, ga",54.0,30.0,0,Jul-2021
2021-08-01,61,147000.0,3.17,8,"ware, ga",63.0,42.0,0,Aug-2021
2021-09-01,62,154996.0,3.18,9,"ware, ga",70.0,49.0,0,Sep-2021
2021-10-01,63,161200.0,3.0,10,"ware, ga",67.0,69.0,0,Oct-2021
2021-11-01,64,162500.0,3.02,11,"ware, ga",63.0,89.0,0,Nov-2021
2021-12-01,65,173500.0,2.98,12,"ware, ga",54.0,98.0,0,Dec-2021
2022-01-01,66,188900.0,2.87,1,"ware, ga",50.0,76.0,0,Jan-2022
2022-02-01,67,182450.0,3.01,2,"ware, ga",52.0,37.0,0,Feb-2022
2022-03-01,68,170725.0,3.14,3,"ware, ga",48.0,37.0,0,Mar-2022
2022-04-01,69,180000.0,3.1,4,"ware, ga",46.0,36.0,0,Apr-2022
2022-05-01,70,160700.0,3.12,5,"ware, ga",58.0,34.0,0,May-2022
2022-06-01,71,170000.0,3.56,6,"ware, ga",54.0,39.0,0,Jun-2022
2022-07-01,72,167000.0,3.92,7,"ware, ga",63.0,36.0,0,Jul-2022
