date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,200000.0,3.72,7,"washington, md",763.0,65.0,0,Jul-2016
2016-08-01,1,199900.0,3.73,8,"washington, md",777.0,66.0,0,Aug-2016
2016-09-01,2,195225.0,3.66,9,"washington, md",776.0,72.0,0,Sep-2016
2016-10-01,3,194995.0,3.64,10,"washington, md",744.0,75.0,0,Oct-2016
2016-11-01,4,197175.0,3.66,11,"washington, md",705.0,76.0,0,Nov-2016
2016-12-01,5,199900.0,3.48,12,"washington, md",635.0,91.0,0,Dec-2016
2017-01-01,6,199400.0,3.45,1,"washington, md",589.0,101.0,0,Jan-2017
2017-02-01,7,198975.0,3.5,2,"washington, md",557.0,96.0,0,Feb-2017
2017-03-01,8,207900.0,3.52,3,"washington, md",555.0,65.0,0,Mar-2017
2017-04-01,9,209995.0,4.03,4,"washington, md",593.0,58.0,0,Apr-2017
2017-05-01,10,221195.0,4.32,5,"washington, md",614.0,58.0,0,May-2017
2017-06-01,11,224900.0,4.2,6,"washington, md",613.0,62.0,0,Jun-2017
2017-07-01,12,225000.0,4.19,7,"washington, md",602.0,64.0,0,Jul-2017
2017-08-01,13,228161.0,4.3,8,"washington, md",595.0,63.0,0,Aug-2017
2017-09-01,14,225000.0,4.1,9,"washington, md",612.0,58.0,0,Sep-2017
2017-10-01,15,225000.0,4.05,10,"washington, md",610.0,63.0,0,Oct-2017
2017-11-01,16,222450.0,3.94,11,"washington, md",644.0,75.0,0,Nov-2017
2017-12-01,17,210450.0,4.03,12,"washington, md",555.0,77.0,0,Dec-2017
2018-01-01,18,224950.0,3.93,1,"washington, md",466.0,79.0,0,Jan-2018
2018-02-01,19,229450.0,3.83,2,"washington, md",469.0,69.0,0,Feb-2018
2018-03-01,20,238750.0,3.94,3,"washington, md",487.0,59.0,0,Mar-2018
2018-04-01,21,239350.0,3.95,4,"washington, md",546.0,48.0,0,Apr-2018
2018-05-01,22,242743.0,3.99,5,"washington, md",602.0,48.0,0,May-2018
2018-06-01,23,242900.0,4.15,6,"washington, md",651.0,52.0,0,Jun-2018
2018-07-01,24,239900.0,4.4,7,"washington, md",660.0,68.0,0,Jul-2018
2018-08-01,25,239900.0,4.46,8,"washington, md",671.0,73.0,0,Aug-2018
2018-09-01,26,234900.0,4.58,9,"washington, md",655.0,81.0,0,Sep-2018
2018-10-01,27,239900.0,4.66,10,"washington, md",652.0,79.0,0,Oct-2018
2018-11-01,28,239900.0,4.62,11,"washington, md",658.0,73.0,0,Nov-2018
