date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,165000.0,3.72,7,"washington, ny",575.0,85.0,0,Jul-2016
2016-08-01,1,164950.0,3.73,8,"washington, ny",580.0,94.0,0,Aug-2016
2016-09-01,2,165975.0,3.66,9,"washington, ny",578.0,103.0,0,Sep-2016
2016-10-01,3,159900.0,3.64,10,"washington, ny",537.0,105.0,0,Oct-2016
2016-11-01,4,159900.0,3.66,11,"washington, ny",498.0,112.0,0,Nov-2016
2016-12-01,5,159950.0,3.48,12,"washington, ny",467.0,121.0,0,Dec-2016
2017-01-01,6,149900.0,3.45,1,"washington, ny",427.0,133.0,0,Jan-2017
2017-02-01,7,157613.0,3.5,2,"washington, ny",418.0,142.0,0,Feb-2017
2017-03-01,8,162400.0,3.52,3,"washington, ny",418.0,142.0,0,Mar-2017
2017-04-01,9,169900.0,4.03,4,"washington, ny",407.0,138.0,0,Apr-2017
2017-05-01,10,174950.0,4.32,5,"washington, ny",432.0,113.0,0,May-2017
2017-06-01,11,174925.0,4.2,6,"washington, ny",442.0,86.0,0,Jun-2017
2017-07-01,12,179500.0,4.19,7,"washington, ny",469.0,79.0,0,Jul-2017
2017-08-01,13,178250.0,4.3,8,"washington, ny",470.0,86.0,0,Aug-2017
2017-09-01,14,173900.0,4.1,9,"washington, ny",483.0,89.0,0,Sep-2017
2017-10-01,15,177000.0,4.05,10,"washington, ny",445.0,101.0,0,Oct-2017
2017-11-01,16,176500.0,3.94,11,"washington, ny",418.0,105.0,0,Nov-2017
2017-12-01,17,169450.0,4.03,12,"washington, ny",395.0,109.0,0,Dec-2017
2018-01-01,18,169000.0,3.93,1,"washington, ny",365.0,123.0,0,Jan-2018
2018-02-01,19,169900.0,3.83,2,"washington, ny",358.0,135.0,0,Feb-2018
2018-03-01,20,174900.0,3.94,3,"washington, ny",354.0,142.0,0,Mar-2018
2018-04-01,21,180894.0,3.95,4,"washington, ny",353.0,142.0,0,Apr-2018
2018-05-01,22,185000.0,3.99,5,"washington, ny",388.0,95.0,0,May-2018
2018-06-01,23,185000.0,4.15,6,"washington, ny",413.0,74.0,0,Jun-2018
2018-07-01,24,198725.0,4.4,7,"washington, ny",397.0,73.0,0,Jul-2018
2018-08-01,25,199939.0,4.46,8,"washington, ny",398.0,81.0,0,Aug-2018
2018-09-01,26,201000.0,4.58,9,"washington, ny",389.0,93.0,0,Sep-2018
2018-10-01,27,199900.0,4.66,10,"washington, ny",378.0,101.0,0,Oct-2018
2018-11-01,28,197000.0,4.62,11,"washington, ny",352.0,105.0,0,Nov-2018
2018-12-01,29,175000.0,4.54,12,"washington, ny",339.0,116.0,0,Dec-2018
2019-01-01,30,175000.0,4.6,1,"washington, ny",312.0,122.0,0,Jan-2019
2019-02-01,31,175000.0,4.72,2,"washington, ny",294.0,127.0,0,Feb-2019
2019-03-01,32,177100.0,4.9,3,"washington, ny",303.0,110.0,0,Mar-2019
2019-04-01,33,179900.0,4.94,4,"washington, ny",317.0,87.0,0,Apr-2019
2019-05-01,34,186200.0,4.75,5,"washington, ny",319.0,67.0,0,May-2019
2019-06-01,35,199000.0,4.51,6,"washington, ny",352.0,71.0,0,Jun-2019
2019-07-01,36,199900.0,4.41,7,"washington, ny",383.0,71.0,0,Jul-2019
2019-08-01,37,195005.0,4.41,8,"washington, ny",399.0,75.0,0,Aug-2019
2019-09-01,38,187661.0,4.2,9,"washington, ny",400.0,82.0,0,Sep-2019
2019-10-01,39,180450.0,4.14,10,"washington, ny",398.0,91.0,0,Oct-2019
2019-11-01,40,179900.0,3.84,11,"washington, ny",351.0,102.0,0,Nov-2019
2019-12-01,41,179450.0,3.81,12,"washington, ny",336.0,113.0,0,Dec-2019
2020-01-01,42,179100.0,3.75,1,"washington, ny",318.0,125.0,0,Jan-2020
2020-02-01,43,169900.0,3.73,2,"washington, ny",295.0,137.0,0,Feb-2020
2020-03-01,44,182550.0,3.78,3,"washington, ny",281.0,132.0,0,Mar-2020
2020-04-01,45,186725.0,3.75,4,"washington, ny",269.0,143.0,0,Apr-2020
2020-05-01,46,199250.0,3.74,5,"washington, ny",239.0,153.0,0,May-2020
2020-06-01,47,199900.0,3.72,6,"washington, ny",245.0,110.0,0,Jun-2020
2020-07-01,48,209975.0,3.49,7,"washington, ny",236.0,74.0,0,Jul-2020
2020-08-01,49,202450.0,3.65,8,"washington, ny",227.0,68.0,0,Aug-2020
2020-09-01,50,227175.0,3.33,9,"washington, ny",211.0,66.0,0,Sep-2020
2020-10-01,51,239000.0,3.28,10,"washington, ny",201.0,68.0,0,Oct-2020
2020-11-01,52,233675.0,3.21,11,"washington, ny",183.0,88.0,0,Nov-2020
2020-12-01,53,219925.0,3.07,12,"washington, ny",160.0,91.0,0,Dec-2020
2021-01-01,54,214950.0,2.99,1,"washington, ny",142.0,101.0,0,Jan-2021
2021-02-01,55,211725.0,2.93,2,"washington, ny",121.0,109.0,0,Feb-2021
2021-03-01,56,207000.0,2.88,3,"washington, ny",117.0,107.0,0,Mar-2021
2021-04-01,57,215000.0,2.84,4,"washington, ny",110.0,87.0,0,Apr-2021
2021-05-01,58,217450.0,2.71,5,"washington, ny",119.0,64.0,0,May-2021
2021-06-01,59,219950.0,2.79,6,"washington, ny",126.0,55.0,0,Jun-2021
2021-07-01,60,220000.0,2.97,7,"washington, ny",135.0,58.0,0,Jul-2021
2021-08-01,61,266500.0,3.17,8,"washington, ny",124.0,71.0,0,Aug-2021
2021-09-01,62,250000.0,3.18,9,"washington, ny",147.0,61.0,0,Sep-2021
2021-10-01,63,249500.0,3.0,10,"washington, ny",145.0,57.0,0,Oct-2021
2021-11-01,64,229000.0,3.02,11,"washington, ny",129.0,73.0,0,Nov-2021
2021-12-01,65,220500.0,2.98,12,"washington, ny",104.0,90.0,0,Dec-2021
2022-01-01,66,214950.0,2.87,1,"washington, ny",93.0,107.0,0,Jan-2022
2022-02-01,67,214900.0,3.01,2,"washington, ny",91.0,103.0,0,Feb-2022
2022-03-01,68,261225.0,3.14,3,"washington, ny",80.0,70.0,0,Mar-2022
2022-04-01,69,246950.0,3.1,4,"washington, ny",85.0,53.0,0,Apr-2022
2022-05-01,70,244600.0,3.12,5,"washington, ny",110.0,37.0,0,May-2022
2022-06-01,71,238425.0,3.56,6,"washington, ny",125.0,42.0,0,Jun-2022
2022-07-01,72,224950.0,3.92,7,"washington, ny",159.0,42.0,0,Jul-2022
2022-08-01,73,227200.0,4.67,8,"washington, ny",170.0,55.0,0,Aug-2022
2022-09-01,74,225400.0,5.11,9,"washington, ny",170.0,71.0,242252,Sep-2022
2022-10-01,75,229000.0,5.3,10,"washington, ny",165.0,74.0,242077,Oct-2022
2022-11-01,76,233425.0,5.81,11,"washington, ny",159.0,70.0,247261,Nov-2022
2022-12-01,77,219000.0,5.54,12,"washington, ny",133.0,80.0,243101,Dec-2022
2023-01-01,78,201900.0,5.55,1,"washington, ny",122.0,87.0,243888,Jan-2023
2023-02-01,79,199450.0,6.7,2,"washington, ny",106.0,96.0,248338,Feb-2023
2023-03-01,80,212225.0,7.08,3,"washington, ny",92.0,112.0,247287,Mar-2023
2023-04-01,81,199900.0,7.08,4,"washington, ny",80.0,109.0,247940,Apr-2023
2023-05-01,82,238725.0,6.49,5,"washington, ny",81.0,78.0,246930,May-2023
2023-06-01,83,210200.0,6.48,6,"washington, ny",97.0,45.0,248708,Jun-2023
2023-07-01,84,237500.0,6.5,7,"washington, ny",97.0,49.0,248234,Jul-2023
