date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,315000.0,3.72,7,"watauga, nc",1305.0,87.0,0,Jul-2016
2016-08-01,1,314125.0,3.73,8,"watauga, nc",1280.0,104.0,0,Aug-2016
2016-09-01,2,307450.0,3.66,9,"watauga, nc",1235.0,114.0,0,Sep-2016
2016-10-01,3,314950.0,3.64,10,"watauga, nc",1171.0,129.0,0,Oct-2016
2016-11-01,4,319000.0,3.66,11,"watauga, nc",1036.0,140.0,0,Nov-2016
2016-12-01,5,307000.0,3.48,12,"watauga, nc",935.0,151.0,0,Dec-2016
2017-01-01,6,296750.0,3.45,1,"watauga, nc",811.0,152.0,0,Jan-2017
2017-02-01,7,295000.0,3.5,2,"watauga, nc",817.0,158.0,0,Feb-2017
2017-03-01,8,299000.0,3.52,3,"watauga, nc",826.0,155.0,0,Mar-2017
2017-04-01,9,299900.0,4.03,4,"watauga, nc",891.0,124.0,0,Apr-2017
2017-05-01,10,244000.0,4.32,5,"watauga, nc",1468.0,105.0,0,May-2017
2017-06-01,11,187450.0,4.2,6,"watauga, nc",2048.0,103.0,0,Jun-2017
2017-07-01,12,199000.0,4.19,7,"watauga, nc",2050.0,96.0,0,Jul-2017
2017-08-01,13,328950.0,4.3,8,"watauga, nc",1079.0,93.0,0,Aug-2017
2017-09-01,14,329950.0,4.1,9,"watauga, nc",1043.0,108.0,0,Sep-2017
2017-10-01,15,329950.0,4.05,10,"watauga, nc",988.0,124.0,0,Oct-2017
2017-11-01,16,327000.0,3.94,11,"watauga, nc",900.0,135.0,0,Nov-2017
2017-12-01,17,329000.0,4.03,12,"watauga, nc",820.0,147.0,0,Dec-2017
2018-01-01,18,340925.0,3.93,1,"watauga, nc",714.0,155.0,0,Jan-2018
2018-02-01,19,352450.0,3.83,2,"watauga, nc",700.0,155.0,0,Feb-2018
2018-03-01,20,374900.0,3.94,3,"watauga, nc",697.0,151.0,0,Mar-2018
2018-04-01,21,359125.0,3.95,4,"watauga, nc",733.0,121.0,0,Apr-2018
2018-05-01,22,359475.0,3.99,5,"watauga, nc",788.0,86.0,0,May-2018
2018-06-01,23,373500.0,4.15,6,"watauga, nc",881.0,67.0,0,Jun-2018
2018-07-01,24,284000.0,4.4,7,"watauga, nc",1335.0,80.0,0,Jul-2018
2018-08-01,25,185000.0,4.46,8,"watauga, nc",1720.0,101.0,0,Aug-2018
2018-09-01,26,180450.0,4.58,9,"watauga, nc",1718.0,116.0,0,Sep-2018
2018-10-01,27,179000.0,4.66,10,"watauga, nc",1692.0,130.0,0,Oct-2018
2018-11-01,28,169000.0,4.62,11,"watauga, nc",1639.0,141.0,0,Nov-2018
2018-12-01,29,159900.0,4.54,12,"watauga, nc",1527.0,152.0,0,Dec-2018
2019-01-01,30,150000.0,4.6,1,"watauga, nc",1365.0,165.0,0,Jan-2019
2019-02-01,31,148000.0,4.72,2,"watauga, nc",1368.0,169.0,0,Feb-2019
2019-03-01,32,256143.0,4.9,3,"watauga, nc",1039.0,139.0,0,Mar-2019
2019-04-01,33,399000.0,4.94,4,"watauga, nc",603.0,94.0,0,Apr-2019
2019-05-01,34,395450.0,4.75,5,"watauga, nc",594.0,68.0,0,May-2019
2019-06-01,35,399250.0,4.51,6,"watauga, nc",660.0,68.0,0,Jun-2019
2019-07-01,36,399000.0,4.41,7,"watauga, nc",689.0,71.0,0,Jul-2019
2019-08-01,37,404455.0,4.41,8,"watauga, nc",671.0,79.0,0,Aug-2019
2019-09-01,38,412636.0,4.2,9,"watauga, nc",645.0,91.0,0,Sep-2019
2019-10-01,39,421950.0,4.14,10,"watauga, nc",618.0,101.0,0,Oct-2019
2019-11-01,40,420000.0,3.84,11,"watauga, nc",540.0,103.0,0,Nov-2019
2019-12-01,41,417500.0,3.81,12,"watauga, nc",491.0,113.0,0,Dec-2019
2020-01-01,42,422500.0,3.75,1,"watauga, nc",435.0,119.0,0,Jan-2020
2020-02-01,43,435000.0,3.73,2,"watauga, nc",412.0,128.0,0,Feb-2020
2020-03-01,44,449125.0,3.78,3,"watauga, nc",420.0,113.0,0,Mar-2020
2020-04-01,45,449125.0,3.75,4,"watauga, nc",422.0,81.0,0,Apr-2020
2020-05-01,46,454500.0,3.74,5,"watauga, nc",423.0,79.0,0,May-2020
2020-06-01,47,459500.0,3.72,6,"watauga, nc",390.0,88.0,0,Jun-2020
2020-07-01,48,485000.0,3.49,7,"watauga, nc",332.0,91.0,0,Jul-2020
2020-08-01,49,498000.0,3.65,8,"watauga, nc",265.0,79.0,0,Aug-2020
2020-09-01,50,499000.0,3.33,9,"watauga, nc",236.0,78.0,0,Sep-2020
2020-10-01,51,522450.0,3.28,10,"watauga, nc",209.0,60.0,0,Oct-2020
2020-11-01,52,517500.0,3.21,11,"watauga, nc",192.0,65.0,0,Nov-2020
2020-12-01,53,499475.0,3.07,12,"watauga, nc",172.0,72.0,0,Dec-2020
2021-01-01,54,499450.0,2.99,1,"watauga, nc",145.0,80.0,0,Jan-2021
2021-02-01,55,572500.0,2.93,2,"watauga, nc",127.0,73.0,0,Feb-2021
2021-03-01,56,573075.0,2.88,3,"watauga, nc",112.0,53.0,0,Mar-2021
2021-04-01,57,606250.0,2.84,4,"watauga, nc",117.0,53.0,0,Apr-2021
2021-05-01,58,625000.0,2.71,5,"watauga, nc",163.0,39.0,0,May-2021
2021-06-01,59,625000.0,2.79,6,"watauga, nc",194.0,46.0,0,Jun-2021
2021-07-01,60,607450.0,2.97,7,"watauga, nc",218.0,46.0,0,Jul-2021
2021-08-01,61,586950.0,3.17,8,"watauga, nc",204.0,58.0,0,Aug-2021
2021-09-01,62,599125.0,3.18,9,"watauga, nc",181.0,72.0,0,Sep-2021
2021-10-01,63,599700.0,3.0,10,"watauga, nc",179.0,72.0,0,Oct-2021
2021-11-01,64,566200.0,3.02,11,"watauga, nc",152.0,68.0,0,Nov-2021
2021-12-01,65,604500.0,2.98,12,"watauga, nc",113.0,86.0,0,Dec-2021
2022-01-01,66,735000.0,2.87,1,"watauga, nc",89.0,88.0,0,Jan-2022
2022-02-01,67,712000.0,3.01,2,"watauga, nc",86.0,96.0,0,Feb-2022
2022-03-01,68,736000.0,3.14,3,"watauga, nc",94.0,44.0,0,Mar-2022
2022-04-01,69,639900.0,3.1,4,"watauga, nc",122.0,32.0,0,Apr-2022
2022-05-01,70,630000.0,3.12,5,"watauga, nc",177.0,30.0,0,May-2022
2022-06-01,71,644814.0,3.56,6,"watauga, nc",233.0,38.0,0,Jun-2022
2022-07-01,72,649364.0,3.92,7,"watauga, nc",298.0,44.0,0,Jul-2022
2022-08-01,73,649450.0,4.67,8,"watauga, nc",281.0,58.0,0,Aug-2022
2022-09-01,74,699000.0,5.11,9,"watauga, nc",246.0,73.0,744612,Sep-2022
2022-10-01,75,699000.0,5.3,10,"watauga, nc",219.0,87.0,745599,Oct-2022
2022-11-01,76,698000.0,5.81,11,"watauga, nc",211.0,91.0,751584,Nov-2022
