date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,358000.0,3.72,7,"wayne, ut",22.0,67.0,0,Jul-2016
2016-08-01,1,386000.0,3.73,8,"wayne, ut",17.0,60.0,0,Aug-2016
2016-09-01,2,367950.0,3.66,9,"wayne, ut",18.0,77.0,0,Sep-2016
2016-10-01,3,349900.0,3.64,10,"wayne, ut",21.0,83.0,0,Oct-2016
2016-11-01,4,361225.0,3.66,11,"wayne, ut",21.0,66.0,0,Nov-2016
2016-12-01,5,360000.0,3.48,12,"wayne, ut",21.0,80.0,0,Dec-2016
2017-01-01,6,361225.0,3.45,1,"wayne, ut",20.0,100.0,0,Jan-2017
2017-02-01,7,357400.0,3.5,2,"wayne, ut",17.0,111.0,0,Feb-2017
2017-03-01,8,349900.0,3.52,3,"wayne, ut",18.0,136.0,0,Mar-2017
2017-04-01,9,337400.0,4.03,4,"wayne, ut",19.0,160.0,0,Apr-2017
2017-05-01,10,229925.0,4.32,5,"wayne, ut",22.0,158.0,0,May-2017
2017-06-01,11,239900.0,4.2,6,"wayne, ut",20.0,164.0,0,Jun-2017
2017-07-01,12,254950.0,4.19,7,"wayne, ut",22.0,124.0,0,Jul-2017
2017-08-01,13,311175.0,4.3,8,"wayne, ut",20.0,155.0,0,Aug-2017
2017-09-01,14,324900.0,4.1,9,"wayne, ut",16.0,105.0,0,Sep-2017
2017-10-01,15,264000.0,4.05,10,"wayne, ut",13.0,118.0,0,Oct-2017
2017-11-01,16,256950.0,3.94,11,"wayne, ut",17.0,127.0,0,Nov-2017
2017-12-01,17,256950.0,4.03,12,"wayne, ut",16.0,150.0,0,Dec-2017
2018-01-01,18,264000.0,3.93,1,"wayne, ut",19.0,99.0,0,Jan-2018
2018-02-01,19,264500.0,3.83,2,"wayne, ut",20.0,106.0,0,Feb-2018
2018-03-01,20,295000.0,3.94,3,"wayne, ut",16.0,130.0,0,Mar-2018
2018-04-01,21,344250.0,3.95,4,"wayne, ut",15.0,116.0,0,Apr-2018
2018-05-01,22,360000.0,3.99,5,"wayne, ut",14.0,141.0,0,May-2018
2018-06-01,23,362500.0,4.15,6,"wayne, ut",16.0,81.0,0,Jun-2018
2018-07-01,24,357000.0,4.4,7,"wayne, ut",20.0,45.0,0,Jul-2018
2018-08-01,25,369950.0,4.46,8,"wayne, ut",20.0,68.0,0,Aug-2018
2018-09-01,26,360000.0,4.58,9,"wayne, ut",18.0,83.0,0,Sep-2018
2018-10-01,27,360000.0,4.66,10,"wayne, ut",18.0,112.0,0,Oct-2018
2018-11-01,28,330000.0,4.62,11,"wayne, ut",21.0,106.0,0,Nov-2018
2018-12-01,29,345000.0,4.54,12,"wayne, ut",17.0,112.0,0,Dec-2018
2019-01-01,30,330000.0,4.6,1,"wayne, ut",15.0,138.0,0,Jan-2019
2019-02-01,31,315000.0,4.72,2,"wayne, ut",13.0,120.0,0,Feb-2019
2019-03-01,32,314142.0,4.9,3,"wayne, ut",14.0,108.0,0,Mar-2019
2019-04-01,33,313142.0,4.94,4,"wayne, ut",16.0,82.0,0,Apr-2019
2019-05-01,34,312999.0,4.75,5,"wayne, ut",19.0,75.0,0,May-2019
2019-06-01,35,322000.0,4.51,6,"wayne, ut",20.0,103.0,0,Jun-2019
2019-07-01,36,338000.0,4.41,7,"wayne, ut",18.0,115.0,0,Jul-2019
2019-08-01,37,438636.0,4.41,8,"wayne, ut",15.0,112.0,0,Aug-2019
2019-09-01,38,571591.0,4.2,9,"wayne, ut",13.0,92.0,0,Sep-2019
2019-10-01,39,660227.0,4.14,10,"wayne, ut",11.0,73.0,0,Oct-2019
2019-11-01,40,675000.0,3.84,11,"wayne, ut",12.0,81.0,0,Nov-2019
2019-12-01,41,687500.0,3.81,12,"wayne, ut",12.0,75.0,0,Dec-2019
2020-01-01,42,675000.0,3.75,1,"wayne, ut",13.0,116.0,0,Jan-2020
2020-02-01,43,675000.0,3.73,2,"wayne, ut",13.0,140.0,0,Feb-2020
2020-03-01,44,654750.0,3.78,3,"wayne, ut",12.0,157.0,0,Mar-2020
2020-04-01,45,558000.0,3.75,4,"wayne, ut",14.0,170.0,0,Apr-2020
2020-05-01,46,594000.0,3.74,5,"wayne, ut",15.0,195.0,0,May-2020
2020-06-01,47,522000.0,3.72,6,"wayne, ut",15.0,221.0,0,Jun-2020
2020-07-01,48,486250.0,3.49,7,"wayne, ut",12.0,130.0,0,Jul-2020
2020-08-01,49,439000.0,3.65,8,"wayne, ut",12.0,124.0,0,Aug-2020
2020-09-01,50,398250.0,3.33,9,"wayne, ut",13.0,83.0,0,Sep-2020
2020-10-01,51,412000.0,3.28,10,"wayne, ut",12.0,96.0,0,Oct-2020
2020-11-01,52,260000.0,3.21,11,"wayne, ut",7.0,92.0,0,Nov-2020
2020-12-01,53,548750.0,3.07,12,"wayne, ut",10.0,20.0,0,Dec-2020
2021-01-01,54,689000.0,2.99,1,"wayne, ut",9.0,43.0,0,Jan-2021
2021-02-01,55,839500.0,2.93,2,"wayne, ut",6.0,74.0,0,Feb-2021
2021-03-01,56,470000.0,2.88,3,"wayne, ut",6.0,75.0,0,Mar-2021
2021-04-01,57,467500.0,2.84,4,"wayne, ut",13.0,20.0,0,Apr-2021
2021-05-01,58,492500.0,2.71,5,"wayne, ut",11.0,48.0,0,May-2021
2021-06-01,59,464450.0,2.79,6,"wayne, ut",10.0,64.0,0,Jun-2021
2021-07-01,60,459900.0,2.97,7,"wayne, ut",8.0,63.0,0,Jul-2021
2021-08-01,61,517425.0,3.17,8,"wayne, ut",8.0,62.0,0,Aug-2021
2021-09-01,62,574925.0,3.18,9,"wayne, ut",9.0,85.0,0,Sep-2021
2021-10-01,63,845000.0,3.0,10,"wayne, ut",6.0,128.0,0,Oct-2021
2021-11-01,64,2752500.0,3.02,11,"wayne, ut",5.0,126.0,0,Nov-2021
2021-12-01,65,2752500.0,2.98,12,"wayne, ut",3.0,175.0,0,Dec-2021
2022-01-01,66,1985000.0,2.87,1,"wayne, ut",4.0,149.0,0,Jan-2022
2022-02-01,67,1940000.0,3.01,2,"wayne, ut",4.0,42.0,0,Feb-2022
2022-03-01,68,3447500.0,3.14,3,"wayne, ut",4.0,61.0,0,Mar-2022
2022-04-01,69,725000.0,3.1,4,"wayne, ut",5.0,47.0,0,Apr-2022
