date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,209900.0,3.72,7,"west baton rouge, la",78.0,67.0,0,Jul-2016
2016-08-01,1,204950.0,3.73,8,"west baton rouge, la",75.0,72.0,0,Aug-2016
2016-09-01,2,198603.0,3.66,9,"west baton rouge, la",75.0,59.0,0,Sep-2016
2016-10-01,3,197203.0,3.64,10,"west baton rouge, la",67.0,51.0,0,Oct-2016
2016-11-01,4,196051.0,3.66,11,"west baton rouge, la",58.0,51.0,0,Nov-2016
2016-12-01,5,194900.0,3.48,12,"west baton rouge, la",56.0,52.0,0,Dec-2016
2017-01-01,6,199375.0,3.45,1,"west baton rouge, la",59.0,68.0,0,Jan-2017
2017-02-01,7,198125.0,3.5,2,"west baton rouge, la",58.0,60.0,0,Feb-2017
2017-03-01,8,223228.0,3.52,3,"west baton rouge, la",53.0,44.0,0,Mar-2017
2017-04-01,9,237300.0,4.03,4,"west baton rouge, la",53.0,50.0,0,Apr-2017
2017-05-01,10,235000.0,4.32,5,"west baton rouge, la",56.0,53.0,0,May-2017
2017-06-01,11,232625.0,4.2,6,"west baton rouge, la",62.0,44.0,0,Jun-2017
2017-07-01,12,225000.0,4.19,7,"west baton rouge, la",65.0,56.0,0,Jul-2017
2017-08-01,13,218200.0,4.3,8,"west baton rouge, la",75.0,56.0,0,Aug-2017
2017-09-01,14,217250.0,4.1,9,"west baton rouge, la",80.0,58.0,0,Sep-2017
2017-10-01,15,219500.0,4.05,10,"west baton rouge, la",74.0,66.0,0,Oct-2017
2017-11-01,16,220000.0,3.94,11,"west baton rouge, la",77.0,78.0,0,Nov-2017
2017-12-01,17,214850.0,4.03,12,"west baton rouge, la",69.0,95.0,0,Dec-2017
2018-01-01,18,216238.0,3.93,1,"west baton rouge, la",77.0,75.0,0,Jan-2018
2018-02-01,19,222175.0,3.83,2,"west baton rouge, la",79.0,77.0,0,Feb-2018
2018-03-01,20,219750.0,3.94,3,"west baton rouge, la",83.0,72.0,0,Mar-2018
2018-04-01,21,216275.0,3.95,4,"west baton rouge, la",80.0,53.0,0,Apr-2018
2018-05-01,22,216248.0,3.99,5,"west baton rouge, la",79.0,52.0,0,May-2018
2018-06-01,23,219500.0,4.15,6,"west baton rouge, la",72.0,55.0,0,Jun-2018
2018-07-01,24,220500.0,4.4,7,"west baton rouge, la",70.0,66.0,0,Jul-2018
2018-08-01,25,228400.0,4.46,8,"west baton rouge, la",77.0,52.0,0,Aug-2018
2018-09-01,26,229900.0,4.58,9,"west baton rouge, la",83.0,44.0,0,Sep-2018
2018-10-01,27,218125.0,4.66,10,"west baton rouge, la",83.0,52.0,0,Oct-2018
2018-11-01,28,231400.0,4.62,11,"west baton rouge, la",75.0,77.0,0,Nov-2018
2018-12-01,29,228450.0,4.54,12,"west baton rouge, la",73.0,88.0,0,Dec-2018
2019-01-01,30,239659.0,4.6,1,"west baton rouge, la",65.0,93.0,0,Jan-2019
2019-02-01,31,239798.0,4.72,2,"west baton rouge, la",71.0,76.0,0,Feb-2019
2019-03-01,32,245171.0,4.9,3,"west baton rouge, la",69.0,63.0,0,Mar-2019
2019-04-01,33,248871.0,4.94,4,"west baton rouge, la",67.0,61.0,0,Apr-2019
2019-05-01,34,241868.0,4.75,5,"west baton rouge, la",74.0,62.0,0,May-2019
2019-06-01,35,237500.0,4.51,6,"west baton rouge, la",82.0,44.0,0,Jun-2019
2019-07-01,36,233000.0,4.41,7,"west baton rouge, la",86.0,59.0,0,Jul-2019
2019-08-01,37,230727.0,4.41,8,"west baton rouge, la",93.0,65.0,0,Aug-2019
2019-09-01,38,230318.0,4.2,9,"west baton rouge, la",97.0,65.0,0,Sep-2019
2019-10-01,39,230000.0,4.14,10,"west baton rouge, la",101.0,67.0,0,Oct-2019
2019-11-01,40,233950.0,3.84,11,"west baton rouge, la",106.0,71.0,0,Nov-2019
2019-12-01,41,242955.0,3.81,12,"west baton rouge, la",103.0,95.0,0,Dec-2019
2020-01-01,42,243455.0,3.75,1,"west baton rouge, la",100.0,110.0,0,Jan-2020
2020-02-01,43,243910.0,3.73,2,"west baton rouge, la",103.0,107.0,0,Feb-2020
2020-03-01,44,244950.0,3.78,3,"west baton rouge, la",101.0,90.0,0,Mar-2020
2020-04-01,45,244900.0,3.75,4,"west baton rouge, la",99.0,91.0,0,Apr-2020
2020-05-01,46,249347.0,3.74,5,"west baton rouge, la",85.0,98.0,0,May-2020
2020-06-01,47,259500.0,3.72,6,"west baton rouge, la",82.0,92.0,0,Jun-2020
2020-07-01,48,255945.0,3.49,7,"west baton rouge, la",77.0,77.0,0,Jul-2020
2020-08-01,49,249624.0,3.65,8,"west baton rouge, la",66.0,59.0,0,Aug-2020
2020-09-01,50,249900.0,3.33,9,"west baton rouge, la",66.0,48.0,0,Sep-2020
2020-10-01,51,250460.0,3.28,10,"west baton rouge, la",59.0,50.0,0,Oct-2020
2020-11-01,52,255725.0,3.21,11,"west baton rouge, la",61.0,57.0,0,Nov-2020
2020-12-01,53,264464.0,3.07,12,"west baton rouge, la",55.0,64.0,0,Dec-2020
2021-01-01,54,256595.0,2.99,1,"west baton rouge, la",47.0,81.0,0,Jan-2021
2021-02-01,55,262221.0,2.93,2,"west baton rouge, la",53.0,79.0,0,Feb-2021
2021-03-01,56,285991.0,2.88,3,"west baton rouge, la",51.0,76.0,0,Mar-2021
2021-04-01,57,303403.0,2.84,4,"west baton rouge, la",43.0,63.0,0,Apr-2021
2021-05-01,58,310000.0,2.71,5,"west baton rouge, la",33.0,58.0,0,May-2021
2021-06-01,59,267000.0,2.79,6,"west baton rouge, la",32.0,56.0,0,Jun-2021
2021-07-01,60,259950.0,2.97,7,"west baton rouge, la",38.0,36.0,0,Jul-2021
2021-08-01,61,273990.0,3.17,8,"west baton rouge, la",35.0,50.0,0,Aug-2021
2021-09-01,62,294250.0,3.18,9,"west baton rouge, la",38.0,56.0,0,Sep-2021
2021-10-01,63,279900.0,3.0,10,"west baton rouge, la",34.0,65.0,0,Oct-2021
2021-11-01,64,304139.0,3.02,11,"west baton rouge, la",27.0,38.0,0,Nov-2021
2021-12-01,65,208998.0,2.98,12,"west baton rouge, la",27.0,31.0,0,Dec-2021
2022-01-01,66,201900.0,2.87,1,"west baton rouge, la",18.0,59.0,0,Jan-2022
2022-02-01,67,244675.0,3.01,2,"west baton rouge, la",23.0,36.0,0,Feb-2022
2022-03-01,68,280000.0,3.14,3,"west baton rouge, la",19.0,48.0,0,Mar-2022
2022-04-01,69,282000.0,3.1,4,"west baton rouge, la",20.0,56.0,0,Apr-2022
2022-05-01,70,330000.0,3.12,5,"west baton rouge, la",22.0,38.0,0,May-2022
2022-06-01,71,312283.0,3.56,6,"west baton rouge, la",24.0,33.0,0,Jun-2022
2022-07-01,72,274900.0,3.92,7,"west baton rouge, la",37.0,22.0,0,Jul-2022
2022-08-01,73,274725.0,4.67,8,"west baton rouge, la",47.0,38.0,0,Aug-2022
2022-09-01,74,271900.0,5.11,9,"west baton rouge, la",47.0,48.0,263821,Sep-2022
2022-10-01,75,269900.0,5.3,10,"west baton rouge, la",42.0,53.0,267659,Oct-2022
2022-11-01,76,281725.0,5.81,11,"west baton rouge, la",41.0,51.0,267515,Nov-2022
2022-12-01,77,275000.0,5.54,12,"west baton rouge, la",37.0,67.0,269029,Dec-2022
2023-01-01,78,271450.0,5.55,1,"west baton rouge, la",36.0,61.0,249037,Jan-2023
2023-02-01,79,269900.0,6.7,2,"west baton rouge, la",40.0,59.0,255042,Feb-2023
2023-03-01,80,273750.0,7.08,3,"west baton rouge, la",40.0,56.0,262880,Mar-2023
2023-04-01,81,280900.0,7.08,4,"west baton rouge, la",47.0,53.0,266998,Apr-2023
2023-05-01,82,273375.0,6.49,5,"west baton rouge, la",48.0,63.0,267868,May-2023
2023-06-01,83,267250.0,6.48,6,"west baton rouge, la",52.0,74.0,275007,Jun-2023
2023-07-01,84,261900.0,6.5,7,"west baton rouge, la",50.0,80.0,273358,Jul-2023
