date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,325950.0,3.72,7,"winchester city, va",89.0,55.0,0,Jul-2016
2016-08-01,1,314925.0,3.73,8,"winchester city, va",85.0,54.0,0,Aug-2016
2016-09-01,2,307400.0,3.66,9,"winchester city, va",86.0,49.0,0,Sep-2016
2016-10-01,3,300000.0,3.64,10,"winchester city, va",85.0,43.0,0,Oct-2016
2016-11-01,4,299725.0,3.66,11,"winchester city, va",90.0,58.0,0,Nov-2016
2016-12-01,5,297950.0,3.48,12,"winchester city, va",65.0,85.0,0,Dec-2016
2017-01-01,6,288750.0,3.45,1,"winchester city, va",59.0,111.0,0,Jan-2017
2017-02-01,7,319900.0,3.5,2,"winchester city, va",61.0,93.0,0,Feb-2017
2017-03-01,8,304175.0,3.52,3,"winchester city, va",70.0,53.0,0,Mar-2017
2017-04-01,9,308450.0,4.03,4,"winchester city, va",68.0,58.0,0,Apr-2017
2017-05-01,10,324500.0,4.32,5,"winchester city, va",64.0,61.0,0,May-2017
2017-06-01,11,319450.0,4.2,6,"winchester city, va",68.0,60.0,0,Jun-2017
2017-07-01,12,281000.0,4.19,7,"winchester city, va",78.0,55.0,0,Jul-2017
2017-08-01,13,301175.0,4.3,8,"winchester city, va",74.0,52.0,0,Aug-2017
2017-09-01,14,299900.0,4.1,9,"winchester city, va",77.0,58.0,0,Sep-2017
2017-10-01,15,294675.0,4.05,10,"winchester city, va",75.0,47.0,0,Oct-2017
2017-11-01,16,283061.0,3.94,11,"winchester city, va",71.0,58.0,0,Nov-2017
2017-12-01,17,252400.0,4.03,12,"winchester city, va",55.0,65.0,0,Dec-2017
2018-01-01,18,295900.0,3.93,1,"winchester city, va",42.0,79.0,0,Jan-2018
2018-02-01,19,307425.0,3.83,2,"winchester city, va",45.0,63.0,0,Feb-2018
2018-03-01,20,299900.0,3.94,3,"winchester city, va",54.0,42.0,0,Mar-2018
2018-04-01,21,324900.0,3.95,4,"winchester city, va",71.0,36.0,0,Apr-2018
2018-05-01,22,324800.0,3.99,5,"winchester city, va",80.0,43.0,0,May-2018
2018-06-01,23,312250.0,4.15,6,"winchester city, va",85.0,45.0,0,Jun-2018
2018-07-01,24,307400.0,4.4,7,"winchester city, va",89.0,54.0,0,Jul-2018
2018-08-01,25,299225.0,4.46,8,"winchester city, va",81.0,63.0,0,Aug-2018
2018-09-01,26,292500.0,4.58,9,"winchester city, va",74.0,71.0,0,Sep-2018
2018-10-01,27,285225.0,4.66,10,"winchester city, va",69.0,76.0,0,Oct-2018
2018-11-01,28,261175.0,4.62,11,"winchester city, va",72.0,62.0,0,Nov-2018
2018-12-01,29,252500.0,4.54,12,"winchester city, va",69.0,72.0,0,Dec-2018
2019-01-01,30,266950.0,4.6,1,"winchester city, va",57.0,76.0,0,Jan-2019
2019-02-01,31,266225.0,4.72,2,"winchester city, va",58.0,69.0,0,Feb-2019
2019-03-01,32,258979.0,4.9,3,"winchester city, va",61.0,49.0,0,Mar-2019
2019-04-01,33,239425.0,4.94,4,"winchester city, va",67.0,41.0,0,Apr-2019
2019-05-01,34,265000.0,4.75,5,"winchester city, va",73.0,47.0,0,May-2019
2019-06-01,35,265000.0,4.51,6,"winchester city, va",73.0,67.0,0,Jun-2019
2019-07-01,36,267400.0,4.41,7,"winchester city, va",77.0,63.0,0,Jul-2019
2019-08-01,37,261864.0,4.41,8,"winchester city, va",83.0,49.0,0,Aug-2019
2019-09-01,38,266159.0,4.2,9,"winchester city, va",84.0,58.0,0,Sep-2019
2019-10-01,39,264223.0,4.14,10,"winchester city, va",84.0,62.0,0,Oct-2019
2019-11-01,40,239900.0,3.84,11,"winchester city, va",79.0,64.0,0,Nov-2019
2019-12-01,41,239900.0,3.81,12,"winchester city, va",71.0,75.0,0,Dec-2019
2020-01-01,42,243450.0,3.75,1,"winchester city, va",67.0,79.0,0,Jan-2020
2020-02-01,43,249900.0,3.73,2,"winchester city, va",60.0,85.0,0,Feb-2020
2020-03-01,44,299400.0,3.78,3,"winchester city, va",56.0,39.0,0,Mar-2020
2020-04-01,45,298900.0,3.75,4,"winchester city, va",60.0,41.0,0,Apr-2020
2020-05-01,46,299900.0,3.74,5,"winchester city, va",70.0,44.0,0,May-2020
2020-06-01,47,309950.0,3.72,6,"winchester city, va",60.0,51.0,0,Jun-2020
2020-07-01,48,318500.0,3.49,7,"winchester city, va",49.0,49.0,0,Jul-2020
2020-08-01,49,377000.0,3.65,8,"winchester city, va",34.0,62.0,0,Aug-2020
2020-09-01,50,335698.0,3.33,9,"winchester city, va",32.0,26.0,0,Sep-2020
2020-10-01,51,292300.0,3.28,10,"winchester city, va",28.0,39.0,0,Oct-2020
2020-11-01,52,279900.0,3.21,11,"winchester city, va",25.0,46.0,0,Nov-2020
2020-12-01,53,276950.0,3.07,12,"winchester city, va",22.0,49.0,0,Dec-2020
2021-01-01,54,269900.0,2.99,1,"winchester city, va",17.0,45.0,0,Jan-2021
2021-02-01,55,254900.0,2.93,2,"winchester city, va",15.0,25.0,0,Feb-2021
2021-03-01,56,260000.0,2.88,3,"winchester city, va",15.0,26.0,0,Mar-2021
2021-04-01,57,280750.0,2.84,4,"winchester city, va",26.0,23.0,0,Apr-2021
2021-05-01,58,325000.0,2.71,5,"winchester city, va",21.0,27.0,0,May-2021
