date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,75000.0,3.72,7,"wyoming, wv",27.0,136.0,0,Jul-2016
2016-08-01,1,73400.0,3.73,8,"wyoming, wv",30.0,131.0,0,Aug-2016
2016-09-01,2,76475.0,3.66,9,"wyoming, wv",35.0,97.0,0,Sep-2016
2016-10-01,3,77000.0,3.64,10,"wyoming, wv",25.0,94.0,0,Oct-2016
2016-11-01,4,75875.0,3.66,11,"wyoming, wv",25.0,106.0,0,Nov-2016
2016-12-01,5,76572.0,3.48,12,"wyoming, wv",24.0,121.0,0,Dec-2016
2017-01-01,6,80000.0,3.45,1,"wyoming, wv",28.0,135.0,0,Jan-2017
2017-02-01,7,73286.0,3.5,2,"wyoming, wv",26.0,120.0,0,Feb-2017
2017-03-01,8,71675.0,3.52,3,"wyoming, wv",24.0,103.0,0,Mar-2017
2017-04-01,9,74900.0,4.03,4,"wyoming, wv",23.0,106.0,0,Apr-2017
2017-05-01,10,70700.0,4.32,5,"wyoming, wv",24.0,93.0,0,May-2017
2017-06-01,11,67175.0,4.2,6,"wyoming, wv",21.0,111.0,0,Jun-2017
2017-07-01,12,62000.0,4.19,7,"wyoming, wv",25.0,81.0,0,Jul-2017
2017-08-01,13,61000.0,4.3,8,"wyoming, wv",28.0,48.0,0,Aug-2017
2017-09-01,14,59950.0,4.1,9,"wyoming, wv",28.0,63.0,0,Sep-2017
2017-10-01,15,54175.0,4.05,10,"wyoming, wv",27.0,81.0,0,Oct-2017
2017-11-01,16,51000.0,3.94,11,"wyoming, wv",25.0,109.0,0,Nov-2017
2017-12-01,17,50000.0,4.03,12,"wyoming, wv",26.0,135.0,0,Dec-2017
2018-01-01,18,49950.0,3.93,1,"wyoming, wv",26.0,148.0,0,Jan-2018
2018-02-01,19,57500.0,3.83,2,"wyoming, wv",23.0,154.0,0,Feb-2018
