date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,147500.0,3.72,7,"zavala, tx",7.0,58.0,0,Jul-2016
2016-08-01,1,147500.0,3.73,8,"zavala, tx",6.0,71.0,0,Aug-2016
2016-09-01,2,145000.0,3.66,9,"zavala, tx",7.0,87.0,0,Sep-2016
2016-10-01,3,129500.0,3.64,10,"zavala, tx",4.0,115.0,0,Oct-2016
2016-11-01,4,129500.0,3.66,11,"zavala, tx",4.0,133.0,0,Nov-2016
2016-12-01,5,130000.0,3.48,12,"zavala, tx",5.0,127.0,0,Dec-2016
2017-01-01,6,130000.0,3.45,1,"zavala, tx",5.0,149.0,0,Jan-2017
2017-02-01,7,119750.0,3.5,2,"zavala, tx",5.0,177.0,0,Feb-2017
2017-03-01,8,109500.0,3.52,3,"zavala, tx",4.0,198.0,0,Mar-2017
2017-04-01,9,145000.0,4.03,4,"zavala, tx",6.0,33.0,0,Apr-2017
2017-05-01,10,157500.0,4.32,5,"zavala, tx",8.0,47.0,0,May-2017
2017-06-01,11,157500.0,4.2,6,"zavala, tx",7.0,71.0,0,Jun-2017
2017-07-01,12,165000.0,4.19,7,"zavala, tx",8.0,85.0,0,Jul-2017
2017-08-01,13,165000.0,4.3,8,"zavala, tx",11.0,96.0,0,Aug-2017
2017-09-01,14,165000.0,4.1,9,"zavala, tx",11.0,81.0,0,Sep-2017
2017-10-01,15,165000.0,4.05,10,"zavala, tx",14.0,74.0,0,Oct-2017
2017-11-01,16,160000.0,3.94,11,"zavala, tx",16.0,60.0,0,Nov-2017
2017-12-01,17,165000.0,4.03,12,"zavala, tx",14.0,88.0,0,Dec-2017
2018-01-01,18,162500.0,3.93,1,"zavala, tx",13.0,120.0,0,Jan-2018
2018-02-01,19,160000.0,3.83,2,"zavala, tx",14.0,148.0,0,Feb-2018
2018-03-01,20,147500.0,3.94,3,"zavala, tx",13.0,173.0,0,Mar-2018
2018-04-01,21,152450.0,3.95,4,"zavala, tx",9.0,196.0,0,Apr-2018
2018-05-01,22,168675.0,3.99,5,"zavala, tx",8.0,198.0,0,May-2018
2018-06-01,23,160000.0,4.15,6,"zavala, tx",8.0,169.0,0,Jun-2018
2018-07-01,24,102000.0,4.4,7,"zavala, tx",11.0,85.0,0,Jul-2018
