date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,99900.0,3.72,7,"Alpena, MI",346.0,0,Jul-2016
2016-08-01,1,101050.0,3.73,8,"Alpena, MI",349.0,0,Aug-2016
2016-09-01,2,106950.0,3.66,9,"Alpena, MI",344.0,0,Sep-2016
2016-10-01,3,109900.0,3.64,10,"Alpena, MI",312.0,0,Oct-2016
2016-11-01,4,100400.0,3.66,11,"Alpena, MI",293.0,0,Nov-2016
2016-12-01,5,99900.0,3.48,12,"Alpena, MI",246.0,0,Dec-2016
2017-01-01,6,98125.0,3.45,1,"Alpena, MI",207.0,0,Jan-2017
2017-02-01,7,99000.0,3.5,2,"Alpena, MI",204.0,0,Feb-2017
2017-03-01,8,103950.0,3.52,3,"Alpena, MI",201.0,0,Mar-2017
2017-04-01,9,108950.0,4.03,4,"Alpena, MI",216.0,0,Apr-2017
2017-05-01,10,114575.0,4.32,5,"Alpena, MI",238.0,0,May-2017
2017-06-01,11,109675.0,4.2,6,"Alpena, MI",258.0,0,Jun-2017
2017-07-01,12,109950.0,4.19,7,"Alpena, MI",268.0,0,Jul-2017
2017-08-01,13,109675.0,4.3,8,"Alpena, MI",271.0,0,Aug-2017
2017-09-01,14,111900.0,4.1,9,"Alpena, MI",285.0,0,Sep-2017
2017-10-01,15,109900.0,4.05,10,"Alpena, MI",240.0,0,Oct-2017
2017-11-01,16,103900.0,3.94,11,"Alpena, MI",225.0,0,Nov-2017
2017-12-01,17,108750.0,4.03,12,"Alpena, MI",199.0,0,Dec-2017
2018-01-01,18,105000.0,3.93,1,"Alpena, MI",180.0,0,Jan-2018
2018-02-01,19,100300.0,3.83,2,"Alpena, MI",185.0,0,Feb-2018
2018-03-01,20,99900.0,3.94,3,"Alpena, MI",186.0,0,Mar-2018
2018-04-01,21,105750.0,3.95,4,"Alpena, MI",188.0,0,Apr-2018
2018-05-01,22,106975.0,3.99,5,"Alpena, MI",185.0,0,May-2018
2018-06-01,23,114900.0,4.15,6,"Alpena, MI",205.0,0,Jun-2018
2018-07-01,24,119900.0,4.4,7,"Alpena, MI",228.0,0,Jul-2018
2018-08-01,25,119500.0,4.46,8,"Alpena, MI",229.0,0,Aug-2018
2018-09-01,26,119900.0,4.58,9,"Alpena, MI",221.0,0,Sep-2018
2018-10-01,27,119700.0,4.66,10,"Alpena, MI",212.0,0,Oct-2018
2018-11-01,28,119450.0,4.62,11,"Alpena, MI",205.0,0,Nov-2018
2018-12-01,29,119900.0,4.54,12,"Alpena, MI",182.0,0,Dec-2018
2019-01-01,30,124925.0,4.6,1,"Alpena, MI",151.0,0,Jan-2019
2019-02-01,31,121200.0,4.72,2,"Alpena, MI",140.0,0,Feb-2019
2019-03-01,32,118336.0,4.9,3,"Alpena, MI",130.0,0,Mar-2019
2019-04-01,33,119311.0,4.94,4,"Alpena, MI",123.0,0,Apr-2019
2019-05-01,34,123700.0,4.75,5,"Alpena, MI",145.0,0,May-2019
2019-06-01,35,129900.0,4.51,6,"Alpena, MI",160.0,0,Jun-2019
2019-07-01,36,129050.0,4.41,7,"Alpena, MI",169.0,0,Jul-2019
2019-08-01,37,128418.0,4.41,8,"Alpena, MI",176.0,0,Aug-2019
2019-09-01,38,128745.0,4.2,9,"Alpena, MI",189.0,0,Sep-2019
2019-10-01,39,128089.0,4.14,10,"Alpena, MI",196.0,0,Oct-2019
2019-11-01,40,125500.0,3.84,11,"Alpena, MI",175.0,0,Nov-2019
2019-12-01,41,124200.0,3.81,12,"Alpena, MI",168.0,0,Dec-2019
2020-01-01,42,124200.0,3.75,1,"Alpena, MI",144.0,0,Jan-2020
2020-02-01,43,128950.0,3.73,2,"Alpena, MI",128.0,0,Feb-2020
2020-03-01,44,130975.0,3.78,3,"Alpena, MI",110.0,0,Mar-2020
2020-04-01,45,135150.0,3.75,4,"Alpena, MI",102.0,0,Apr-2020
2020-05-01,46,143950.0,3.74,5,"Alpena, MI",97.0,0,May-2020
2020-06-01,47,148775.0,3.72,6,"Alpena, MI",107.0,0,Jun-2020
2020-07-01,48,156175.0,3.49,7,"Alpena, MI",96.0,0,Jul-2020
2020-08-01,49,173250.0,3.65,8,"Alpena, MI",73.0,0,Aug-2020
2020-09-01,50,129000.0,3.33,9,"Alpena, MI",72.0,0,Sep-2020
2020-10-01,51,139500.0,3.28,10,"Alpena, MI",68.0,0,Oct-2020
2020-11-01,52,140900.0,3.21,11,"Alpena, MI",63.0,0,Nov-2020
2020-12-01,53,142150.0,3.07,12,"Alpena, MI",55.0,0,Dec-2020
2021-01-01,54,137400.0,2.99,1,"Alpena, MI",52.0,0,Jan-2021
2021-02-01,55,151175.0,2.93,2,"Alpena, MI",45.0,0,Feb-2021
2021-03-01,56,161950.0,2.88,3,"Alpena, MI",37.0,0,Mar-2021
2021-04-01,57,189000.0,2.84,4,"Alpena, MI",27.0,0,Apr-2021
2021-05-01,58,155000.0,2.71,5,"Alpena, MI",34.0,0,May-2021
2021-06-01,59,149450.0,2.79,6,"Alpena, MI",43.0,0,Jun-2021
2021-07-01,60,176950.0,2.97,7,"Alpena, MI",45.0,0,Jul-2021
2021-08-01,61,149600.0,3.17,8,"Alpena, MI",44.0,0,Aug-2021
2021-09-01,62,157225.0,3.18,9,"Alpena, MI",51.0,0,Sep-2021
2021-10-01,63,147000.0,3.0,10,"Alpena, MI",36.0,0,Oct-2021
2021-11-01,64,136900.0,3.02,11,"Alpena, MI",40.0,0,Nov-2021
2021-12-01,65,136425.0,2.98,12,"Alpena, MI",41.0,163157,Dec-2021
2022-01-01,66,135000.0,2.87,1,"Alpena, MI",36.0,162898,Jan-2022
2022-02-01,67,152450.0,3.01,2,"Alpena, MI",31.0,162096,Feb-2022
2022-03-01,68,161725.0,3.14,3,"Alpena, MI",33.0,162479,Mar-2022
2022-04-01,69,167400.0,3.1,4,"Alpena, MI",34.0,163368,Apr-2022
2022-05-01,70,149900.0,3.12,5,"Alpena, MI",37.0,163369,May-2022
2022-06-01,71,157725.0,3.56,6,"Alpena, MI",41.0,163002,Jun-2022
2022-07-01,72,149900.0,3.92,7,"Alpena, MI",59.0,163511,Jul-2022
2022-08-01,73,166225.0,4.67,8,"Alpena, MI",57.0,162332,Aug-2022
2022-09-01,74,172900.0,5.11,9,"Alpena, MI",54.0,162742,Sep-2022
2022-10-01,75,169000.0,5.3,10,"Alpena, MI",46.0,163848,Oct-2022
