date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,317950.0,3.72,7,"Anchorage, AK",2216.0,0,Jul-2016
2016-08-01,1,314950.0,3.73,8,"Anchorage, AK",2171.0,0,Aug-2016
2016-09-01,2,310500.0,3.66,9,"Anchorage, AK",2116.0,0,Sep-2016
2016-10-01,3,305000.0,3.64,10,"Anchorage, AK",1921.0,0,Oct-2016
2016-11-01,4,301875.0,3.66,11,"Anchorage, AK",1721.0,0,Nov-2016
2016-12-01,5,299900.0,3.48,12,"Anchorage, AK",1492.0,0,Dec-2016
2017-01-01,6,297500.0,3.45,1,"Anchorage, AK",1316.0,0,Jan-2017
2017-02-01,7,295875.0,3.5,2,"Anchorage, AK",1341.0,0,Feb-2017
2017-03-01,8,299450.0,3.52,3,"Anchorage, AK",1366.0,0,Mar-2017
2017-04-01,9,309900.0,4.03,4,"Anchorage, AK",1547.0,0,Apr-2017
2017-05-01,10,307125.0,4.32,5,"Anchorage, AK",1728.0,0,May-2017
2017-06-01,11,309125.0,4.2,6,"Anchorage, AK",1926.0,0,Jun-2017
2017-07-01,12,306000.0,4.19,7,"Anchorage, AK",2090.0,0,Jul-2017
2017-08-01,13,302425.0,4.3,8,"Anchorage, AK",2216.0,0,Aug-2017
2017-09-01,14,297300.0,4.1,9,"Anchorage, AK",2170.0,0,Sep-2017
2017-10-01,15,296250.0,4.05,10,"Anchorage, AK",2060.0,0,Oct-2017
2017-11-01,16,289000.0,3.94,11,"Anchorage, AK",1943.0,0,Nov-2017
2017-12-01,17,285450.0,4.03,12,"Anchorage, AK",1675.0,0,Dec-2017
2018-01-01,18,288500.0,3.93,1,"Anchorage, AK",1508.0,0,Jan-2018
2018-02-01,19,289500.0,3.83,2,"Anchorage, AK",1517.0,0,Feb-2018
2018-03-01,20,299000.0,3.94,3,"Anchorage, AK",1667.0,0,Mar-2018
2018-04-01,21,309900.0,3.95,4,"Anchorage, AK",1753.0,0,Apr-2018
2018-05-01,22,314998.0,3.99,5,"Anchorage, AK",1927.0,0,May-2018
2018-06-01,23,309900.0,4.15,6,"Anchorage, AK",2168.0,0,Jun-2018
2018-07-01,24,303675.0,4.4,7,"Anchorage, AK",2339.0,0,Jul-2018
2018-08-01,25,304950.0,4.46,8,"Anchorage, AK",2371.0,0,Aug-2018
2018-09-01,26,307000.0,4.58,9,"Anchorage, AK",2263.0,0,Sep-2018
2018-10-01,27,299900.0,4.66,10,"Anchorage, AK",2056.0,0,Oct-2018
2018-11-01,28,299950.0,4.62,11,"Anchorage, AK",1874.0,0,Nov-2018
2018-12-01,29,299900.0,4.54,12,"Anchorage, AK",1662.0,0,Dec-2018
2019-01-01,30,299950.0,4.6,1,"Anchorage, AK",1449.0,0,Jan-2019
2019-02-01,31,307350.0,4.72,2,"Anchorage, AK",1504.0,0,Feb-2019
2019-03-01,32,316971.0,4.9,3,"Anchorage, AK",1558.0,0,Mar-2019
2019-04-01,33,322300.0,4.94,4,"Anchorage, AK",1634.0,0,Apr-2019
2019-05-01,34,324950.0,4.75,5,"Anchorage, AK",1784.0,0,May-2019
2019-06-01,35,320000.0,4.51,6,"Anchorage, AK",1963.0,0,Jun-2019
2019-07-01,36,319500.0,4.41,7,"Anchorage, AK",2071.0,0,Jul-2019
2019-08-01,37,315909.0,4.41,8,"Anchorage, AK",2048.0,0,Aug-2019
2019-09-01,38,316523.0,4.2,9,"Anchorage, AK",1976.0,0,Sep-2019
2019-10-01,39,318000.0,4.14,10,"Anchorage, AK",1904.0,0,Oct-2019
