date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,115975.0,3.72,7,"Ashland, OH",194.0,0,Jul-2016
2016-08-01,1,122500.0,3.73,8,"Ashland, OH",183.0,0,Aug-2016
2016-09-01,2,125000.0,3.66,9,"Ashland, OH",184.0,0,Sep-2016
2016-10-01,3,119700.0,3.64,10,"Ashland, OH",171.0,0,Oct-2016
2016-11-01,4,110500.0,3.66,11,"Ashland, OH",174.0,0,Nov-2016
2016-12-01,5,115000.0,3.48,12,"Ashland, OH",165.0,0,Dec-2016
2017-01-01,6,122475.0,3.45,1,"Ashland, OH",144.0,0,Jan-2017
2017-02-01,7,122225.0,3.5,2,"Ashland, OH",135.0,0,Feb-2017
2017-03-01,8,124750.0,3.52,3,"Ashland, OH",137.0,0,Mar-2017
2017-04-01,9,134900.0,4.03,4,"Ashland, OH",139.0,0,Apr-2017
2017-05-01,10,124950.0,4.32,5,"Ashland, OH",133.0,0,May-2017
2017-06-01,11,129050.0,4.2,6,"Ashland, OH",131.0,0,Jun-2017
2017-07-01,12,135000.0,4.19,7,"Ashland, OH",122.0,0,Jul-2017
2017-08-01,13,134650.0,4.3,8,"Ashland, OH",117.0,0,Aug-2017
2017-09-01,14,129700.0,4.1,9,"Ashland, OH",128.0,0,Sep-2017
2017-10-01,15,134700.0,4.05,10,"Ashland, OH",122.0,0,Oct-2017
2017-11-01,16,120000.0,3.94,11,"Ashland, OH",96.0,0,Nov-2017
2017-12-01,17,119000.0,4.03,12,"Ashland, OH",90.0,0,Dec-2017
2018-01-01,18,111850.0,3.93,1,"Ashland, OH",91.0,0,Jan-2018
2018-02-01,19,89175.0,3.83,2,"Ashland, OH",93.0,0,Feb-2018
2018-03-01,20,97000.0,3.94,3,"Ashland, OH",102.0,0,Mar-2018
2018-04-01,21,114275.0,3.95,4,"Ashland, OH",104.0,0,Apr-2018
2018-05-01,22,135250.0,3.99,5,"Ashland, OH",115.0,0,May-2018
2018-06-01,23,149450.0,4.15,6,"Ashland, OH",141.0,0,Jun-2018
2018-07-01,24,157400.0,4.4,7,"Ashland, OH",150.0,0,Jul-2018
2018-08-01,25,153725.0,4.46,8,"Ashland, OH",141.0,0,Aug-2018
2018-09-01,26,154950.0,4.58,9,"Ashland, OH",149.0,0,Sep-2018
2018-10-01,27,153950.0,4.66,10,"Ashland, OH",141.0,0,Oct-2018
2018-11-01,28,142500.0,4.62,11,"Ashland, OH",130.0,0,Nov-2018
2018-12-01,29,129000.0,4.54,12,"Ashland, OH",116.0,0,Dec-2018
2019-01-01,30,123750.0,4.6,1,"Ashland, OH",101.0,0,Jan-2019
2019-02-01,31,111425.0,4.72,2,"Ashland, OH",100.0,0,Feb-2019
2019-03-01,32,129829.0,4.9,3,"Ashland, OH",96.0,0,Mar-2019
2019-04-01,33,155000.0,4.94,4,"Ashland, OH",96.0,0,Apr-2019
2019-05-01,34,174950.0,4.75,5,"Ashland, OH",102.0,0,May-2019
2019-06-01,35,172000.0,4.51,6,"Ashland, OH",103.0,0,Jun-2019
2019-07-01,36,160625.0,4.41,7,"Ashland, OH",106.0,0,Jul-2019
2019-08-01,37,165973.0,4.41,8,"Ashland, OH",108.0,0,Aug-2019
2019-09-01,38,173807.0,4.2,9,"Ashland, OH",112.0,0,Sep-2019
2019-10-01,39,179900.0,4.14,10,"Ashland, OH",113.0,0,Oct-2019
2019-11-01,40,160000.0,3.84,11,"Ashland, OH",91.0,0,Nov-2019
2019-12-01,41,148675.0,3.81,12,"Ashland, OH",77.0,0,Dec-2019
2020-01-01,42,143125.0,3.75,1,"Ashland, OH",72.0,0,Jan-2020
2020-02-01,43,149900.0,3.73,2,"Ashland, OH",76.0,0,Feb-2020
2020-03-01,44,149450.0,3.78,3,"Ashland, OH",73.0,0,Mar-2020
2020-04-01,45,163700.0,3.75,4,"Ashland, OH",62.0,0,Apr-2020
2020-05-01,46,159950.0,3.74,5,"Ashland, OH",57.0,0,May-2020
2020-06-01,47,161625.0,3.72,6,"Ashland, OH",51.0,0,Jun-2020
2020-07-01,48,183925.0,3.49,7,"Ashland, OH",54.0,0,Jul-2020
2020-08-01,49,179450.0,3.65,8,"Ashland, OH",57.0,0,Aug-2020
2020-09-01,50,182825.0,3.33,9,"Ashland, OH",54.0,0,Sep-2020
2020-10-01,51,180000.0,3.28,10,"Ashland, OH",63.0,0,Oct-2020
2020-11-01,52,177000.0,3.21,11,"Ashland, OH",68.0,0,Nov-2020
2020-12-01,53,158950.0,3.07,12,"Ashland, OH",63.0,0,Dec-2020
2021-01-01,54,168900.0,2.99,1,"Ashland, OH",51.0,0,Jan-2021
2021-02-01,55,172950.0,2.93,2,"Ashland, OH",49.0,0,Feb-2021
2021-03-01,56,169475.0,2.88,3,"Ashland, OH",43.0,0,Mar-2021
2021-04-01,57,173450.0,2.84,4,"Ashland, OH",42.0,0,Apr-2021
2021-05-01,58,179900.0,2.71,5,"Ashland, OH",47.0,0,May-2021
2021-06-01,59,196475.0,2.79,6,"Ashland, OH",37.0,0,Jun-2021
2021-07-01,60,180000.0,2.97,7,"Ashland, OH",44.0,0,Jul-2021
2021-08-01,61,229900.0,3.17,8,"Ashland, OH",83.0,0,Aug-2021
2021-09-01,62,229900.0,3.18,9,"Ashland, OH",95.0,0,Sep-2021
2021-10-01,63,229900.0,3.0,10,"Ashland, OH",88.0,0,Oct-2021
2021-11-01,64,229900.0,3.02,11,"Ashland, OH",62.0,0,Nov-2021
2021-12-01,65,213675.0,2.98,12,"Ashland, OH",59.0,198324,Dec-2021
2022-01-01,66,227450.0,2.87,1,"Ashland, OH",57.0,199050,Jan-2022
2022-02-01,67,229900.0,3.01,2,"Ashland, OH",45.0,201743,Feb-2022
2022-03-01,68,229900.0,3.14,3,"Ashland, OH",40.0,201365,Mar-2022
2022-04-01,69,237450.0,3.1,4,"Ashland, OH",32.0,202208,Apr-2022
2022-05-01,70,210000.0,3.12,5,"Ashland, OH",50.0,204812,May-2022
2022-06-01,71,223625.0,3.56,6,"Ashland, OH",51.0,203790,Jun-2022
2022-07-01,72,219500.0,3.92,7,"Ashland, OH",52.0,206177,Jul-2022
2022-08-01,73,231950.0,4.67,8,"Ashland, OH",57.0,209706,Aug-2022
2022-09-01,74,199825.0,5.11,9,"Ashland, OH",65.0,209137,Sep-2022
2022-10-01,75,195000.0,5.3,10,"Ashland, OH",65.0,210356,Oct-2022
