date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,158350.0,3.72,7,"Auburn, NY",410.0,0,Jul-2016
2016-08-01,1,159400.0,3.73,8,"Auburn, NY",387.0,0,Aug-2016
2016-09-01,2,156900.0,3.66,9,"Auburn, NY",376.0,0,Sep-2016
2016-10-01,3,149500.0,3.64,10,"Auburn, NY",367.0,0,Oct-2016
2016-11-01,4,143250.0,3.66,11,"Auburn, NY",322.0,0,Nov-2016
2016-12-01,5,139900.0,3.48,12,"Auburn, NY",289.0,0,Dec-2016
2017-01-01,6,135400.0,3.45,1,"Auburn, NY",260.0,0,Jan-2017
2017-02-01,7,139900.0,3.5,2,"Auburn, NY",254.0,0,Feb-2017
2017-03-01,8,141800.0,3.52,3,"Auburn, NY",258.0,0,Mar-2017
2017-04-01,9,149000.0,4.03,4,"Auburn, NY",269.0,0,Apr-2017
2017-05-01,10,151175.0,4.32,5,"Auburn, NY",286.0,0,May-2017
2017-06-01,11,159450.0,4.2,6,"Auburn, NY",310.0,0,Jun-2017
2017-07-01,12,163250.0,4.19,7,"Auburn, NY",310.0,0,Jul-2017
2017-08-01,13,162400.0,4.3,8,"Auburn, NY",316.0,0,Aug-2017
2017-09-01,14,159900.0,4.1,9,"Auburn, NY",323.0,0,Sep-2017
2017-10-01,15,149900.0,4.05,10,"Auburn, NY",309.0,0,Oct-2017
2017-11-01,16,149575.0,3.94,11,"Auburn, NY",291.0,0,Nov-2017
2017-12-01,17,140000.0,4.03,12,"Auburn, NY",267.0,0,Dec-2017
2018-01-01,18,131150.0,3.93,1,"Auburn, NY",254.0,0,Jan-2018
2018-02-01,19,139450.0,3.83,2,"Auburn, NY",251.0,0,Feb-2018
2018-03-01,20,139950.0,3.94,3,"Auburn, NY",235.0,0,Mar-2018
2018-04-01,21,147950.0,3.95,4,"Auburn, NY",248.0,0,Apr-2018
2018-05-01,22,158250.0,3.99,5,"Auburn, NY",254.0,0,May-2018
2018-06-01,23,175000.0,4.15,6,"Auburn, NY",291.0,0,Jun-2018
2018-07-01,24,179900.0,4.4,7,"Auburn, NY",313.0,0,Jul-2018
2018-08-01,25,179900.0,4.46,8,"Auburn, NY",303.0,0,Aug-2018
