date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,222450.0,3.72,7,"Bay City, TX",271.0,0,Jul-2016
2016-08-01,1,217725.0,3.73,8,"Bay City, TX",274.0,0,Aug-2016
2016-09-01,2,217000.0,3.66,9,"Bay City, TX",265.0,0,Sep-2016
2016-10-01,3,219950.0,3.64,10,"Bay City, TX",272.0,0,Oct-2016
2016-11-01,4,225000.0,3.66,11,"Bay City, TX",275.0,0,Nov-2016
2016-12-01,5,219000.0,3.48,12,"Bay City, TX",290.0,0,Dec-2016
2017-01-01,6,215000.0,3.45,1,"Bay City, TX",273.0,0,Jan-2017
2017-02-01,7,224725.0,3.5,2,"Bay City, TX",271.0,0,Feb-2017
2017-03-01,8,216500.0,3.52,3,"Bay City, TX",282.0,0,Mar-2017
2017-04-01,9,199950.0,4.03,4,"Bay City, TX",294.0,0,Apr-2017
2017-05-01,10,199250.0,4.32,5,"Bay City, TX",297.0,0,May-2017
2017-06-01,11,199000.0,4.2,6,"Bay City, TX",324.0,0,Jun-2017
2017-07-01,12,218000.0,4.19,7,"Bay City, TX",338.0,0,Jul-2017
2017-08-01,13,215000.0,4.3,8,"Bay City, TX",336.0,0,Aug-2017
2017-09-01,14,219500.0,4.1,9,"Bay City, TX",307.0,0,Sep-2017
2017-10-01,15,219825.0,4.05,10,"Bay City, TX",293.0,0,Oct-2017
2017-11-01,16,219575.0,3.94,11,"Bay City, TX",285.0,0,Nov-2017
2017-12-01,17,224950.0,4.03,12,"Bay City, TX",282.0,0,Dec-2017
2018-01-01,18,219725.0,3.93,1,"Bay City, TX",259.0,0,Jan-2018
2018-02-01,19,219975.0,3.83,2,"Bay City, TX",267.0,0,Feb-2018
2018-03-01,20,227000.0,3.94,3,"Bay City, TX",273.0,0,Mar-2018
2018-04-01,21,229325.0,3.95,4,"Bay City, TX",271.0,0,Apr-2018
2018-05-01,22,229713.0,3.99,5,"Bay City, TX",283.0,0,May-2018
2018-06-01,23,229900.0,4.15,6,"Bay City, TX",298.0,0,Jun-2018
2018-07-01,24,231250.0,4.4,7,"Bay City, TX",318.0,0,Jul-2018
2018-08-01,25,228450.0,4.46,8,"Bay City, TX",329.0,0,Aug-2018
2018-09-01,26,231066.0,4.58,9,"Bay City, TX",318.0,0,Sep-2018
2018-10-01,27,227000.0,4.66,10,"Bay City, TX",315.0,0,Oct-2018
2018-11-01,28,220000.0,4.62,11,"Bay City, TX",317.0,0,Nov-2018
2018-12-01,29,219900.0,4.54,12,"Bay City, TX",316.0,0,Dec-2018
2019-01-01,30,219950.0,4.6,1,"Bay City, TX",295.0,0,Jan-2019
2019-02-01,31,218123.0,4.72,2,"Bay City, TX",305.0,0,Feb-2019
2019-03-01,32,217036.0,4.9,3,"Bay City, TX",311.0,0,Mar-2019
2019-04-01,33,215375.0,4.94,4,"Bay City, TX",326.0,0,Apr-2019
2019-05-01,34,214839.0,4.75,5,"Bay City, TX",325.0,0,May-2019
2019-06-01,35,213056.0,4.51,6,"Bay City, TX",318.0,0,Jun-2019
2019-07-01,36,214500.0,4.41,7,"Bay City, TX",325.0,0,Jul-2019
2019-08-01,37,218636.0,4.41,8,"Bay City, TX",308.0,0,Aug-2019
2019-09-01,38,222216.0,4.2,9,"Bay City, TX",297.0,0,Sep-2019
2019-10-01,39,224950.0,4.14,10,"Bay City, TX",284.0,0,Oct-2019
2019-11-01,40,209450.0,3.84,11,"Bay City, TX",268.0,0,Nov-2019
2019-12-01,41,205000.0,3.81,12,"Bay City, TX",259.0,0,Dec-2019
2020-01-01,42,205000.0,3.75,1,"Bay City, TX",236.0,0,Jan-2020
2020-02-01,43,209000.0,3.73,2,"Bay City, TX",236.0,0,Feb-2020
2020-03-01,44,214225.0,3.78,3,"Bay City, TX",249.0,0,Mar-2020
2020-04-01,45,205000.0,3.75,4,"Bay City, TX",248.0,0,Apr-2020
2020-05-01,46,207500.0,3.74,5,"Bay City, TX",234.0,0,May-2020
2020-06-01,47,212725.0,3.72,6,"Bay City, TX",222.0,0,Jun-2020
2020-07-01,48,212500.0,3.49,7,"Bay City, TX",204.0,0,Jul-2020
2020-08-01,49,207500.0,3.65,8,"Bay City, TX",181.0,0,Aug-2020
2020-09-01,50,210000.0,3.33,9,"Bay City, TX",169.0,0,Sep-2020
2020-10-01,51,210000.0,3.28,10,"Bay City, TX",178.0,0,Oct-2020
2020-11-01,52,215750.0,3.21,11,"Bay City, TX",182.0,0,Nov-2020
2020-12-01,53,215000.0,3.07,12,"Bay City, TX",171.0,0,Dec-2020
2021-01-01,54,215000.0,2.99,1,"Bay City, TX",148.0,0,Jan-2021
2021-02-01,55,209375.0,2.93,2,"Bay City, TX",139.0,0,Feb-2021
2021-03-01,56,210475.0,2.88,3,"Bay City, TX",128.0,0,Mar-2021
2021-04-01,57,215000.0,2.84,4,"Bay City, TX",123.0,0,Apr-2021
2021-05-01,58,225000.0,2.71,5,"Bay City, TX",117.0,0,May-2021
2021-06-01,59,244250.0,2.79,6,"Bay City, TX",111.0,0,Jun-2021
2021-07-01,60,262362.0,2.97,7,"Bay City, TX",112.0,0,Jul-2021
2021-08-01,61,258216.0,3.17,8,"Bay City, TX",117.0,0,Aug-2021
2021-09-01,62,244812.0,3.18,9,"Bay City, TX",109.0,0,Sep-2021
2021-10-01,63,247500.0,3.0,10,"Bay City, TX",107.0,0,Oct-2021
2021-11-01,64,234950.0,3.02,11,"Bay City, TX",129.0,0,Nov-2021
2021-12-01,65,230000.0,2.98,12,"Bay City, TX",146.0,211646,Dec-2021
2022-01-01,66,229000.0,2.87,1,"Bay City, TX",137.0,216806,Jan-2022
2022-02-01,67,224750.0,3.01,2,"Bay City, TX",131.0,218855,Feb-2022
2022-03-01,68,209999.0,3.14,3,"Bay City, TX",129.0,222709,Mar-2022
2022-04-01,69,254115.0,3.1,4,"Bay City, TX",143.0,235005,Apr-2022
2022-05-01,70,272250.0,3.12,5,"Bay City, TX",157.0,249657,May-2022
2022-06-01,71,260050.0,3.56,6,"Bay City, TX",164.0,249927,Jun-2022
2022-07-01,72,275000.0,3.92,7,"Bay City, TX",189.0,209795,Jul-2022
2022-08-01,73,278745.0,4.67,8,"Bay City, TX",204.0,251991,Aug-2022
2022-09-01,74,268995.0,5.11,9,"Bay City, TX",200.0,213134,Sep-2022
2022-10-01,75,250000.0,5.3,10,"Bay City, TX",169.0,236772,Oct-2022
