date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,188875.0,3.72,7,"Bemidji, MN",286.0,0,Jul-2016
2016-08-01,1,193525.0,3.73,8,"Bemidji, MN",314.0,0,Aug-2016
2016-09-01,2,199900.0,3.66,9,"Bemidji, MN",331.0,0,Sep-2016
2016-10-01,3,202200.0,3.64,10,"Bemidji, MN",315.0,0,Oct-2016
2016-11-01,4,214850.0,3.66,11,"Bemidji, MN",286.0,0,Nov-2016
2016-12-01,5,207450.0,3.48,12,"Bemidji, MN",256.0,0,Dec-2016
2017-01-01,6,212150.0,3.45,1,"Bemidji, MN",220.0,0,Jan-2017
2017-02-01,7,217325.0,3.5,2,"Bemidji, MN",219.0,0,Feb-2017
2017-03-01,8,235725.0,3.52,3,"Bemidji, MN",247.0,0,Mar-2017
2017-04-01,9,228672.0,4.03,4,"Bemidji, MN",278.0,0,Apr-2017
2017-05-01,10,239225.0,4.32,5,"Bemidji, MN",295.0,0,May-2017
2017-06-01,11,239850.0,4.2,6,"Bemidji, MN",301.0,0,Jun-2017
2017-07-01,12,239850.0,4.19,7,"Bemidji, MN",296.0,0,Jul-2017
2017-08-01,13,234400.0,4.3,8,"Bemidji, MN",308.0,0,Aug-2017
2017-09-01,14,225500.0,4.1,9,"Bemidji, MN",303.0,0,Sep-2017
2017-10-01,15,221696.0,4.05,10,"Bemidji, MN",271.0,0,Oct-2017
2017-11-01,16,218000.0,3.94,11,"Bemidji, MN",234.0,0,Nov-2017
2017-12-01,17,208450.0,4.03,12,"Bemidji, MN",214.0,0,Dec-2017
2018-01-01,18,212400.0,3.93,1,"Bemidji, MN",190.0,0,Jan-2018
2018-02-01,19,219900.0,3.83,2,"Bemidji, MN",187.0,0,Feb-2018
2018-03-01,20,239800.0,3.94,3,"Bemidji, MN",184.0,0,Mar-2018
2018-04-01,21,245350.0,3.95,4,"Bemidji, MN",197.0,0,Apr-2018
2018-05-01,22,243475.0,3.99,5,"Bemidji, MN",216.0,0,May-2018
2018-06-01,23,239850.0,4.15,6,"Bemidji, MN",254.0,0,Jun-2018
2018-07-01,24,234875.0,4.4,7,"Bemidji, MN",279.0,0,Jul-2018
2018-08-01,25,229450.0,4.46,8,"Bemidji, MN",267.0,0,Aug-2018
2018-09-01,26,207450.0,4.58,9,"Bemidji, MN",243.0,0,Sep-2018
2018-10-01,27,202100.0,4.66,10,"Bemidji, MN",228.0,0,Oct-2018
2018-11-01,28,191825.0,4.62,11,"Bemidji, MN",217.0,0,Nov-2018
2018-12-01,29,189900.0,4.54,12,"Bemidji, MN",186.0,0,Dec-2018
2019-01-01,30,195125.0,4.6,1,"Bemidji, MN",156.0,0,Jan-2019
2019-02-01,31,200725.0,4.72,2,"Bemidji, MN",156.0,0,Feb-2019
2019-03-01,32,210786.0,4.9,3,"Bemidji, MN",164.0,0,Mar-2019
2019-04-01,33,224011.0,4.94,4,"Bemidji, MN",175.0,0,Apr-2019
2019-05-01,34,224906.0,4.75,5,"Bemidji, MN",197.0,0,May-2019
2019-06-01,35,224925.0,4.51,6,"Bemidji, MN",207.0,0,Jun-2019
2019-07-01,36,224950.0,4.41,7,"Bemidji, MN",224.0,0,Jul-2019
2019-08-01,37,224900.0,4.41,8,"Bemidji, MN",217.0,0,Aug-2019
2019-09-01,38,224900.0,4.2,9,"Bemidji, MN",208.0,0,Sep-2019
2019-10-01,39,224900.0,4.14,10,"Bemidji, MN",199.0,0,Oct-2019
2019-11-01,40,225900.0,3.84,11,"Bemidji, MN",178.0,0,Nov-2019
2019-12-01,41,225900.0,3.81,12,"Bemidji, MN",157.0,0,Dec-2019
2020-01-01,42,225900.0,3.75,1,"Bemidji, MN",131.0,0,Jan-2020
2020-02-01,43,225900.0,3.73,2,"Bemidji, MN",133.0,0,Feb-2020
2020-03-01,44,225900.0,3.78,3,"Bemidji, MN",151.0,0,Mar-2020
2020-04-01,45,229450.0,3.75,4,"Bemidji, MN",154.0,0,Apr-2020
2020-05-01,46,229450.0,3.74,5,"Bemidji, MN",155.0,0,May-2020
2020-06-01,47,241513.0,3.72,6,"Bemidji, MN",147.0,0,Jun-2020
2020-07-01,48,243675.0,3.49,7,"Bemidji, MN",134.0,0,Jul-2020
2020-08-01,49,239000.0,3.65,8,"Bemidji, MN",126.0,0,Aug-2020
2020-09-01,50,238450.0,3.33,9,"Bemidji, MN",120.0,0,Sep-2020
2020-10-01,51,215000.0,3.28,10,"Bemidji, MN",112.0,0,Oct-2020
2020-11-01,52,214900.0,3.21,11,"Bemidji, MN",94.0,0,Nov-2020
2020-12-01,53,215000.0,3.07,12,"Bemidji, MN",83.0,0,Dec-2020
2021-01-01,54,226850.0,2.99,1,"Bemidji, MN",64.0,0,Jan-2021
2021-02-01,55,249400.0,2.93,2,"Bemidji, MN",48.0,0,Feb-2021
2021-03-01,56,276150.0,2.88,3,"Bemidji, MN",46.0,0,Mar-2021
2021-04-01,57,271175.0,2.84,4,"Bemidji, MN",58.0,0,Apr-2021
2021-05-01,58,264750.0,2.71,5,"Bemidji, MN",91.0,0,May-2021
2021-06-01,59,262325.0,2.79,6,"Bemidji, MN",120.0,0,Jun-2021
2021-07-01,60,262450.0,2.97,7,"Bemidji, MN",119.0,0,Jul-2021
2021-08-01,61,287000.0,3.17,8,"Bemidji, MN",128.0,0,Aug-2021
2021-09-01,62,279450.0,3.18,9,"Bemidji, MN",123.0,0,Sep-2021
2021-10-01,63,273053.0,3.0,10,"Bemidji, MN",113.0,0,Oct-2021
2021-11-01,64,264125.0,3.02,11,"Bemidji, MN",93.0,0,Nov-2021
2021-12-01,65,284950.0,2.98,12,"Bemidji, MN",74.0,295576,Dec-2021
2022-01-01,66,279900.0,2.87,1,"Bemidji, MN",67.0,295046,Jan-2022
2022-02-01,67,279675.0,3.01,2,"Bemidji, MN",52.0,296651,Feb-2022
2022-03-01,68,271950.0,3.14,3,"Bemidji, MN",62.0,297818,Mar-2022
2022-04-01,69,269900.0,3.1,4,"Bemidji, MN",67.0,298841,Apr-2022
2022-05-01,70,294450.0,3.12,5,"Bemidji, MN",81.0,297753,May-2022
2022-06-01,71,296950.0,3.56,6,"Bemidji, MN",88.0,294994,Jun-2022
2022-07-01,72,279900.0,3.92,7,"Bemidji, MN",105.0,287072,Jul-2022
2022-08-01,73,299575.0,4.67,8,"Bemidji, MN",116.0,258940,Aug-2022
2022-09-01,74,303900.0,5.11,9,"Bemidji, MN",116.0,256811,Sep-2022
2022-10-01,75,314100.0,5.3,10,"Bemidji, MN",104.0,256281,Oct-2022
